produkt_code,markt,kanal,herkunft,jahr,neugeschaeft_rate_pct,storno_rueckkauf_rate_pct,beitragsfrei_rate_pct,dynamik_annahme_rate_pct,leistungsfall_rate_pct,bemerkung
LV-RISK,DE,direkt,alle,2019,12.6,8.0,0.97,62.6,0.25,
LV-RISK,DE,direkt,pfefferminz,2020,10.71,8.54,1.26,61.8,0.29,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RISK,DE,direkt,minzia,2020,19.28,10.25,1.26,53.8,0.29,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RISK,DE,direkt,pfefferminz,2021,12.6,7.76,0.97,61.0,0.29,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RISK,DE,direkt,minzia,2021,22.68,9.31,0.97,53.0,0.29,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RISK,DE,direkt,pfefferminz,2022,12.6,8.38,0.97,60.2,0.25,
LV-RISK,DE,direkt,minzia,2022,22.68,10.06,0.97,52.2,0.25,
LV-RISK,DE,direkt,pfefferminz,2023,12.6,8.93,1.26,59.4,0.25,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-RISK,DE,direkt,minzia,2023,22.68,10.71,1.26,51.4,0.25,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-RISK,DE,direkt,pfefferminz,2024,12.6,8.15,0.97,58.6,0.25,
LV-RISK,DE,direkt,minzia,2024,22.68,9.78,0.97,50.6,0.25,
LV-RISK,DE,direkt,pfefferminz,2025,12.6,10.87,0.97,57.8,0.25,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-RISK,DE,direkt,minzia,2025,22.68,10.43,0.97,49.8,0.25,
LV-RISK,DE,bank,alle,2016,7.2,5.46,0.88,65.0,0.25,
LV-RISK,DE,bank,alle,2017,7.2,5.46,0.88,64.2,0.25,
LV-RISK,DE,bank,alle,2018,7.2,5.57,0.88,63.4,0.25,
LV-RISK,DE,bank,alle,2019,7.2,5.63,0.88,62.6,0.25,
LV-RISK,DE,bank,pfefferminz,2020,6.12,6.01,1.14,61.8,0.29,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RISK,DE,bank,pfefferminz,2021,7.2,5.46,0.88,61.0,0.29,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RISK,DE,bank,pfefferminz,2022,7.2,5.9,0.88,60.2,0.25,
LV-RISK,DE,bank,pfefferminz,2023,7.2,6.28,1.14,59.4,0.25,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-RISK,DE,bank,pfefferminz,2024,7.2,5.74,0.88,58.6,0.25,
LV-RISK,DE,bank,pfefferminz,2025,7.2,7.65,0.88,57.8,0.25,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-VORS,CH,agentur,alle,2016,4.0,2.53,1.54,60.0,1.2,
LV-VORS,CH,agentur,alle,2017,4.0,2.53,1.54,59.2,1.2,
LV-VORS,CH,agentur,alle,2018,4.0,2.58,1.54,58.4,1.2,
LV-VORS,CH,agentur,alle,2019,4.0,2.6,1.54,57.6,1.2,
LV-VORS,CH,agentur,pfefferminz,2020,3.4,2.78,2.0,56.8,1.38,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-VORS,CH,agentur,pfefferminz,2021,4.0,2.53,1.54,56.0,1.38,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-VORS,CH,agentur,pfefferminz,2022,4.0,2.73,1.54,55.2,1.2,
LV-VORS,CH,agentur,pfefferminz,2023,4.0,2.91,2.0,54.4,1.2,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-VORS,CH,agentur,pfefferminz,2024,4.0,2.66,1.54,53.6,1.2,
LV-VORS,CH,agentur,pfefferminz,2025,4.0,3.54,1.54,52.8,1.2,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-VORS,CH,makler,alle,2016,4.4,3.27,1.54,60.0,1.2,
LV-VORS,CH,makler,alle,2017,4.4,3.27,1.54,59.2,1.2,
LV-VORS,CH,makler,alle,2018,4.4,3.34,1.54,58.4,1.2,
LV-VORS,CH,makler,alle,2019,4.4,3.37,1.54,57.6,1.2,
LV-VORS,CH,makler,pfefferminz,2020,3.74,3.6,2.0,56.8,1.38,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-VORS,CH,makler,pfefferminz,2021,4.4,3.27,1.54,56.0,1.38,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-VORS,CH,makler,pfefferminz,2022,4.4,3.53,1.54,55.2,1.2,
LV-VORS,CH,makler,pfefferminz,2023,4.4,3.76,2.0,54.4,1.2,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-VORS,CH,makler,pfefferminz,2024,4.4,3.44,1.54,53.6,1.2,
LV-VORS,CH,makler,pfefferminz,2025,4.4,4.58,1.54,52.8,1.2,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-VORS,CH,direkt,alle,2016,5.6,4.02,1.78,60.0,1.2,
LV-VORS,CH,direkt,alle,2017,5.6,4.02,1.78,59.2,1.2,
LV-VORS,CH,direkt,alle,2018,5.6,4.1,1.78,58.4,1.2,
LV-VORS,CH,direkt,alle,2019,5.6,4.14,1.78,57.6,1.2,
LV-VORS,CH,direkt,pfefferminz,2020,4.76,4.42,2.32,56.8,1.38,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-VORS,CH,direkt,pfefferminz,2021,5.6,4.02,1.78,56.0,1.38,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-VORS,CH,direkt,pfefferminz,2022,5.6,4.34,1.78,55.2,1.2,
LV-VORS,CH,direkt,pfefferminz,2023,5.6,4.62,2.32,54.4,1.2,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-VORS,CH,direkt,pfefferminz,2024,5.6,4.22,1.78,53.6,1.2,
LV-VORS,CH,direkt,pfefferminz,2025,5.6,5.62,1.78,52.8,1.2,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-VORS,CH,bank,alle,2016,3.2,2.83,1.62,60.0,1.2,
LV-VORS,CH,bank,alle,2017,3.2,2.83,1.62,59.2,1.2,
LV-VORS,CH,bank,alle,2018,3.2,2.88,1.62,58.4,1.2,
LV-VORS,CH,bank,alle,2019,3.2,2.91,1.62,57.6,1.2,
LV-VORS,CH,bank,pfefferminz,2020,2.72,3.11,2.11,56.8,1.38,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-VORS,CH,bank,pfefferminz,2021,3.2,2.83,1.62,56.0,1.38,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-VORS,CH,bank,pfefferminz,2022,3.2,3.05,1.62,55.2,1.2,
LV-VORS,CH,bank,pfefferminz,2023,3.2,3.25,2.11,54.4,1.2,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-VORS,CH,bank,pfefferminz,2024,3.2,2.97,1.62,53.6,1.2,
LV-VORS,CH,bank,pfefferminz,2025,3.2,3.96,1.62,52.8,1.2,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-VORS,DE,agentur,alle,2016,0.0,3.42,1.88,60.0,1.2,
LV-VORS,DE,agentur,alle,2017,0.0,3.42,1.88,59.2,1.2,
LV-VORS,DE,agentur,alle,2018,0.0,3.49,1.88,58.4,1.2,
LV-VORS,DE,agentur,alle,2019,0.0,3.52,1.88,57.6,1.2,
LV-VORS,DE,agentur,pfefferminz,2020,0.0,3.76,2.45,56.8,1.38,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-VORS,DE,agentur,pfefferminz,2021,0.0,3.42,1.88,56.0,1.38,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-VORS,DE,agentur,pfefferminz,2022,0.0,3.69,1.88,55.2,1.2,
LV-VORS,DE,agentur,pfefferminz,2023,0.0,3.93,2.45,54.4,1.2,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-VORS,DE,agentur,pfefferminz,2024,0.0,3.59,1.88,53.6,1.2,
LV-VORS,DE,agentur,pfefferminz,2025,0.0,4.79,1.88,52.8,1.2,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-VORS,DE,makler,alle,2016,0.0,4.43,1.88,60.0,1.2,
LV-VORS,DE,makler,alle,2017,0.0,4.43,1.88,59.2,1.2,
LV-VORS,DE,makler,alle,2018,0.0,4.52,1.88,58.4,1.2,
LV-VORS,DE,makler,alle,2019,0.0,4.56,1.88,57.6,1.2,
LV-VORS,DE,makler,pfefferminz,2020,0.0,4.87,2.45,56.8,1.38,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-VORS,DE,makler,pfefferminz,2021,0.0,4.43,1.88,56.0,1.38,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-VORS,DE,makler,pfefferminz,2022,0.0,4.78,1.88,55.2,1.2,
LV-VORS,DE,makler,pfefferminz,2023,0.0,5.09,2.45,54.4,1.2,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-VORS,DE,makler,pfefferminz,2024,0.0,4.65,1.88,53.6,1.2,
LV-VORS,DE,makler,pfefferminz,2025,0.0,6.2,1.88,52.8,1.2,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-VORS,DE,direkt,alle,2016,0.0,5.43,2.18,60.0,1.2,
LV-VORS,DE,direkt,alle,2017,0.0,5.43,2.18,59.2,1.2,
LV-VORS,DE,direkt,alle,2018,0.0,5.54,2.18,58.4,1.2,
LV-VORS,DE,direkt,alle,2019,0.0,5.6,2.18,57.6,1.2,
LV-VORS,DE,direkt,pfefferminz,2020,0.0,5.98,2.83,56.8,1.38,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-VORS,DE,direkt,pfefferminz,2021,0.0,5.43,2.18,56.0,1.38,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-VORS,DE,direkt,pfefferminz,2022,0.0,5.87,2.18,55.2,1.2,
LV-VORS,DE,direkt,pfefferminz,2023,0.0,6.25,2.83,54.4,1.2,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-VORS,DE,direkt,pfefferminz,2024,0.0,5.71,2.18,53.6,1.2,
LV-VORS,DE,direkt,pfefferminz,2025,0.0,7.61,2.18,52.8,1.2,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-VORS,DE,bank,alle,2016,0.0,3.82,1.98,60.0,1.2,
LV-VORS,DE,bank,alle,2017,0.0,3.82,1.98,59.2,1.2,
LV-VORS,DE,bank,alle,2018,0.0,3.9,1.98,58.4,1.2,
LV-VORS,DE,bank,alle,2019,0.0,3.94,1.98,57.6,1.2,
LV-VORS,DE,bank,pfefferminz,2020,0.0,4.21,2.57,56.8,1.38,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-VORS,DE,bank,pfefferminz,2021,0.0,3.82,1.98,56.0,1.38,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-VORS,DE,bank,pfefferminz,2022,0.0,4.13,1.98,55.2,1.2,
LV-VORS,DE,bank,pfefferminz,2023,0.0,4.4,2.57,54.4,1.2,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-VORS,DE,bank,pfefferminz,2024,0.0,4.01,1.98,53.6,1.2,
LV-VORS,DE,bank,pfefferminz,2025,0.0,5.35,1.98,52.8,1.2,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-RENTE,CH,agentur,alle,2016,6.0,1.81,1.28,62.0,0.6,
LV-RENTE,CH,agentur,alle,2017,6.0,1.81,1.28,61.2,0.6,
LV-RENTE,CH,agentur,alle,2018,6.0,1.84,1.28,60.4,0.6,
LV-RENTE,CH,agentur,alle,2019,6.0,1.86,1.28,59.6,0.6,
LV-RENTE,CH,agentur,pfefferminz,2020,5.1,1.99,1.67,58.8,0.69,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RENTE,CH,agentur,pfefferminz,2021,6.0,1.81,1.28,58.0,0.69,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RENTE,CH,agentur,pfefferminz,2022,6.0,1.95,1.28,57.2,0.6,
LV-RENTE,CH,agentur,pfefferminz,2023,6.0,2.08,1.67,56.4,0.6,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-RENTE,CH,agentur,pfefferminz,2024,6.0,1.9,1.28,55.6,0.6,
LV-RENTE,CH,agentur,pfefferminz,2025,6.0,2.53,1.28,54.8,0.6,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-RENTE,CH,makler,alle,2016,6.6,2.34,1.28,62.0,0.6,
LV-RENTE,CH,makler,alle,2017,6.6,2.34,1.28,61.2,0.6,
LV-RENTE,CH,makler,alle,2018,6.6,2.38,1.28,60.4,0.6,
LV-RENTE,CH,makler,alle,2019,6.6,2.41,1.28,59.6,0.6,
LV-RENTE,CH,makler,pfefferminz,2020,5.61,2.57,1.67,58.8,0.69,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RENTE,CH,makler,pfefferminz,2021,6.6,2.34,1.28,58.0,0.69,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RENTE,CH,makler,pfefferminz,2022,6.6,2.52,1.28,57.2,0.6,
LV-RENTE,CH,makler,pfefferminz,2023,6.6,2.69,1.67,56.4,0.6,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-RENTE,CH,makler,pfefferminz,2024,6.6,2.45,1.28,55.6,0.6,
LV-RENTE,CH,makler,pfefferminz,2025,6.6,3.27,1.28,54.8,0.6,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-RENTE,CH,direkt,alle,2016,8.4,2.87,1.49,62.0,0.6,
LV-RENTE,CH,direkt,alle,2017,8.4,2.87,1.49,61.2,0.6,
LV-RENTE,CH,direkt,alle,2018,8.4,2.93,1.49,60.4,0.6,
LV-RENTE,CH,direkt,alle,2019,8.4,2.95,1.49,59.6,0.6,
LV-RENTE,CH,direkt,pfefferminz,2020,7.14,3.16,1.93,58.8,0.69,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RENTE,CH,direkt,pfefferminz,2021,8.4,2.87,1.49,58.0,0.69,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RENTE,CH,direkt,pfefferminz,2022,8.4,3.1,1.49,57.2,0.6,
LV-RENTE,CH,direkt,pfefferminz,2023,8.4,3.3,1.93,56.4,0.6,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-RENTE,CH,direkt,pfefferminz,2024,8.4,3.01,1.49,55.6,0.6,
LV-RENTE,CH,direkt,pfefferminz,2025,8.4,4.02,1.49,54.8,0.6,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-RENTE,CH,bank,alle,2016,4.8,2.02,1.35,62.0,0.6,
LV-RENTE,CH,bank,alle,2017,4.8,2.02,1.35,61.2,0.6,
LV-RENTE,CH,bank,alle,2018,4.8,2.06,1.35,60.4,0.6,
LV-RENTE,CH,bank,alle,2019,4.8,2.08,1.35,59.6,0.6,
LV-RENTE,CH,bank,pfefferminz,2020,4.08,2.22,1.76,58.8,0.69,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RENTE,CH,bank,pfefferminz,2021,4.8,2.02,1.35,58.0,0.69,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RENTE,CH,bank,pfefferminz,2022,4.8,2.18,1.35,57.2,0.6,
LV-RENTE,CH,bank,pfefferminz,2023,4.8,2.32,1.76,56.4,0.6,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-RENTE,CH,bank,pfefferminz,2024,4.8,2.12,1.35,55.6,0.6,
LV-RENTE,CH,bank,pfefferminz,2025,4.8,2.83,1.35,54.8,0.6,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-RENTE,DE,agentur,alle,2016,6.0,2.44,1.57,62.0,0.6,
LV-RENTE,DE,agentur,alle,2017,6.0,2.44,1.57,61.2,0.6,
LV-RENTE,DE,agentur,alle,2018,6.0,2.49,1.57,60.4,0.6,
LV-RENTE,DE,agentur,alle,2019,6.0,2.52,1.57,59.6,0.6,
LV-RENTE,DE,agentur,pfefferminz,2020,5.1,2.69,2.04,58.8,0.69,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RENTE,DE,agentur,pfefferminz,2021,6.0,2.44,1.57,58.0,0.69,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RENTE,DE,agentur,pfefferminz,2022,6.0,2.64,1.57,57.2,0.6,
LV-RENTE,DE,agentur,pfefferminz,2023,6.0,2.81,2.04,56.4,0.6,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-RENTE,DE,agentur,pfefferminz,2024,6.0,2.57,1.57,55.6,0.6,
LV-RENTE,DE,agentur,pfefferminz,2025,6.0,3.42,1.57,54.8,0.6,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-RENTE,DE,makler,alle,2016,6.6,3.16,1.57,62.0,0.6,
LV-RENTE,DE,makler,alle,2017,6.6,3.16,1.57,61.2,0.6,
LV-RENTE,DE,makler,alle,2018,6.6,3.23,1.57,60.4,0.6,
LV-RENTE,DE,makler,alle,2019,6.6,3.26,1.57,59.6,0.6,
LV-RENTE,DE,makler,pfefferminz,2020,5.61,3.48,2.04,58.8,0.69,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RENTE,DE,makler,pfefferminz,2021,6.6,3.16,1.57,58.0,0.69,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RENTE,DE,makler,pfefferminz,2022,6.6,3.42,1.57,57.2,0.6,
LV-RENTE,DE,makler,pfefferminz,2023,6.6,3.64,2.04,56.4,0.6,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-RENTE,DE,makler,pfefferminz,2024,6.6,3.32,1.57,55.6,0.6,
LV-RENTE,DE,makler,pfefferminz,2025,6.6,4.43,1.57,54.8,0.6,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-RENTE,DE,direkt,alle,2016,8.4,3.88,1.82,62.0,0.6,
LV-RENTE,DE,direkt,alle,2017,8.4,3.88,1.82,61.2,0.6,
LV-RENTE,DE,direkt,alle,2018,8.4,3.96,1.82,60.4,0.6,
LV-RENTE,DE,direkt,alle,2019,8.4,4.0,1.82,59.6,0.6,
LV-RENTE,DE,direkt,pfefferminz,2020,7.14,4.27,2.36,58.8,0.69,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RENTE,DE,direkt,pfefferminz,2021,8.4,3.88,1.82,58.0,0.69,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RENTE,DE,direkt,pfefferminz,2022,8.4,4.19,1.82,57.2,0.6,
