tafel,alter,qx_m,qx_w,qx_unisex,beschreibung
T1985,51,0.004215,0.002613,0.003414,Tarifgenerationen PK-85 bis PK-2004
T1985,52,0.004596,0.002850,0.003723,Tarifgenerationen PK-85 bis PK-2004
T1985,53,0.005014,0.003109,0.004062,Tarifgenerationen PK-85 bis PK-2004
T1985,54,0.005474,0.003394,0.004434,Tarifgenerationen PK-85 bis PK-2004
T1985,55,0.005979,0.003707,0.004843,Tarifgenerationen PK-85 bis PK-2004
T1985,56,0.006534,0.004051,0.005293,Tarifgenerationen PK-85 bis PK-2004
T1985,57,0.007144,0.004429,0.005786,Tarifgenerationen PK-85 bis PK-2004
T1985,58,0.007813,0.004844,0.006329,Tarifgenerationen PK-85 bis PK-2004
T1985,59,0.008549,0.005300,0.006924,Tarifgenerationen PK-85 bis PK-2004
T1985,60,0.009357,0.005801,0.007579,Tarifgenerationen PK-85 bis PK-2004
T1985,61,0.010245,0.006352,0.008298,Tarifgenerationen PK-85 bis PK-2004
T1985,62,0.011220,0.006956,0.009088,Tarifgenerationen PK-85 bis PK-2004
T1985,63,0.012291,0.007620,0.009956,Tarifgenerationen PK-85 bis PK-2004
T1985,64,0.013468,0.008350,0.010909,Tarifgenerationen PK-85 bis PK-2004
T1985,65,0.014761,0.009152,0.011956,Tarifgenerationen PK-85 bis PK-2004
T1985,66,0.016181,0.010032,0.013107,Tarifgenerationen PK-85 bis PK-2004
T1985,67,0.017741,0.011000,0.014371,Tarifgenerationen PK-85 bis PK-2004
T1985,68,0.019456,0.012062,0.015759,Tarifgenerationen PK-85 bis PK-2004
T1985,69,0.021339,0.013230,0.017284,Tarifgenerationen PK-85 bis PK-2004
T1985,70,0.023407,0.014513,0.018960,Tarifgenerationen PK-85 bis PK-2004
T1985,71,0.025680,0.015921,0.020801,Tarifgenerationen PK-85 bis PK-2004
T1985,72,0.028176,0.017469,0.022823,Tarifgenerationen PK-85 bis PK-2004
T1985,73,0.030919,0.019170,0.025044,Tarifgenerationen PK-85 bis PK-2004
T1985,74,0.033932,0.021038,0.027485,Tarifgenerationen PK-85 bis PK-2004
T1985,75,0.037241,0.023090,0.030166,Tarifgenerationen PK-85 bis PK-2004
T1985,76,0.040877,0.025344,0.033111,Tarifgenerationen PK-85 bis PK-2004
T1985,77,0.044872,0.027821,0.036346,Tarifgenerationen PK-85 bis PK-2004
T1985,78,0.049260,0.030541,0.039901,Tarifgenerationen PK-85 bis PK-2004
T1985,79,0.054080,0.033530,0.043805,Tarifgenerationen PK-85 bis PK-2004
T1985,80,0.059376,0.036813,0.048095,Tarifgenerationen PK-85 bis PK-2004
T1985,81,0.065194,0.040420,0.052807,Tarifgenerationen PK-85 bis PK-2004
T1985,82,0.071585,0.044383,0.057984,Tarifgenerationen PK-85 bis PK-2004
T1985,83,0.078606,0.048735,0.063671,Tarifgenerationen PK-85 bis PK-2004
T1985,84,0.086318,0.053517,0.069918,Tarifgenerationen PK-85 bis PK-2004
T1985,85,0.094792,0.058771,0.076781,Tarifgenerationen PK-85 bis PK-2004
T2004,18,0.000386,0.000231,0.000309,Tarifgenerationen PK-2007 bis PL-2017
T2004,19,0.000399,0.000239,0.000319,Tarifgenerationen PK-2007 bis PL-2017
T2004,20,0.000414,0.000248,0.000331,Tarifgenerationen PK-2007 bis PL-2017
T2004,21,0.000430,0.000258,0.000344,Tarifgenerationen PK-2007 bis PL-2017
T2004,22,0.000448,0.000269,0.000358,Tarifgenerationen PK-2007 bis PL-2017
T2004,23,0.000467,0.000280,0.000374,Tarifgenerationen PK-2007 bis PL-2017
T2004,24,0.000489,0.000293,0.000391,Tarifgenerationen PK-2007 bis PL-2017
T2004,25,0.000512,0.000307,0.000410,Tarifgenerationen PK-2007 bis PL-2017
T2004,26,0.000538,0.000323,0.000430,Tarifgenerationen PK-2007 bis PL-2017
T2004,27,0.000566,0.000340,0.000453,Tarifgenerationen PK-2007 bis PL-2017
T2004,28,0.000598,0.000359,0.000478,Tarifgenerationen PK-2007 bis PL-2017
T2004,29,0.000632,0.000379,0.000505,Tarifgenerationen PK-2007 bis PL-2017
T2004,30,0.000669,0.000402,0.000536,Tarifgenerationen PK-2007 bis PL-2017
T2004,31,0.000711,0.000426,0.000569,Tarifgenerationen PK-2007 bis PL-2017
T2004,32,0.000756,0.000454,0.000605,Tarifgenerationen PK-2007 bis PL-2017
T2004,33,0.000806,0.000484,0.000645,Tarifgenerationen PK-2007 bis PL-2017
T2004,34,0.000861,0.000517,0.000689,Tarifgenerationen PK-2007 bis PL-2017
T2004,35,0.000921,0.000553,0.000737,Tarifgenerationen PK-2007 bis PL-2017
T2004,36,0.000987,0.000592,0.000790,Tarifgenerationen PK-2007 bis PL-2017
T2004,37,0.001060,0.000636,0.000848,Tarifgenerationen PK-2007 bis PL-2017
T2004,38,0.001140,0.000684,0.000912,Tarifgenerationen PK-2007 bis PL-2017
T2004,39,0.001227,0.000736,0.000982,Tarifgenerationen PK-2007 bis PL-2017
T2004,40,0.001324,0.000794,0.001059,Tarifgenerationen PK-2007 bis PL-2017
T2004,41,0.001430,0.000858,0.001144,Tarifgenerationen PK-2007 bis PL-2017
T2004,42,0.001546,0.000927,0.001237,Tarifgenerationen PK-2007 bis PL-2017
T2004,43,0.001674,0.001004,0.001339,Tarifgenerationen PK-2007 bis PL-2017
T2004,44,0.001814,0.001088,0.001451,Tarifgenerationen PK-2007 bis PL-2017
T2004,45,0.001968,0.001181,0.001574,Tarifgenerationen PK-2007 bis PL-2017
T2004,46,0.002137,0.001282,0.001710,Tarifgenerationen PK-2007 bis PL-2017
T2004,47,0.002323,0.001394,0.001859,Tarifgenerationen PK-2007 bis PL-2017
T2004,48,0.002528,0.001517,0.002022,Tarifgenerationen PK-2007 bis PL-2017
T2004,49,0.002752,0.001651,0.002202,Tarifgenerationen PK-2007 bis PL-2017
T2004,50,0.002999,0.001799,0.002399,Tarifgenerationen PK-2007 bis PL-2017
T2004,51,0.003270,0.001962,0.002616,Tarifgenerationen PK-2007 bis PL-2017
T2004,52,0.003567,0.002140,0.002854,Tarifgenerationen PK-2007 bis PL-2017
T2004,53,0.003894,0.002336,0.003115,Tarifgenerationen PK-2007 bis PL-2017
T2004,54,0.004253,0.002552,0.003403,Tarifgenerationen PK-2007 bis PL-2017
T2004,55,0.004648,0.002789,0.003718,Tarifgenerationen PK-2007 bis PL-2017
T2004,56,0.005081,0.003049,0.004065,Tarifgenerationen PK-2007 bis PL-2017
T2004,57,0.005557,0.003334,0.004446,Tarifgenerationen PK-2007 bis PL-2017
T2004,58,0.006081,0.003648,0.004864,Tarifgenerationen PK-2007 bis PL-2017
T2004,59,0.006655,0.003993,0.005324,Tarifgenerationen PK-2007 bis PL-2017
T2004,60,0.007287,0.004372,0.005829,Tarifgenerationen PK-2007 bis PL-2017
T2004,61,0.007980,0.004788,0.006384,Tarifgenerationen PK-2007 bis PL-2017
T2004,62,0.008742,0.005245,0.006994,Tarifgenerationen PK-2007 bis PL-2017
T2004,63,0.009579,0.005747,0.007663,Tarifgenerationen PK-2007 bis PL-2017
T2004,64,0.010498,0.006299,0.008399,Tarifgenerationen PK-2007 bis PL-2017
T2004,65,0.011508,0.006905,0.009207,Tarifgenerationen PK-2007 bis PL-2017
T2004,66,0.012618,0.007571,0.010094,Tarifgenerationen PK-2007 bis PL-2017
T2004,67,0.013837,0.008302,0.011070,Tarifgenerationen PK-2007 bis PL-2017
T2004,68,0.015176,0.009106,0.012141,Tarifgenerationen PK-2007 bis PL-2017
T2004,69,0.016647,0.009988,0.013318,Tarifgenerationen PK-2007 bis PL-2017
T2004,70,0.018263,0.010958,0.014611,Tarifgenerationen PK-2007 bis PL-2017
T2004,71,0.020039,0.012023,0.016031,Tarifgenerationen PK-2007 bis PL-2017
T2004,72,0.021989,0.013194,0.017591,Tarifgenerationen PK-2007 bis PL-2017
T2004,73,0.024132,0.014479,0.019306,Tarifgenerationen PK-2007 bis PL-2017
T2004,74,0.026486,0.015891,0.021189,Tarifgenerationen PK-2007 bis PL-2017
T2004,75,0.029071,0.017443,0.023257,Tarifgenerationen PK-2007 bis PL-2017
T2004,76,0.031912,0.019147,0.025530,Tarifgenerationen PK-2007 bis PL-2017
T2004,77,0.035033,0.021020,0.028026,Tarifgenerationen PK-2007 bis PL-2017
T2004,78,0.038461,0.023077,0.030769,Tarifgenerationen PK-2007 bis PL-2017
T2004,79,0.042227,0.025336,0.033782,Tarifgenerationen PK-2007 bis PL-2017
T2004,80,0.046364,0.027819,0.037091,Tarifgenerationen PK-2007 bis PL-2017
T2004,81,0.050909,0.030546,0.040727,Tarifgenerationen PK-2007 bis PL-2017
T2004,82,0.055902,0.033541,0.044722,Tarifgenerationen PK-2007 bis PL-2017
T2004,83,0.061387,0.036832,0.049110,Tarifgenerationen PK-2007 bis PL-2017
T2004,84,0.067413,0.040448,0.053930,Tarifgenerationen PK-2007 bis PL-2017
T2004,85,0.074032,0.044419,0.059226,Tarifgenerationen PK-2007 bis PL-2017
T2020,18,0.000285,0.000165,0.000225,Tarifgenerationen MZ-2020 und PZ-2025
T2020,19,0.000296,0.000171,0.000233,Tarifgenerationen MZ-2020 und PZ-2025
T2020,20,0.000307,0.000178,0.000243,Tarifgenerationen MZ-2020 und PZ-2025
T2020,21,0.000320,0.000185,0.000253,Tarifgenerationen MZ-2020 und PZ-2025
T2020,22,0.000334,0.000193,0.000264,Tarifgenerationen MZ-2020 und PZ-2025
T2020,23,0.000349,0.000202,0.000276,Tarifgenerationen MZ-2020 und PZ-2025
T2020,24,0.000366,0.000212,0.000289,Tarifgenerationen MZ-2020 und PZ-2025
T2020,25,0.000384,0.000223,0.000304,Tarifgenerationen MZ-2020 und PZ-2025
T2020,26,0.000405,0.000235,0.000320,Tarifgenerationen MZ-2020 und PZ-2025
T2020,27,0.000427,0.000248,0.000337,Tarifgenerationen MZ-2020 und PZ-2025
T2020,28,0.000452,0.000262,0.000357,Tarifgenerationen MZ-2020 und PZ-2025
T2020,29,0.000479,0.000278,0.000378,Tarifgenerationen MZ-2020 und PZ-2025
T2020,30,0.000508,0.000295,0.000402,Tarifgenerationen MZ-2020 und PZ-2025
T2020,31,0.000541,0.000314,0.000428,Tarifgenerationen MZ-2020 und PZ-2025
T2020,32,0.000577,0.000335,0.000456,Tarifgenerationen MZ-2020 und PZ-2025
T2020,33,0.000617,0.000358,0.000487,Tarifgenerationen MZ-2020 und PZ-2025
T2020,34,0.000660,0.000383,0.000522,Tarifgenerationen MZ-2020 und PZ-2025
T2020,35,0.000708,0.000411,0.000559,Tarifgenerationen MZ-2020 und PZ-2025
T2020,36,0.000761,0.000441,0.000601,Tarifgenerationen MZ-2020 und PZ-2025
T2020,37,0.000819,0.000475,0.000647,Tarifgenerationen MZ-2020 und PZ-2025
T2020,38,0.000882,0.000512,0.000697,Tarifgenerationen MZ-2020 und PZ-2025
T2020,39,0.000952,0.000552,0.000752,Tarifgenerationen MZ-2020 und PZ-2025
T2020,40,0.001029,0.000597,0.000813,Tarifgenerationen MZ-2020 und PZ-2025
T2020,41,0.001114,0.000646,0.000880,Tarifgenerationen MZ-2020 und PZ-2025
T2020,42,0.001207,0.000700,0.000954,Tarifgenerationen MZ-2020 und PZ-2025
T2020,43,0.001309,0.000759,0.001034,Tarifgenerationen MZ-2020 und PZ-2025
T2020,44,0.001422,0.000825,0.001123,Tarifgenerationen MZ-2020 und PZ-2025
T2020,45,0.001546,0.000897,0.001221,Tarifgenerationen MZ-2020 und PZ-2025
T2020,46,0.001682,0.000975,0.001329,Tarifgenerationen MZ-2020 und PZ-2025
T2020,47,0.001831,0.001062,0.001447,Tarifgenerationen MZ-2020 und PZ-2025
T2020,48,0.001996,0.001158,0.001577,Tarifgenerationen MZ-2020 und PZ-2025
T2020,49,0.002177,0.001263,0.001720,Tarifgenerationen MZ-2020 und PZ-2025
T2020,50,0.002376,0.001378,0.001877,Tarifgenerationen MZ-2020 und PZ-2025
T2020,51,0.002595,0.001505,0.002050,Tarifgenerationen MZ-2020 und PZ-2025
T2020,52,0.002836,0.001645,0.002240,Tarifgenerationen MZ-2020 und PZ-2025
T2020,53,0.003100,0.001798,0.002449,Tarifgenerationen MZ-2020 und PZ-2025
T2020,54,0.003391,0.001967,0.002679,Tarifgenerationen MZ-2020 und PZ-2025
T2020,55,0.003711,0.002153,0.002932,Tarifgenerationen MZ-2020 und PZ-2025
T2020,56,0.004063,0.002357,0.003210,Tarifgenerationen MZ-2020 und PZ-2025
T2020,57,0.004450,0.002581,0.003516,Tarifgenerationen MZ-2020 und PZ-2025
T2020,58,0.004876,0.002828,0.003852,Tarifgenerationen MZ-2020 und PZ-2025
T2020,59,0.005344,0.003099,0.004222,Tarifgenerationen MZ-2020 und PZ-2025
T2020,60,0.005858,0.003398,0.004628,Tarifgenerationen MZ-2020 und PZ-2025
T2020,61,0.006424,0.003726,0.005075,Tarifgenerationen MZ-2020 und PZ-2025
T2020,62,0.007047,0.004087,0.005567,Tarifgenerationen MZ-2020 und PZ-2025
T2020,63,0.007731,0.004484,0.006108,Tarifgenerationen MZ-2020 und PZ-2025
T2020,64,0.008484,0.004920,0.006702,Tarifgenerationen MZ-2020 und PZ-2025
T2020,65,0.009311,0.005400,0.007356,Tarifgenerationen MZ-2020 und PZ-2025
T2020,66,0.010221,0.005928,0.008075,Tarifgenerationen MZ-2020 und PZ-2025
T2020,67,0.011222,0.006509,0.008865,Tarifgenerationen MZ-2020 und PZ-2025
T2020,68,0.012322,0.007147,0.009735,Tarifgenerationen MZ-2020 und PZ-2025
T2020,69,0.013532,0.007849,0.010690,Tarifgenerationen MZ-2020 und PZ-2025
T2020,70,0.014863,0.008620,0.011742,Tarifgenerationen MZ-2020 und PZ-2025
T2020,71,0.016326,0.009469,0.012898,Tarifgenerationen MZ-2020 und PZ-2025
T2020,72,0.017935,0.010402,0.014169,Tarifgenerationen MZ-2020 und PZ-2025
T2020,73,0.019705,0.011429,0.015567,Tarifgenerationen MZ-2020 und PZ-2025
T2020,74,0.021651,0.012557,0.017104,Tarifgenerationen MZ-2020 und PZ-2025
T2020,75,0.023790,0.013798,0.018794,Tarifgenerationen MZ-2020 und PZ-2025
T2020,76,0.026143,0.015163,0.020653,Tarifgenerationen MZ-2020 und PZ-2025
T2020,77,0.028731,0.016664,0.022697,Tarifgenerationen MZ-2020 und PZ-2025
T2020,78,0.031576,0.018314,0.024945,Tarifgenerationen MZ-2020 und PZ-2025
T2020,79,0.034705,0.020129,0.027417,Tarifgenerationen MZ-2020 und PZ-2025
T2020,80,0.038146,0.022125,0.030135,Tarifgenerationen MZ-2020 und PZ-2025
T2020,81,0.041929,0.024319,0.033124,Tarifgenerationen MZ-2020 und PZ-2025
T2020,82,0.046090,0.026732,0.036411,Tarifgenerationen MZ-2020 und PZ-2025
T2020,83,0.050665,0.029386,0.040026,Tarifgenerationen MZ-2020 und PZ-2025
T2020,84,0.055697,0.032304,0.044000,Tarifgenerationen MZ-2020 und PZ-2025
T2020,85,0.061229,0.035513,0.048371,Tarifgenerationen MZ-2020 und PZ-2025
