generation_code,markt,jahr,rechnungszins_pct,gesamtverzinsung_pct,zinsueberschuss_pct,risikoueberschuss_pct,schlussueberschuss_pct,kommentar
PK-2000,DE,2025,3.25,2.6,0.0,30.0,1.2,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2000,CH,2016,3.0,2.25,0.0,25.0,2.4,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2000,CH,2017,3.0,2.1,0.0,25.0,2.24,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2000,CH,2018,3.0,2.0,0.0,25.0,2.08,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2000,CH,2019,3.0,1.9,0.0,25.0,1.92,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2000,CH,2020,3.0,1.75,0.0,25.0,1.76,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2000,CH,2021,3.0,1.6,0.0,25.0,1.6,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2000,CH,2022,3.0,1.5,0.0,25.0,1.44,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2000,CH,2023,3.0,1.55,0.0,25.0,1.28,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2000,CH,2024,3.0,1.8,0.0,25.0,1.12,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2000,CH,2025,3.0,2.0,0.0,25.0,0.96,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2004,DE,2016,2.75,2.9,0.15,30.0,3.0,
PK-2004,DE,2017,2.75,2.75,0.0,30.0,2.8,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2004,DE,2018,2.75,2.6,0.0,30.0,2.6,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2004,DE,2019,2.75,2.5,0.0,30.0,2.4,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2004,DE,2020,2.75,2.35,0.0,30.0,2.2,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2004,DE,2021,2.75,2.25,0.0,30.0,2.0,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2004,DE,2022,2.75,2.15,0.0,30.0,1.8,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2004,DE,2023,2.75,2.2,0.0,30.0,1.6,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2004,DE,2024,2.75,2.45,0.0,30.0,1.4,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2004,DE,2025,2.75,2.6,0.0,30.0,1.2,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2004,CH,2016,2.5,2.25,0.0,25.0,2.4,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2004,CH,2017,2.5,2.1,0.0,25.0,2.24,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2004,CH,2018,2.5,2.0,0.0,25.0,2.08,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2004,CH,2019,2.5,1.9,0.0,25.0,1.92,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2004,CH,2020,2.5,1.75,0.0,25.0,1.76,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2004,CH,2021,2.5,1.6,0.0,25.0,1.6,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2004,CH,2022,2.5,1.5,0.0,25.0,1.44,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2004,CH,2023,2.5,1.55,0.0,25.0,1.28,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2004,CH,2024,2.5,1.8,0.0,25.0,1.12,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2004,CH,2025,2.5,2.0,0.0,25.0,0.96,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2007,DE,2016,2.25,2.9,0.65,30.0,3.0,
PK-2007,DE,2017,2.25,2.75,0.5,30.0,2.8,
PK-2007,DE,2018,2.25,2.6,0.35,30.0,2.6,
PK-2007,DE,2019,2.25,2.5,0.25,30.0,2.4,
PK-2007,DE,2020,2.25,2.35,0.1,30.0,2.2,
PK-2007,DE,2021,2.25,2.25,0.0,30.0,2.0,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2007,DE,2022,2.25,2.15,0.0,30.0,1.8,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2007,DE,2023,2.25,2.2,0.0,30.0,1.6,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2007,DE,2024,2.25,2.45,0.2,30.0,1.4,Zinswende: Gesamtverzinsung steigt wieder
PK-2007,DE,2025,2.25,2.6,0.35,30.0,1.2,Zinswende: Gesamtverzinsung steigt wieder
PK-2007,CH,2016,2.0,2.25,0.25,25.0,2.4,
PK-2007,CH,2017,2.0,2.1,0.1,25.0,2.24,
PK-2007,CH,2018,2.0,2.0,0.0,25.0,2.08,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2007,CH,2019,2.0,1.9,0.0,25.0,1.92,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2007,CH,2020,2.0,1.75,0.0,25.0,1.76,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2007,CH,2021,2.0,1.6,0.0,25.0,1.6,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2007,CH,2022,2.0,1.5,0.0,25.0,1.44,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2007,CH,2023,2.0,1.55,0.0,25.0,1.28,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2007,CH,2024,2.0,1.8,0.0,25.0,1.12,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2007,CH,2025,2.0,2.0,0.0,25.0,0.96,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PL-2012,DE,2016,1.75,2.9,1.15,30.0,3.0,
PL-2012,DE,2017,1.75,2.75,1.0,30.0,2.8,
PL-2012,DE,2018,1.75,2.6,0.85,30.0,2.6,
PL-2012,DE,2019,1.75,2.5,0.75,30.0,2.4,
PL-2012,DE,2020,1.75,2.35,0.6,30.0,2.2,
PL-2012,DE,2021,1.75,2.25,0.5,30.0,2.0,
PL-2012,DE,2022,1.75,2.15,0.4,30.0,1.8,
PL-2012,DE,2023,1.75,2.2,0.45,30.0,1.6,
PL-2012,DE,2024,1.75,2.45,0.7,30.0,1.4,Zinswende: Gesamtverzinsung steigt wieder
PL-2012,DE,2025,1.75,2.6,0.85,30.0,1.2,Zinswende: Gesamtverzinsung steigt wieder
PL-2012,CH,2016,1.5,2.25,0.75,25.0,2.4,
PL-2012,CH,2017,1.5,2.1,0.6,25.0,2.24,
PL-2012,CH,2018,1.5,2.0,0.5,25.0,2.08,
PL-2012,CH,2019,1.5,1.9,0.4,25.0,1.92,
PL-2012,CH,2020,1.5,1.75,0.25,25.0,1.76,
PL-2012,CH,2021,1.5,1.6,0.1,25.0,1.6,
PL-2012,CH,2022,1.5,1.5,0.0,25.0,1.44,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PL-2012,CH,2023,1.5,1.55,0.05,25.0,1.28,
PL-2012,CH,2024,1.5,1.8,0.3,25.0,1.12,Zinswende: Gesamtverzinsung steigt wieder
PL-2012,CH,2025,1.5,2.0,0.5,25.0,0.96,Zinswende: Gesamtverzinsung steigt wieder
PL-2015,DE,2016,1.25,2.9,1.65,30.0,3.0,
PL-2015,DE,2017,1.25,2.75,1.5,30.0,2.8,
PL-2015,DE,2018,1.25,2.6,1.35,30.0,2.6,
PL-2015,DE,2019,1.25,2.5,1.25,30.0,2.4,
PL-2015,DE,2020,1.25,2.35,1.1,30.0,2.2,
PL-2015,DE,2021,1.25,2.25,1.0,30.0,2.0,
PL-2015,DE,2022,1.25,2.15,0.9,30.0,1.8,
PL-2015,DE,2023,1.25,2.2,0.95,30.0,1.6,
PL-2015,DE,2024,1.25,2.45,1.2,30.0,1.4,Zinswende: Gesamtverzinsung steigt wieder
PL-2015,DE,2025,1.25,2.6,1.35,30.0,1.2,Zinswende: Gesamtverzinsung steigt wieder
PL-2015,CH,2016,1.0,2.25,1.25,25.0,2.4,
PL-2015,CH,2017,1.0,2.1,1.1,25.0,2.24,
PL-2015,CH,2018,1.0,2.0,1.0,25.0,2.08,
PL-2015,CH,2019,1.0,1.9,0.9,25.0,1.92,
PL-2015,CH,2020,1.0,1.75,0.75,25.0,1.76,
PL-2015,CH,2021,1.0,1.6,0.6,25.0,1.6,
PL-2015,CH,2022,1.0,1.5,0.5,25.0,1.44,
PL-2015,CH,2023,1.0,1.55,0.55,25.0,1.28,
PL-2015,CH,2024,1.0,1.8,0.8,25.0,1.12,Zinswende: Gesamtverzinsung steigt wieder
PL-2015,CH,2025,1.0,2.0,1.0,25.0,0.96,Zinswende: Gesamtverzinsung steigt wieder
PL-2017,DE,2017,0.9,2.75,1.85,30.0,2.8,
PL-2017,DE,2018,0.9,2.6,1.7,30.0,2.6,
PL-2017,DE,2019,0.9,2.5,1.6,30.0,2.4,
PL-2017,DE,2020,0.9,2.35,1.45,30.0,2.2,
PL-2017,DE,2021,0.9,2.25,1.35,30.0,2.0,
PL-2017,DE,2022,0.25,2.15,1.9,30.0,1.8,
PL-2017,DE,2023,0.25,2.2,1.95,30.0,1.6,
PL-2017,DE,2024,0.25,2.45,2.2,30.0,1.4,Zinswende: Gesamtverzinsung steigt wieder
PL-2017,DE,2025,0.25,2.6,2.35,30.0,1.2,Zinswende: Gesamtverzinsung steigt wieder
PL-2017,CH,2017,0.25,2.1,1.85,25.0,2.24,
PL-2017,CH,2018,0.25,2.0,1.75,25.0,2.08,
PL-2017,CH,2019,0.25,1.9,1.65,25.0,1.92,
PL-2017,CH,2020,0.25,1.75,1.5,25.0,1.76,
PL-2017,CH,2021,0.25,1.6,1.35,25.0,1.6,
PL-2017,CH,2022,0.25,1.5,1.25,25.0,1.44,
PL-2017,CH,2023,0.25,1.55,1.3,25.0,1.28,
PL-2017,CH,2024,0.25,1.8,1.55,25.0,1.12,Zinswende: Gesamtverzinsung steigt wieder
PL-2017,CH,2025,0.25,2.0,1.75,25.0,0.96,Zinswende: Gesamtverzinsung steigt wieder
MZ-2020,DE,2020,0.25,2.35,2.1,30.0,2.2,
MZ-2020,DE,2021,0.25,2.25,2.0,30.0,2.0,
MZ-2020,DE,2022,0.25,2.15,1.9,30.0,1.8,
MZ-2020,DE,2023,0.25,2.2,1.95,30.0,1.6,
MZ-2020,DE,2024,0.25,2.45,2.2,30.0,1.4,Zinswende: Gesamtverzinsung steigt wieder
MZ-2020,DE,2025,0.25,2.6,2.35,30.0,1.2,Zinswende: Gesamtverzinsung steigt wieder
MZ-2020,CH,2021,0.25,1.6,1.35,25.0,1.6,
MZ-2020,CH,2022,0.25,1.5,1.25,25.0,1.44,
MZ-2020,CH,2023,0.25,1.55,1.3,25.0,1.28,
MZ-2020,CH,2024,0.25,1.8,1.55,25.0,1.12,Zinswende: Gesamtverzinsung steigt wieder
MZ-2020,CH,2025,0.25,2.0,1.75,25.0,0.96,Zinswende: Gesamtverzinsung steigt wieder
PZ-2025,DE,2025,1.0,2.6,1.6,30.0,1.2,Zinswende: Gesamtverzinsung steigt wieder
PZ-2025,CH,2025,0.5,2.0,1.5,25.0,0.96,Zinswende: Gesamtverzinsung steigt wieder
