branche_id,bezeichnung_de,noga_code,wz_code,risikoklasse,grundpraemiensatz_promille,zeichnungsstatus,anteil_bestand_pct,bemerkung
BK-061,"Kindertagesstätte, Kinderkrippe",88.91,88.91,2,1.0,annehmbar,1.1,Aufsichtspflicht
BK-062,Fahrschule,85.53,85.53,3,1.8,annehmbar,0.4,
BK-063,Arztpraxis (Allgemeinmedizin),86.21,86.21,2,1.0,annehmbar,0.9,"Berufshaftpflicht Medizin nicht Gegenstand, nur Betriebsrisiko"
BK-064,Zahnarztpraxis,86.23,86.23,2,1.0,annehmbar,0.7,wie 86.21
BK-065,"Physiotherapie, Gesundheitswesen a. n. g.",86.90,86.90,2,1.0,annehmbar,1.2,
BK-066,Alters- und Pflegeheim,87.30,87.30,3,1.8,annehmbar,0.6,
BK-067,Tierarztpraxis,75.00,75.00,2,1.0,annehmbar,0.4,
BK-068,"Hundesalon, Tierpension, sonstige Dienstleistungen",96.09,96.09,1,0.6,annehmbar,0.5,
BK-069,Werbeagentur,73.11,73.11,1,0.6,annehmbar,1.0,Reine Vermögensschäden: Berufshaftpflicht
BK-070,"Design, Grafik, Innenarchitektur",74.10,74.10,1,0.6,annehmbar,0.9,
BK-071,Fotografie,74.20,74.20,1,0.6,annehmbar,0.6,
BK-072,Verlag,58.11,58.11,1,0.6,annehmbar,0.3,
BK-073,"Darstellende Kunst, Eventtechnik",90.01,90.01,3,1.8,annehmbar,0.5,"Traversen, Bühnenbau: Zuschlag"
BK-074,Reparatur von Computern,95.11,95.11,1,0.6,annehmbar,0.5,
BK-075,Softwareentwicklung (Betriebsrisiko),62.01,62.01,1,0.6,annehmbar,1.4,Vermögensschäden über Berufshaftpflicht BG-IT
BK-076,Vermietung eigener Immobilien,68.20,68.20,2,1.0,annehmbar,1.5,Gebäudehaftpflicht-Baustein
BK-077,"Immobilienverwaltung, Hauswartung",68.32,68.32,1,0.6,annehmbar,0.8,
BK-078,Reisebüro,79.11,79.11,1,0.6,annehmbar,0.4,
BK-079,"Abwasserentsorgung, Kanalreinigung",37.00,37.00,4,3.0,zuschlag,0.2,Umweltbaustein zwingend
BK-080,Abfallsammlung,38.11,38.11,4,3.0,zuschlag,0.3,Umweltbaustein zwingend
BK-081,"Abfallbehandlung, Deponie",38.21,38.21,5,4.5,referat,0.1,Referat: nur mit Umweltgutachten
BK-082,Kohlenbergbau,05.10,05.10,5,4.5,abgelehnt,0.0,
BK-083,Mineralölverarbeitung,19.20,19.20,5,4.5,abgelehnt,0.0,
BK-084,"Herstellung von Sprengstoffen, Pyrotechnik",20.51,20.51,5,4.5,abgelehnt,0.0,
BK-085,Luft- und Raumfahrzeugbau,30.30,30.30,5,4.5,abgelehnt,0.0,
BK-086,Personenbeförderung in der Luftfahrt,51.10,51.10,5,4.5,abgelehnt,0.0,
BK-087,"Spiel-, Wett- und Lotteriewesen",92.00,92.00,5,4.5,referat,0.1,Referat: Geldwäscherei-Abklärung
