strasse,sprache,typ,generisch
Eichenweg,de-CH,Weg,false
Eichengasse,de-CH,Gasse,false
Eichenplatz,de-CH,Platz,false
Eichenrain,de-CH,Rain,false
Eichenhalde,de-CH,Halde,false
Eichenmatte,de-CH,Matte,false
Eichenacker,de-CH,Acker,false
Eichenhof,de-CH,Hof,false
Eichenring,de-CH,Ring,false
Eichensteig,de-CH,Steig,false
Erlenstrasse,de-CH,Strasse,false
Erlenweg,de-CH,Weg,false
Erlengasse,de-CH,Gasse,false
Erlenplatz,de-CH,Platz,false
Erlenrain,de-CH,Rain,false
Erlenhalde,de-CH,Halde,false
Erlenmatte,de-CH,Matte,false
Erlenacker,de-CH,Acker,false
Erlenhof,de-CH,Hof,false
Erlenring,de-CH,Ring,false
Erlensteig,de-CH,Steig,false
Eschenstrasse,de-CH,Strasse,false
Eschenweg,de-CH,Weg,false
Eschengasse,de-CH,Gasse,false
Eschenplatz,de-CH,Platz,false
Eschenrain,de-CH,Rain,false
Eschenhalde,de-CH,Halde,false
Eschenmatte,de-CH,Matte,false
Eschenacker,de-CH,Acker,false
Eschenhof,de-CH,Hof,false
Eschenring,de-CH,Ring,false
Eschensteig,de-CH,Steig,false
Fichtenstrasse,de-CH,Strasse,false
Fichtenweg,de-CH,Weg,false
Fichtengasse,de-CH,Gasse,false
Fichtenplatz,de-CH,Platz,false
Fichtenrain,de-CH,Rain,false
Fichtenhalde,de-CH,Halde,false
Fichtenmatte,de-CH,Matte,false
Fichtenacker,de-CH,Acker,false
Fichtenhof,de-CH,Hof,false
Fichtenring,de-CH,Ring,false
Fichtensteig,de-CH,Steig,false
Föhrenstrasse,de-CH,Strasse,false
Föhrenweg,de-CH,Weg,false
Föhrengasse,de-CH,Gasse,false
Föhrenplatz,de-CH,Platz,false
Föhrenrain,de-CH,Rain,false
Föhrenhalde,de-CH,Halde,false
Föhrenmatte,de-CH,Matte,false
Föhrenacker,de-CH,Acker,false
Föhrenhof,de-CH,Hof,false
Föhrenring,de-CH,Ring,false
Föhrensteig,de-CH,Steig,false
Kastanienstrasse,de-CH,Strasse,false
Kastanienweg,de-CH,Weg,false
Kastaniengasse,de-CH,Gasse,false
Kastanienplatz,de-CH,Platz,false
Kastanienrain,de-CH,Rain,false
Kastanienhalde,de-CH,Halde,false
Kastanienmatte,de-CH,Matte,false
Kastanienacker,de-CH,Acker,false
Kastanienhof,de-CH,Hof,false
Kastanienring,de-CH,Ring,false
Kastaniensteig,de-CH,Steig,false
Pappelstrasse,de-CH,Strasse,false
Pappelweg,de-CH,Weg,false
Pappelgasse,de-CH,Gasse,false
Pappelplatz,de-CH,Platz,false
Pappelrain,de-CH,Rain,false
Pappelhalde,de-CH,Halde,false
Pappelmatte,de-CH,Matte,false
Pappelacker,de-CH,Acker,false
Pappelhof,de-CH,Hof,false
Pappelring,de-CH,Ring,false
Pappelsteig,de-CH,Steig,false
Ulmenstrasse,de-CH,Strasse,false
Ulmenweg,de-CH,Weg,false
Ulmengasse,de-CH,Gasse,false
Ulmenplatz,de-CH,Platz,false
Ulmenrain,de-CH,Rain,false
Ulmenhalde,de-CH,Halde,false
Ulmenmatte,de-CH,Matte,false
Ulmenacker,de-CH,Acker,false
Ulmenhof,de-CH,Hof,false
Ulmenring,de-CH,Ring,false
Ulmensteig,de-CH,Steig,false
Weidenstrasse,de-CH,Strasse,false
Weidenweg,de-CH,Weg,false
Weidengasse,de-CH,Gasse,false
Weidenplatz,de-CH,Platz,false
Weidenrain,de-CH,Rain,false
Weidenhalde,de-CH,Halde,false
Weidenmatte,de-CH,Matte,false
Weidenacker,de-CH,Acker,false
Weidenhof,de-CH,Hof,false
Weidenring,de-CH,Ring,false
Weidensteig,de-CH,Steig,false
Kirschstrasse,de-CH,Strasse,false
Kirschweg,de-CH,Weg,false
Kirschgasse,de-CH,Gasse,false
Kirschplatz,de-CH,Platz,false
Kirschrain,de-CH,Rain,false
Kirschhalde,de-CH,Halde,false
Kirschmatte,de-CH,Matte,false
Kirschacker,de-CH,Acker,false
Kirschhof,de-CH,Hof,false
Kirschring,de-CH,Ring,false
Kirschsteig,de-CH,Steig,false
Apfelstrasse,de-CH,Strasse,false
Apfelweg,de-CH,Weg,false
Apfelgasse,de-CH,Gasse,false
Apfelplatz,de-CH,Platz,false
Apfelrain,de-CH,Rain,false
Apfelhalde,de-CH,Halde,false
Apfelmatte,de-CH,Matte,false
Apfelacker,de-CH,Acker,false
Apfelhof,de-CH,Hof,false
Apfelring,de-CH,Ring,false
Apfelsteig,de-CH,Steig,false
Nussstrasse,de-CH,Strasse,false
Nussweg,de-CH,Weg,false
Nussgasse,de-CH,Gasse,false
Nussplatz,de-CH,Platz,false
Nussrain,de-CH,Rain,false
Nusshalde,de-CH,Halde,false
Nussmatte,de-CH,Matte,false
Nussacker,de-CH,Acker,false
Nusshof,de-CH,Hof,false
Nussring,de-CH,Ring,false
Nusssteig,de-CH,Steig,false
Holunderstrasse,de-CH,Strasse,false
Holunderweg,de-CH,Weg,false
Holundergasse,de-CH,Gasse,false
Holunderplatz,de-CH,Platz,false
Holunderrain,de-CH,Rain,false
Holunderhalde,de-CH,Halde,false
Holundermatte,de-CH,Matte,false
Holunderacker,de-CH,Acker,false
Holunderhof,de-CH,Hof,false
Holunderring,de-CH,Ring,false
Holundersteig,de-CH,Steig,false
Fliederstrasse,de-CH,Strasse,false
Fliederweg,de-CH,Weg,false
Fliedergasse,de-CH,Gasse,false
Fliederplatz,de-CH,Platz,false
Fliederrain,de-CH,Rain,false
Fliederhalde,de-CH,Halde,false
Fliedermatte,de-CH,Matte,false
Fliederacker,de-CH,Acker,false
Fliederhof,de-CH,Hof,false
Fliederring,de-CH,Ring,false
Fliedersteig,de-CH,Steig,false
Tulpenstrasse,de-CH,Strasse,false
Tulpenweg,de-CH,Weg,false
Tulpengasse,de-CH,Gasse,false
Tulpenplatz,de-CH,Platz,false
Tulpenrain,de-CH,Rain,false
Tulpenhalde,de-CH,Halde,false
Tulpenmatte,de-CH,Matte,false
Tulpenacker,de-CH,Acker,false
Tulpenhof,de-CH,Hof,false
Tulpenring,de-CH,Ring,false
Tulpensteig,de-CH,Steig,false
Nelkenstrasse,de-CH,Strasse,false
Nelkenweg,de-CH,Weg,false
Nelkengasse,de-CH,Gasse,false
Nelkenplatz,de-CH,Platz,false
Nelkenrain,de-CH,Rain,false
Nelkenhalde,de-CH,Halde,false
Nelkenmatte,de-CH,Matte,false
Nelkenacker,de-CH,Acker,false
Nelkenhof,de-CH,Hof,false
Nelkenring,de-CH,Ring,false
Nelkensteig,de-CH,Steig,false
Veilchenstrasse,de-CH,Strasse,false
Veilchenweg,de-CH,Weg,false
Veilchengasse,de-CH,Gasse,false
Veilchenplatz,de-CH,Platz,false
Veilchenrain,de-CH,Rain,false
Veilchenhalde,de-CH,Halde,false
Veilchenmatte,de-CH,Matte,false
Veilchenacker,de-CH,Acker,false
Veilchenhof,de-CH,Hof,false
Veilchenring,de-CH,Ring,false
Veilchensteig,de-CH,Steig,false
Enzianstrasse,de-CH,Strasse,false
Enzianweg,de-CH,Weg,false
Enziangasse,de-CH,Gasse,false
Enzianplatz,de-CH,Platz,false
Enzianrain,de-CH,Rain,false
Enzianhalde,de-CH,Halde,false
Enzianmatte,de-CH,Matte,false
Enzianacker,de-CH,Acker,false
Enzianhof,de-CH,Hof,false
Enzianring,de-CH,Ring,false
Enziansteig,de-CH,Steig,false
Edelweissstrasse,de-CH,Strasse,false
Edelweissweg,de-CH,Weg,false
Edelweissgasse,de-CH,Gasse,false
Edelweissplatz,de-CH,Platz,false
Edelweissrain,de-CH,Rain,false
Edelweisshalde,de-CH,Halde,false
Edelweissmatte,de-CH,Matte,false
Edelweissacker,de-CH,Acker,false
Edelweisshof,de-CH,Hof,false
Edelweissring,de-CH,Ring,false
Edelweisssteig,de-CH,Steig,false
Alpenrosenstrasse,de-CH,Strasse,false
Alpenrosenweg,de-CH,Weg,false
Alpenrosengasse,de-CH,Gasse,false
Alpenrosenplatz,de-CH,Platz,false
Alpenrosenrain,de-CH,Rain,false
Alpenrosenhalde,de-CH,Halde,false
Alpenrosenmatte,de-CH,Matte,false
Alpenrosenacker,de-CH,Acker,false
Alpenrosenhof,de-CH,Hof,false
Alpenrosenring,de-CH,Ring,false
Alpenrosensteig,de-CH,Steig,false
Farnstrasse,de-CH,Strasse,false
Farnweg,de-CH,Weg,false
Farngasse,de-CH,Gasse,false
Farnplatz,de-CH,Platz,false
Farnrain,de-CH,Rain,false
Farnhalde,de-CH,Halde,false
Farnmatte,de-CH,Matte,false
Farnacker,de-CH,Acker,false
Farnhof,de-CH,Hof,false
Farnring,de-CH,Ring,false
Farnsteig,de-CH,Steig,false
Moosstrasse,de-CH,Strasse,false
Moosweg,de-CH,Weg,false
Moosgasse,de-CH,Gasse,false
Moosplatz,de-CH,Platz,false
Moosrain,de-CH,Rain,false
Mooshalde,de-CH,Halde,false
Moosmatte,de-CH,Matte,false
Moosacker,de-CH,Acker,false
Mooshof,de-CH,Hof,false
Moosring,de-CH,Ring,false
Moossteig,de-CH,Steig,false
Heidestrasse,de-CH,Strasse,false
Heideweg,de-CH,Weg,false
Heidegasse,de-CH,Gasse,false
Heideplatz,de-CH,Platz,false
Heiderain,de-CH,Rain,false
Heidehalde,de-CH,Halde,false
Heidematte,de-CH,Matte,false
Heideacker,de-CH,Acker,false
Heidehof,de-CH,Hof,false
Heidering,de-CH,Ring,false
Heidesteig,de-CH,Steig,false
Wiesenstrasse,de-CH,Strasse,false
Wiesenweg,de-CH,Weg,false
Wiesengasse,de-CH,Gasse,false
Wiesenplatz,de-CH,Platz,false
Wiesenrain,de-CH,Rain,false
Wiesenhalde,de-CH,Halde,false
Wiesenmatte,de-CH,Matte,false
Wiesenacker,de-CH,Acker,false
Wiesenhof,de-CH,Hof,false
Wiesenring,de-CH,Ring,false
Wiesensteig,de-CH,Steig,false
Feldstrasse,de-CH,Strasse,false
Feldweg,de-CH,Weg,false
Feldgasse,de-CH,Gasse,false
Feldplatz,de-CH,Platz,false
Feldrain,de-CH,Rain,false
Feldhalde,de-CH,Halde,false
Feldmatte,de-CH,Matte,false
Feldacker,de-CH,Acker,false
Feldhof,de-CH,Hof,false
Feldring,de-CH,Ring,false
Feldsteig,de-CH,Steig,false
Ackerstrasse,de-CH,Strasse,false
Ackerweg,de-CH,Weg,false
Ackergasse,de-CH,Gasse,false
Ackerplatz,de-CH,Platz,false
Ackerrain,de-CH,Rain,false
Ackerhalde,de-CH,Halde,false
Ackermatte,de-CH,Matte,false
Ackeracker,de-CH,Acker,false
Ackerhof,de-CH,Hof,false
Ackerring,de-CH,Ring,false
Ackersteig,de-CH,Steig,false
Gartenstrasse,de-CH,Strasse,false
Gartenweg,de-CH,Weg,false
Gartengasse,de-CH,Gasse,false
Gartenplatz,de-CH,Platz,false
Gartenrain,de-CH,Rain,false
Gartenhalde,de-CH,Halde,false
Gartenmatte,de-CH,Matte,false
Gartenacker,de-CH,Acker,false
Gartenhof,de-CH,Hof,false
Gartenring,de-CH,Ring,false
Gartensteig,de-CH,Steig,false
Mühlestrasse,de-CH,Strasse,false
Mühleweg,de-CH,Weg,false
Mühlegasse,de-CH,Gasse,false
Mühleplatz,de-CH,Platz,false
Mühlerain,de-CH,Rain,false
Mühlehalde,de-CH,Halde,false
Mühlematte,de-CH,Matte,false
Mühleacker,de-CH,Acker,false
Mühlehof,de-CH,Hof,false
Mühlering,de-CH,Ring,false
Mühlesteig,de-CH,Steig,false
Mühlenstrasse,de-CH,Strasse,false
Mühlenweg,de-CH,Weg,false
Mühlengasse,de-CH,Gasse,false
Mühlenplatz,de-CH,Platz,false
Mühlenrain,de-CH,Rain,false
Mühlenhalde,de-CH,Halde,false
Mühlenmatte,de-CH,Matte,false
Mühlenacker,de-CH,Acker,false
Mühlenhof,de-CH,Hof,false
Mühlenring,de-CH,Ring,false
Mühlensteig,de-CH,Steig,false
Brunnenstrasse,de-CH,Strasse,false
Brunnenweg,de-CH,Weg,false
Brunnengasse,de-CH,Gasse,false
Brunnenplatz,de-CH,Platz,false
Brunnenrain,de-CH,Rain,false
Brunnenhalde,de-CH,Halde,false
Brunnenmatte,de-CH,Matte,false
Brunnenacker,de-CH,Acker,false
Brunnenhof,de-CH,Hof,false
Brunnenring,de-CH,Ring,false
Brunnensteig,de-CH,Steig,false
Quellstrasse,de-CH,Strasse,false
Quellweg,de-CH,Weg,false
Quellgasse,de-CH,Gasse,false
Quellplatz,de-CH,Platz,false
Quellrain,de-CH,Rain,false
Quellhalde,de-CH,Halde,false
Quellmatte,de-CH,Matte,false
Quellacker,de-CH,Acker,false
Quellhof,de-CH,Hof,false
Quellring,de-CH,Ring,false
Quellsteig,de-CH,Steig,false
Bachstrasse,de-CH,Strasse,false
Bachweg,de-CH,Weg,false
Bachgasse,de-CH,Gasse,false
Bachplatz,de-CH,Platz,false
Bachrain,de-CH,Rain,false
Bachhalde,de-CH,Halde,false
Bachmatte,de-CH,Matte,false
Bachacker,de-CH,Acker,false
Bachhof,de-CH,Hof,false
Bachring,de-CH,Ring,false
Bachsteig,de-CH,Steig,false
Flussstrasse,de-CH,Strasse,false
Flussweg,de-CH,Weg,false
Flussgasse,de-CH,Gasse,false
Flussplatz,de-CH,Platz,false
Flussrain,de-CH,Rain,false
Flusshalde,de-CH,Halde,false
Flussmatte,de-CH,Matte,false
Flussacker,de-CH,Acker,false
Flusshof,de-CH,Hof,false
Flussring,de-CH,Ring,false
Flusssteig,de-CH,Steig,false
Teichstrasse,de-CH,Strasse,false
Teichweg,de-CH,Weg,false
Teichgasse,de-CH,Gasse,false
Teichplatz,de-CH,Platz,false
Teichrain,de-CH,Rain,false
Teichhalde,de-CH,Halde,false
Teichmatte,de-CH,Matte,false
Teichacker,de-CH,Acker,false
Teichhof,de-CH,Hof,false
Teichring,de-CH,Ring,false
Teichsteig,de-CH,Steig,false
Weiherstrasse,de-CH,Strasse,false
Weiherweg,de-CH,Weg,false
Weihergasse,de-CH,Gasse,false
Weiherplatz,de-CH,Platz,false
Weiherrain,de-CH,Rain,false
Weiherhalde,de-CH,Halde,false
Weihermatte,de-CH,Matte,false
Weiheracker,de-CH,Acker,false
Weiherhof,de-CH,Hof,false
Weiherring,de-CH,Ring,false
Weihersteig,de-CH,Steig,false
Seestrasse,de-CH,Strasse,false
Seeweg,de-CH,Weg,false
Seegasse,de-CH,Gasse,false
Seeplatz,de-CH,Platz,false
Seerain,de-CH,Rain,false
Seehalde,de-CH,Halde,false
Seematte,de-CH,Matte,false
Seeacker,de-CH,Acker,false
Seehof,de-CH,Hof,false
Seering,de-CH,Ring,false
Seesteig,de-CH,Steig,false
Uferstrasse,de-CH,Strasse,false
Uferweg,de-CH,Weg,false
Ufergasse,de-CH,Gasse,false
Uferplatz,de-CH,Platz,false
Uferrain,de-CH,Rain,false
Uferhalde,de-CH,Halde,false
Ufermatte,de-CH,Matte,false
Uferacker,de-CH,Acker,false
Uferhof,de-CH,Hof,false
Uferring,de-CH,Ring,false
Ufersteig,de-CH,Steig,false
Inselstrasse,de-CH,Strasse,false
Inselweg,de-CH,Weg,false
Inselgasse,de-CH,Gasse,false
Inselplatz,de-CH,Platz,false
Inselrain,de-CH,Rain,false
Inselhalde,de-CH,Halde,false
Inselmatte,de-CH,Matte,false
Inselacker,de-CH,Acker,false
Inselhof,de-CH,Hof,false
Inselring,de-CH,Ring,false
Inselsteig,de-CH,Steig,false
Brückenstrasse,de-CH,Strasse,false
Brückenweg,de-CH,Weg,false
Brückengasse,de-CH,Gasse,false
Brückenplatz,de-CH,Platz,false
Brückenrain,de-CH,Rain,false
Brückenhalde,de-CH,Halde,false
Brückenmatte,de-CH,Matte,false
Brückenacker,de-CH,Acker,false
Brückenhof,de-CH,Hof,false
Brückenring,de-CH,Ring,false
Brückensteig,de-CH,Steig,false
Stegstrasse,de-CH,Strasse,false
Stegweg,de-CH,Weg,false
Steggasse,de-CH,Gasse,false
Stegplatz,de-CH,Platz,false
Stegrain,de-CH,Rain,false
Steghalde,de-CH,Halde,false
Stegmatte,de-CH,Matte,false
Stegacker,de-CH,Acker,false
Steghof,de-CH,Hof,false
Stegring,de-CH,Ring,false
Stegsteig,de-CH,Steig,false
Bergstrasse,de-CH,Strasse,false
Bergweg,de-CH,Weg,false
Berggasse,de-CH,Gasse,false
Bergplatz,de-CH,Platz,false
Bergrain,de-CH,Rain,false
Berghalde,de-CH,Halde,false
Bergmatte,de-CH,Matte,false
Bergacker,de-CH,Acker,false
Berghof,de-CH,Hof,false
Bergring,de-CH,Ring,false
Bergsteig,de-CH,Steig,false
Hügelstrasse,de-CH,Strasse,false
Hügelweg,de-CH,Weg,false
Hügelgasse,de-CH,Gasse,false
Hügelplatz,de-CH,Platz,false
Hügelrain,de-CH,Rain,false
Hügelhalde,de-CH,Halde,false
Hügelmatte,de-CH,Matte,false
Hügelacker,de-CH,Acker,false
Hügelhof,de-CH,Hof,false
Hügelring,de-CH,Ring,false
Hügelsteig,de-CH,Steig,false
Talstrasse,de-CH,Strasse,false
Talweg,de-CH,Weg,false
Talgasse,de-CH,Gasse,false
Talplatz,de-CH,Platz,false
Talrain,de-CH,Rain,false
Talhalde,de-CH,Halde,false
Talmatte,de-CH,Matte,false
Talacker,de-CH,Acker,false
Talhof,de-CH,Hof,false
Talring,de-CH,Ring,false
Talsteig,de-CH,Steig,false
Höhenstrasse,de-CH,Strasse,false
Höhenweg,de-CH,Weg,false
Höhengasse,de-CH,Gasse,false
Höhenplatz,de-CH,Platz,false
Höhenrain,de-CH,Rain,false
Höhenhalde,de-CH,Halde,false
Höhenmatte,de-CH,Matte,false
Höhenacker,de-CH,Acker,false
Höhenhof,de-CH,Hof,false
Höhenring,de-CH,Ring,false
Höhensteig,de-CH,Steig,false
Hangstrasse,de-CH,Strasse,false
Hangweg,de-CH,Weg,false
Hanggasse,de-CH,Gasse,false
Hangplatz,de-CH,Platz,false
Hangrain,de-CH,Rain,false
Hanghalde,de-CH,Halde,false
Hangmatte,de-CH,Matte,false
Hangacker,de-CH,Acker,false
Hanghof,de-CH,Hof,false
Hangring,de-CH,Ring,false
Hangsteig,de-CH,Steig,false
Haldenstrasse,de-CH,Strasse,false
Haldenweg,de-CH,Weg,false
Haldengasse,de-CH,Gasse,false
Haldenplatz,de-CH,Platz,false
Haldenrain,de-CH,Rain,false
Haldenhalde,de-CH,Halde,false
Haldenmatte,de-CH,Matte,false
Haldenacker,de-CH,Acker,false
Haldenhof,de-CH,Hof,false
Haldenring,de-CH,Ring,false
Haldensteig,de-CH,Steig,false
Felsstrasse,de-CH,Strasse,false
Felsweg,de-CH,Weg,false
Felsgasse,de-CH,Gasse,false
Felsplatz,de-CH,Platz,false
Felsrain,de-CH,Rain,false
Felshalde,de-CH,Halde,false
Felsmatte,de-CH,Matte,false
Felsacker,de-CH,Acker,false
Felshof,de-CH,Hof,false
Felsring,de-CH,Ring,false
Felssteig,de-CH,Steig,false
Steinstrasse,de-CH,Strasse,false
Steinweg,de-CH,Weg,false
Steingasse,de-CH,Gasse,false
Steinplatz,de-CH,Platz,false
Steinrain,de-CH,Rain,false
Steinhalde,de-CH,Halde,false
Steinmatte,de-CH,Matte,false
Steinacker,de-CH,Acker,false
Steinhof,de-CH,Hof,false
Steinring,de-CH,Ring,false
Steinsteig,de-CH,Steig,false
Kiesstrasse,de-CH,Strasse,false
Kiesweg,de-CH,Weg,false
Kiesgasse,de-CH,Gasse,false
Kiesplatz,de-CH,Platz,false
Kiesrain,de-CH,Rain,false
Kieshalde,de-CH,Halde,false
Kiesmatte,de-CH,Matte,false
Kiesacker,de-CH,Acker,false
Kieshof,de-CH,Hof,false
Kiesring,de-CH,Ring,false
Kiessteig,de-CH,Steig,false
Sandstrasse,de-CH,Strasse,false
Sandweg,de-CH,Weg,false
Sandgasse,de-CH,Gasse,false
Sandplatz,de-CH,Platz,false
Sandrain,de-CH,Rain,false
Sandhalde,de-CH,Halde,false
Sandmatte,de-CH,Matte,false
Sandacker,de-CH,Acker,false
Sandhof,de-CH,Hof,false
Sandring,de-CH,Ring,false
Sandsteig,de-CH,Steig,false
Lehmstrasse,de-CH,Strasse,false
Lehmweg,de-CH,Weg,false
Lehmgasse,de-CH,Gasse,false
Lehmplatz,de-CH,Platz,false
Lehmrain,de-CH,Rain,false
Lehmhalde,de-CH,Halde,false
Lehmmatte,de-CH,Matte,false
Lehmacker,de-CH,Acker,false
Lehmhof,de-CH,Hof,false
Lehmring,de-CH,Ring,false
Lehmsteig,de-CH,Steig,false
Tonstrasse,de-CH,Strasse,false
Tonweg,de-CH,Weg,false
Tongasse,de-CH,Gasse,false
Tonplatz,de-CH,Platz,false
Tonrain,de-CH,Rain,false
Tonhalde,de-CH,Halde,false
Tonmatte,de-CH,Matte,false
Tonacker,de-CH,Acker,false
Tonhof,de-CH,Hof,false
Tonring,de-CH,Ring,false
Tonsteig,de-CH,Steig,false
Sonnenstrasse,de-CH,Strasse,false
Sonnenweg,de-CH,Weg,false
Sonnengasse,de-CH,Gasse,false
Sonnenplatz,de-CH,Platz,false
Sonnenrain,de-CH,Rain,false
Sonnenhalde,de-CH,Halde,false
Sonnenmatte,de-CH,Matte,false
Sonnenacker,de-CH,Acker,false
Sonnenhof,de-CH,Hof,false
Sonnenring,de-CH,Ring,false
Sonnensteig,de-CH,Steig,false
Mondstrasse,de-CH,Strasse,false
Mondweg,de-CH,Weg,false
Mondgasse,de-CH,Gasse,false
Mondplatz,de-CH,Platz,false
Mondrain,de-CH,Rain,false
Mondhalde,de-CH,Halde,false
Mondmatte,de-CH,Matte,false
Mondacker,de-CH,Acker,false
Mondhof,de-CH,Hof,false
Mondring,de-CH,Ring,false
Mondsteig,de-CH,Steig,false
Sternenstrasse,de-CH,Strasse,false
Sternenweg,de-CH,Weg,false
Sternengasse,de-CH,Gasse,false
Sternenplatz,de-CH,Platz,false
Sternenrain,de-CH,Rain,false
Sternenhalde,de-CH,Halde,false
Sternenmatte,de-CH,Matte,false
Sternenacker,de-CH,Acker,false
Sternenhof,de-CH,Hof,false
Sternenring,de-CH,Ring,false
Sternensteig,de-CH,Steig,false
Morgenstrasse,de-CH,Strasse,false
Morgenweg,de-CH,Weg,false
Morgengasse,de-CH,Gasse,false
Morgenplatz,de-CH,Platz,false
Morgenrain,de-CH,Rain,false
Morgenhalde,de-CH,Halde,false
Morgenmatte,de-CH,Matte,false
Morgenacker,de-CH,Acker,false
Morgenhof,de-CH,Hof,false
Morgenring,de-CH,Ring,false
Morgensteig,de-CH,Steig,false
Abendstrasse,de-CH,Strasse,false
Abendweg,de-CH,Weg,false
Abendgasse,de-CH,Gasse,false
Abendplatz,de-CH,Platz,false
Abendrain,de-CH,Rain,false
Abendhalde,de-CH,Halde,false
Abendmatte,de-CH,Matte,false
Abendacker,de-CH,Acker,false
Abendhof,de-CH,Hof,false
Abendring,de-CH,Ring,false
Abendsteig,de-CH,Steig,false
Winterstrasse,de-CH,Strasse,false
Winterweg,de-CH,Weg,false
Wintergasse,de-CH,Gasse,false
Winterplatz,de-CH,Platz,false
Winterrain,de-CH,Rain,false
Winterhalde,de-CH,Halde,false
Wintermatte,de-CH,Matte,false
Winteracker,de-CH,Acker,false
Winterhof,de-CH,Hof,false
Winterring,de-CH,Ring,false
Wintersteig,de-CH,Steig,false
Sommerstrasse,de-CH,Strasse,false
Sommerweg,de-CH,Weg,false
Sommergasse,de-CH,Gasse,false
Sommerplatz,de-CH,Platz,false
Sommerrain,de-CH,Rain,false
Sommerhalde,de-CH,Halde,false
Sommermatte,de-CH,Matte,false
Sommeracker,de-CH,Acker,false
Sommerhof,de-CH,Hof,false
Sommerring,de-CH,Ring,false
Sommersteig,de-CH,Steig,false
Frühlingsstrasse,de-CH,Strasse,false
Frühlingsweg,de-CH,Weg,false
Frühlingsgasse,de-CH,Gasse,false
Frühlingsplatz,de-CH,Platz,false
Frühlingsrain,de-CH,Rain,false
Frühlingshalde,de-CH,Halde,false
Frühlingsmatte,de-CH,Matte,false
Frühlingsacker,de-CH,Acker,false
Frühlingshof,de-CH,Hof,false
Frühlingsring,de-CH,Ring,false
Frühlingssteig,de-CH,Steig,false
Herbststrasse,de-CH,Strasse,false
Herbstweg,de-CH,Weg,false
Herbstgasse,de-CH,Gasse,false
Herbstplatz,de-CH,Platz,false
Herbstrain,de-CH,Rain,false
Herbsthalde,de-CH,Halde,false
Herbstmatte,de-CH,Matte,false
Herbstacker,de-CH,Acker,false
Herbsthof,de-CH,Hof,false
Herbstring,de-CH,Ring,false
Herbststeig,de-CH,Steig,false
Nordstrasse,de-CH,Strasse,false
Nordweg,de-CH,Weg,false
Nordgasse,de-CH,Gasse,false
Nordplatz,de-CH,Platz,false
Nordrain,de-CH,Rain,false
Nordhalde,de-CH,Halde,false
Nordmatte,de-CH,Matte,false
Nordacker,de-CH,Acker,false
Nordhof,de-CH,Hof,false
Nordring,de-CH,Ring,false
Nordsteig,de-CH,Steig,false
Südstrasse,de-CH,Strasse,false
Südweg,de-CH,Weg,false
Südgasse,de-CH,Gasse,false
Südplatz,de-CH,Platz,false
Südrain,de-CH,Rain,false
Südhalde,de-CH,Halde,false
Südmatte,de-CH,Matte,false
Südacker,de-CH,Acker,false
