vertrag_id,policennummer_anzeige,produkt_id,sparte,tarifgeneration_id,markt,waehrung,versicherungsnehmer_id,vermittler_id,kanal,sachbearbeiter_id,antrag_id,beginn,ablauf,laufzeit_jahre,hauptfaelligkeit,zahlungsweise,zahlungsart,jahrespraemie_netto,jahrespraemie_brutto,einmalpraemie,versicherungssumme,status,status_seit,storno_datum,storno_grund_code,kuendigungsfrist_monate,naechste_kuendigungsmoeglichkeit,risikoklasse_uw,mahnstufe_aktuell,herkunft,quellsystem,migriert_am,erstellt_am,bemerkung
VTR-00002003,,HP-PRIV,HP,HP-MODERN,DE,EUR,PTR-00000757,VRM-00019,direkt,MIT-00044,ANT-00002003,2017-11-01,,,2017-11-01,JAEHRLICH,RECHNUNG,97.66,116.22,,10000000.0,GEKUENDIGT_VN,2018-09-01,2018-09-01,K01,3.0,,NORMAL,0,pfefferminz,HAPO,2025-05-15,2017-10-10,
VTR-00002004,,HP-PRIV,HP,HP-MODERN,CH,CHF,PTR-00000400,VRM-00014,direkt,MIT-00008,ANT-00002004,2015-03-01,,,2015-03-01,JAEHRLICH,RECHNUNG,103.75,108.94,,5000000.0,GEKUENDIGT_VN,2024-08-01,2024-08-01,K04,3.0,,NORMAL,0,pfefferminz,HAPO,2025-05-15,2015-02-16,
VTR-00002005,,HP-PRIV,HP,PM-2025,CH,CHF,PTR-00000104,VRM-00031,agentur,MIT-00008,ANT-00002005,2025-07-01,,,2025-07-01,JAEHRLICH,EBILL,152.1,159.71,,5000000.0,AKTIV,2025-07-01,,,3.0,2026-07-01,NORMAL,0,pfefferminz,MINT,,2025-06-06,
VTR-00002006,,HP-PRIV,HP,PM-2025,DE,EUR,PTR-00000342,VRM-00008,bank,MIT-00044,ANT-00002006,2025-07-01,,,2025-07-01,JAEHRLICH,EBILL,50.31,59.87,,10000000.0,AKTIV,2025-07-01,,,3.0,2026-07-01,NORMAL,0,pfefferminz,MINT,,2025-05-23,
VTR-00002007,,HP-PRIV,HP,MZ-DIRECT,DE,EUR,PTR-00000204,VRM-00019,direkt,MIT-00044,ANT-00002007,2023-03-01,,,2023-03-01,JAEHRLICH,LASTSCHRIFT,124.75,148.45,,50000000.0,AKTIV,2023-03-01,,,3.0,2026-03-01,NORMAL,0,minzia,MINT,,2023-02-16,
VTR-00002008,,HP-PRIV,HP,HP-MODERN,CH,CHF,PTR-00000407,VRM-00040,agentur,MIT-00008,ANT-00002008,2013-05-01,,,2013-05-01,JAEHRLICH,RECHNUNG,92.45,97.07,,5000000.0,AKTIV,2013-05-01,,,3.0,2026-05-01,NORMAL,0,pfefferminz,HAPO,2025-05-15,2013-04-21,
VTR-00002009,,HP-PRIV,HP,HP-MODERN,DE,EUR,PTR-00000029,VRM-00010,makler,MIT-00019,ANT-00002009,2015-02-01,,,2015-02-01,HALBJAEHRLICH,RECHNUNG,87.81,104.49,,5000000.0,GEKUENDIGT_VN,2019-11-01,2019-11-01,K03,3.0,,NORMAL,0,pfefferminz,HAPO,2025-05-15,2014-12-30,
VTR-00002010,,HP-PRIV,HP,MZ-DIRECT,DE,EUR,PTR-00000543,VRM-00028,direkt,MIT-00019,ANT-00002010,2021-05-01,,,2021-05-01,HALBJAEHRLICH,KREDITKARTE,88.94,105.84,,10000000.0,AKTIV,2021-05-01,,,3.0,2026-05-01,NORMAL,0,minzia,MINT,,2021-04-02,
VTR-00002011,,HP-PRIV,HP,MZ-DIRECT,DE,EUR,PTR-00000245,VRM-00003,direkt,MIT-00008,ANT-00002011,2021-04-01,,,2021-04-01,JAEHRLICH,EBILL,73.86,87.89,,5000000.0,GEKUENDIGT_VN,2024-08-01,2024-08-01,K06,3.0,,NORMAL,0,minzia,MINT,,2021-03-02,
VTR-00002012,,HP-PRIV,HP,HP-MODERN,DE,EUR,PTR-00000468,VRM-00024,bank,MIT-00044,ANT-00002012,2017-03-01,,,2017-03-01,HALBJAEHRLICH,RECHNUNG,71.88,85.54,,5000000.0,AKTIV,2017-03-01,,,3.0,2026-03-01,NORMAL,0,pfefferminz,HAPO,2025-05-15,2017-02-13,
VTR-00002013,,HP-PRIV,HP,PM-2025,CH,CHF,PTR-00000675,VRM-00014,direkt,MIT-00008,ANT-00002013,2025-02-01,,,2025-02-01,VIERTELJAEHRLICH,LASTSCHRIFT,102.15,107.26,,5000000.0,AKTIV,2025-02-01,,,3.0,2026-02-01,NORMAL,0,minzia,MINT,,2025-01-27,
VTR-00002014,,HP-PRIV,HP,HP-MODERN,CH,CHF,PTR-00000308,VRM-00012,agentur,MIT-00008,ANT-00002014,2018-01-01,,,2018-01-01,JAEHRLICH,LASTSCHRIFT,97.05,101.9,,10000000.0,AKTIV,2018-01-01,,,3.0,2026-01-01,NORMAL,0,pfefferminz,HAPO,2025-05-15,2017-12-25,
VTR-00002015,,HP-PRIV,HP,PM-2025,CH,CHF,PTR-00000413,VRM-00039,agentur,MIT-00008,ANT-00002015,2025-04-01,,,2025-04-01,JAEHRLICH,RECHNUNG,132.9,139.55,,5000000.0,AKTIV,2025-04-01,,,3.0,2026-04-01,NORMAL,0,pfefferminz,MINT,,2025-03-05,
VTR-00002016,,HP-PRIV,HP,PM-2025,CH,CHF,PTR-00000554,VRM-00014,direkt,MIT-00008,ANT-00002016,2025-04-01,,,2025-04-01,JAEHRLICH,LASTSCHRIFT,156.35,164.17,,5000000.0,AKTIV,2025-04-01,,,3.0,2026-04-01,NORMAL,0,pfefferminz,MINT,,2025-03-23,
VTR-00002017,,HP-PRIV,HP,HP-MODERN,CH,CHF,PTR-00000859,VRM-00014,direkt,MIT-00008,ANT-00002017,2016-04-01,,,2016-04-01,HALBJAEHRLICH,LASTSCHRIFT,224.15,235.36,,5000000.0,AKTIV,2016-04-01,,,3.0,2026-04-01,NORMAL,0,pfefferminz,HAPO,2025-05-15,2016-03-08,
VTR-00002018,,HP-PRIV,HP,HP-MODERN,CH,CHF,PTR-00000685,VRM-00004,agentur,MIT-00008,ANT-00002018,2018-07-01,,,2018-07-01,VIERTELJAEHRLICH,RECHNUNG,145.95,153.25,,5000000.0,AKTIV,2018-07-01,,,3.0,2026-07-01,NORMAL,0,pfefferminz,HAPO,2025-05-15,2018-05-24,
VTR-00002019,,HP-PRIV,HP,PM-2025,CH,CHF,PTR-00000553,VRM-00014,direkt,MIT-00008,ANT-00002019,2025-02-01,,,2025-02-01,JAEHRLICH,LASTSCHRIFT,127.55,133.93,,10000000.0,AKTIV,2025-02-01,,,3.0,2026-02-01,NORMAL,0,minzia,MINT,,2025-01-13,
VTR-00002020,,HP-PRIV,HP,PM-2025,CH,CHF,PTR-00000380,VRM-00015,direkt,MIT-00008,ANT-00002020,2025-12-01,,,2025-12-01,JAEHRLICH,LASTSCHRIFT,141.45,148.52,,5000000.0,AKTIV,2025-12-01,,,3.0,2026-12-01,NORMAL,0,pfefferminz,MINT,,2025-11-12,
VTR-00002021,,HP-PRIV,HP,HP-MODERN,CH,CHF,PTR-00000290,VRM-00005,agentur,MIT-00008,ANT-00002021,2019-10-01,,,2019-10-01,JAEHRLICH,RECHNUNG,170.8,179.34,,10000000.0,AKTIV,2019-10-01,,,3.0,2026-10-01,NORMAL,0,pfefferminz,HAPO,2025-05-15,2019-08-23,
VTR-00002022,,HP-PRIV,HP,MZ-DIRECT,DE,EUR,PTR-00000122,VRM-00003,direkt,MIT-00044,ANT-00002022,2022-06-01,,,2022-06-01,JAEHRLICH,RECHNUNG,54.27,64.58,,10000000.0,AKTIV,2022-06-01,,,3.0,2026-06-01,NORMAL,0,minzia,MINT,,2022-05-05,
VTR-00002023,,HP-PRIV,HP,HP-MODERN,DE,EUR,PTR-00000238,VRM-00021,makler,MIT-00019,ANT-00002023,2013-04-01,,,2013-04-01,JAEHRLICH,RECHNUNG,131.13,156.04,,10000000.0,AKTIV,2013-04-01,,,3.0,2026-04-01,NORMAL,0,pfefferminz,HAPO,2025-05-15,2013-02-25,
VTR-00002024,,HP-PRIV,HP,MZ-DIRECT,DE,EUR,PTR-00000096,VRM-00028,direkt,MIT-00008,ANT-00002024,2022-04-01,,,2022-04-01,JAEHRLICH,LASTSCHRIFT,58.7,69.85,,20000000.0,AKTIV,2022-04-01,,,3.0,2026-04-01,NORMAL,0,minzia,MINT,,2022-02-28,
VTR-00002025,,HP-PRIV,HP,HP-MODERN,DE,EUR,PTR-00000168,VRM-00013,direkt,MIT-00044,ANT-00002025,2017-06-01,,,2017-06-01,JAEHRLICH,EBILL,56.55,67.29,,5000000.0,AKTIV,2017-06-01,,,3.0,2026-06-01,NORMAL,0,pfefferminz,HAPO,2025-05-15,2017-05-29,
VTR-00002026,,HP-PRIV,HP,HP-MODERN,CH,CHF,PTR-00000210,VRM-00039,agentur,MIT-00008,ANT-00002026,2020-10-01,,,2020-10-01,JAEHRLICH,KREDITKARTE,147.4,154.77,,5000000.0,AKTIV,2020-10-01,,,3.0,2026-10-01,NORMAL,0,pfefferminz,HAPO,2025-05-15,2020-09-19,
VTR-00002027,,HP-PRIV,HP,PM-2025,DE,EUR,PTR-00000387,VRM-00010,makler,MIT-00008,ANT-00002027,2025-08-01,,,2025-08-01,JAEHRLICH,RECHNUNG,45.0,53.55,,10000000.0,AKTIV,2025-08-01,,,3.0,2026-08-01,NORMAL,0,pfefferminz,MINT,,2025-07-20,
VTR-00002028,,HP-PRIV,HP,HP-MODERN,DE,EUR,PTR-00000257,VRM-00010,makler,MIT-00019,ANT-00002028,2017-12-01,,,2017-12-01,JAEHRLICH,LASTSCHRIFT,45.0,53.55,,5000000.0,AKTIV,2017-12-01,,,3.0,2026-12-01,NORMAL,0,pfefferminz,HAPO,2025-05-15,2017-10-31,
VTR-00002029,,HP-PRIV,HP,HP-KLASSIK,DE,EUR,PTR-00000756,VRM-00003,direkt,MIT-00044,ANT-00002029,2012-03-01,,,2012-03-01,JAEHRLICH,RECHNUNG,38.37,45.66,,5000000.0,STORNIERT,2013-08-01,2013-08-01,K12,3.0,,NORMAL,0,pfefferminz,HAPO,2025-05-15,2012-01-22,
VTR-00002030,,HP-PRIV,HP,HP-MODERN,CH,CHF,PTR-00001000,VRM-00025,agentur,MIT-00008,ANT-00002030,2017-07-01,,,2017-07-01,JAEHRLICH,EBILL,305.9,321.19,,10000000.0,AKTIV,2017-07-01,,,3.0,2026-07-01,NORMAL,0,pfefferminz,HAPO,2025-05-15,2017-06-10,
VTR-00002031,,HP-PRIV,HP,PM-2025,CH,CHF,PTR-00000591,VRM-00012,agentur,MIT-00008,ANT-00002031,2025-01-01,,,2025-01-01,JAEHRLICH,RECHNUNG,180.25,189.26,,10000000.0,AKTIV,2025-01-01,,,3.0,2026-01-01,NORMAL,0,pfefferminz,MINT,,2024-12-10,
VTR-00002032,,HP-PRIV,HP,MZ-DIRECT,DE,EUR,PTR-00000270,VRM-00019,direkt,MIT-00019,ANT-00002032,2024-08-01,,,2024-08-01,JAEHRLICH,LASTSCHRIFT,58.7,69.85,,20000000.0,AKTIV,2024-08-01,,,3.0,2026-08-01,NORMAL,0,minzia,MINT,,2024-07-22,
VTR-00002033,,HP-PRIV,HP,PM-2025,CH,CHF,PTR-00000195,VRM-00014,direkt,MIT-00008,ANT-00002033,2025-05-01,,,2025-05-01,VIERTELJAEHRLICH,KREDITKARTE,165.5,173.78,,5000000.0,AKTIV,2025-05-01,,,3.0,2026-05-01,NORMAL,0,minzia,MINT,,2025-04-15,
VTR-00002034,,HP-PRIV,HP,MZ-DIRECT,DE,EUR,PTR-00000460,VRM-00029,direkt,MIT-00044,ANT-00002034,2024-11-01,,,2024-11-01,JAEHRLICH,LASTSCHRIFT,72.74,86.56,,5000000.0,AKTIV,2024-11-01,,,3.0,2026-11-01,NORMAL,0,minzia,MINT,,2024-10-18,
VTR-00002035,,HP-PRIV,HP,PM-2025,CH,CHF,PTR-00000748,VRM-00005,agentur,MIT-00008,ANT-00002035,2025-12-01,,,2025-12-01,JAEHRLICH,KREDITKARTE,148.15,155.56,,5000000.0,AKTIV,2025-12-01,,,3.0,2026-12-01,NORMAL,0,pfefferminz,MINT,,2025-10-25,
VTR-00002036,,HP-PRIV,HP,PM-2025,DE,EUR,PTR-00000321,VRM-00002,makler,MIT-00044,ANT-00002036,2025-05-01,,,2025-05-01,JAEHRLICH,RECHNUNG,74.85,89.07,,50000000.0,AKTIV,2025-05-01,,,3.0,2026-05-01,NORMAL,0,pfefferminz,MINT,,2025-04-08,
VTR-00002037,,HP-PRIV,HP,MZ-DIRECT,DE,EUR,PTR-00000453,VRM-00001,direkt,MIT-00044,ANT-00002037,2022-08-01,,,2022-08-01,JAEHRLICH,KREDITKARTE,66.37,78.98,,5000000.0,AKTIV,2022-08-01,,,3.0,2026-08-01,NORMAL,0,minzia,MINT,,2022-07-04,
VTR-00002038,,HP-PRIV,HP,HP-MODERN,CH,CHF,PTR-00000134,VRM-00014,direkt,MIT-00008,ANT-00002038,2016-08-01,,,2016-08-01,JAEHRLICH,RECHNUNG,89.6,94.08,,5000000.0,AKTIV,2016-08-01,,,3.0,2026-08-01,NORMAL,0,pfefferminz,HAPO,2025-05-15,2016-07-05,
VTR-00002039,,HP-PRIV,HP,PM-2025,DE,EUR,PTR-00000082,VRM-00010,makler,MIT-00044,ANT-00002039,2025-06-01,,,2025-06-01,JAEHRLICH,RECHNUNG,107.2,127.57,,50000000.0,AKTIV,2025-06-01,,,3.0,2026-06-01,NORMAL,0,pfefferminz,MINT,,2025-05-11,
VTR-00002040,,HP-PRIV,HP,MZ-DIRECT,DE,EUR,PTR-00000767,VRM-00028,direkt,MIT-00044,ANT-00002040,2022-04-01,,,2022-04-01,VIERTELJAEHRLICH,LASTSCHRIFT,45.76,54.45,,10000000.0,AKTIV,2022-04-01,,,3.0,2026-04-01,NORMAL,0,minzia,MINT,,2022-03-17,
VTR-00002041,,HP-PRIV,HP,PM-2025,DE,EUR,PTR-00000185,VRM-00013,direkt,MIT-00044,ANT-00002041,2025-04-01,,,2025-04-01,JAEHRLICH,RECHNUNG,160.98,191.57,,20000000.0,AKTIV,2025-04-01,,,3.0,2026-04-01,NORMAL,0,pfefferminz,MINT,,2025-03-26,
VTR-00002042,,HP-PRIV,HP,HP-MODERN,CH,CHF,PTR-00000450,VRM-00014,direkt,MIT-00008,ANT-00002042,2016-10-01,,,2016-10-01,JAEHRLICH,RECHNUNG,134.4,141.12,,5000000.0,GEKUENDIGT_VN,2022-09-01,2022-09-01,K01,3.0,,NORMAL,0,pfefferminz,HAPO,2025-05-15,2016-09-03,
VTR-00002043,,HP-PRIV,HP,HP-MODERN,DE,EUR,PTR-00000425,VRM-00013,direkt,MIT-00044,ANT-00002043,2015-11-01,,,2015-11-01,HALBJAEHRLICH,RECHNUNG,64.87,77.2,,5000000.0,GEKUENDIGT_VN,2020-02-01,2020-02-01,K01,3.0,,NORMAL,0,pfefferminz,HAPO,2025-05-15,2015-10-12,
VTR-00002044,,HP-PRIV,HP,MZ-DIRECT,DE,EUR,PTR-00000102,VRM-00029,direkt,MIT-00044,ANT-00002044,2023-12-01,,,2023-12-01,JAEHRLICH,LASTSCHRIFT,98.94,117.74,,5000000.0,GEKUENDIGT_VN,2024-02-01,2024-02-01,K04,3.0,,NORMAL,0,minzia,MINT,,2023-11-01,
VTR-00002045,,HP-PRIV,HP,HP-MODERN,CH,CHF,PTR-00000879,VRM-00036,bank,MIT-00008,ANT-00002045,2017-03-01,,,2017-03-01,HALBJAEHRLICH,RECHNUNG,187.9,197.3,,10000000.0,GEKUENDIGT_VN,2019-02-01,2019-02-01,K01,3.0,,NORMAL,0,pfefferminz,HAPO,2025-05-15,2017-01-22,
VTR-00002046,,HP-PRIV,HP,HP-MODERN,DE,EUR,PTR-00000403,VRM-00003,direkt,MIT-00044,ANT-00002046,2018-03-01,,,2018-03-01,HALBJAEHRLICH,LASTSCHRIFT,127.83,152.12,,5000000.0,GEKUENDIGT_VN,2023-04-01,2023-04-01,K05,3.0,,NORMAL,0,pfefferminz,HAPO,2025-05-15,2018-02-21,
VTR-00002047,,HP-PRIV,HP,PM-2025,CH,CHF,PTR-00000723,VRM-00026,agentur,MIT-00008,ANT-00002047,2025-07-01,,,2025-07-01,VIERTELJAEHRLICH,RECHNUNG,262.9,276.04,,10000000.0,AKTIV,2025-07-01,,,3.0,2026-07-01,NORMAL,0,pfefferminz,MINT,,2025-06-10,
VTR-00002048,,HP-PRIV,HP,HP-KLASSIK,CH,CHF,PTR-00000911,VRM-00031,agentur,MIT-00008,ANT-00002048,2007-08-01,,,2007-08-01,JAEHRLICH,EBILL,156.5,164.33,,3000000.0,AKTIV,2007-08-01,,,3.0,2026-08-01,NORMAL,0,pfefferminz,HAPO,2025-05-15,2007-07-16,
VTR-00002049,,HP-PRIV,HP,MZ-DIRECT,DE,EUR,PTR-00000401,VRM-00013,direkt,MIT-00008,ANT-00002049,2022-08-01,,,2022-08-01,HALBJAEHRLICH,LASTSCHRIFT,79.45,94.55,,20000000.0,AKTIV,2022-08-01,,,3.0,2026-08-01,NORMAL,0,minzia,MINT,,2022-07-30,
VTR-00002050,,HP-PRIV,HP,HP-MODERN,CH,CHF,PTR-00000812,VRM-00017,direkt,MIT-00008,ANT-00002050,2014-01-01,,,2014-01-01,JAEHRLICH,RECHNUNG,89.6,94.08,,5000000.0,GEKUENDIGT_VN,2019-08-01,2019-08-01,K17,3.0,,NORMAL,0,pfefferminz,HAPO,2025-05-15,2013-12-12,
VTR-00002051,,HP-PRIV,HP,HP-MODERN,CH,CHF,PTR-00000283,VRM-00026,agentur,MIT-00008,ANT-00002051,2016-11-01,,,2016-11-01,JAEHRLICH,RECHNUNG,114.15,119.86,,10000000.0,AKTIV,2016-11-01,,,3.0,2026-11-01,NORMAL,0,pfefferminz,HAPO,2025-05-15,2016-10-17,
VTR-00002052,,HP-PRIV,HP,HP-MODERN,CH,CHF,PTR-00000568,VRM-00025,agentur,MIT-00008,ANT-00002052,2016-01-01,,,2016-01-01,JAEHRLICH,RECHNUNG,204.25,214.46,,5000000.0,AKTIV,2016-01-01,,,3.0,2026-01-01,NORMAL,0,pfefferminz,HAPO,2025-05-15,2015-11-26,
