partner_id_von,partner_id_zu,beziehung,seit
PTR-00000081,PTR-00000079,KIND,2007-04-06
PTR-00000087,PTR-00000086,EHEPARTNER,
PTR-00000089,PTR-00000088,EHEPARTNER,
PTR-00000090,PTR-00000088,KIND,2003-07-08
PTR-00000094,PTR-00000093,EHEPARTNER,
PTR-00000095,PTR-00000093,KIND,2007-12-02
PTR-00000098,PTR-00000097,EHEPARTNER,
PTR-00000100,PTR-00000099,EHEPARTNER,
PTR-00000101,PTR-00000099,KIND,2007-09-17
PTR-00000105,PTR-00000104,EHEPARTNER,
PTR-00000107,PTR-00000106,EHEPARTNER,
PTR-00000108,PTR-00000106,KIND,2007-06-17
PTR-00000111,PTR-00000110,EHEPARTNER,
PTR-00000113,PTR-00000112,EHEPARTNER,
PTR-00000115,PTR-00000114,EHEPARTNER,
PTR-00000118,PTR-00000117,EHEPARTNER,
PTR-00000120,PTR-00000119,EHEPARTNER,
PTR-00000124,PTR-00000123,EHEPARTNER,
PTR-00000126,PTR-00000125,EHEPARTNER,
PTR-00000129,PTR-00000128,EHEPARTNER,
PTR-00000131,PTR-00000130,EHEPARTNER,
PTR-00000132,PTR-00000130,KIND,2007-01-05
PTR-00000133,PTR-00000130,KIND,2007-10-16
PTR-00000136,PTR-00000137,INHABER,1992-07-01
PTR-00000139,PTR-00000138,EHEPARTNER,
PTR-00000141,PTR-00000140,EHEPARTNER,
PTR-00000142,PTR-00000140,KIND,2007-01-25
PTR-00000143,PTR-00000140,KIND,1997-12-09
PTR-00000145,PTR-00000144,EHEPARTNER,
PTR-00000147,PTR-00000146,EHEPARTNER,
PTR-00000149,PTR-00000148,EHEPARTNER,
PTR-00000151,PTR-00000150,EHEPARTNER,
PTR-00000154,PTR-00000153,EHEPARTNER,
PTR-00000156,PTR-00000157,INHABER,1991-02-01
PTR-00000159,PTR-00000158,EHEPARTNER,
PTR-00000160,PTR-00000158,KIND,2004-03-16
PTR-00000161,PTR-00000158,KIND,2007-01-10
PTR-00000162,PTR-00000158,KIND,2004-11-14
PTR-00000164,PTR-00000163,EHEPARTNER,
PTR-00000169,PTR-00000168,EHEPARTNER,
PTR-00000174,PTR-00000173,EHEPARTNER,
PTR-00000175,PTR-00000173,KIND,1988-01-16
PTR-00000176,PTR-00000173,KIND,1981-12-27
PTR-00000180,PTR-00000179,EHEPARTNER,
PTR-00000182,PTR-00000181,EHEPARTNER,
PTR-00000183,PTR-00000181,KIND,2007-11-01
PTR-00000186,PTR-00000185,EHEPARTNER,
PTR-00000188,PTR-00000187,EHEPARTNER,
PTR-00000190,PTR-00000189,EHEPARTNER,
PTR-00000191,PTR-00000189,KIND,2007-09-11
PTR-00000193,PTR-00000192,EHEPARTNER,
PTR-00000194,PTR-00000192,KIND,2005-09-07
PTR-00000196,PTR-00000195,EHEPARTNER,
PTR-00000198,PTR-00000197,EHEPARTNER,
PTR-00000199,PTR-00000197,KIND,2007-12-15
PTR-00000202,PTR-00000201,EHEPARTNER,
PTR-00000203,PTR-00000201,KIND,2007-01-11
PTR-00000206,PTR-00000205,EHEPARTNER,
PTR-00000207,PTR-00000205,KIND,2002-07-11
PTR-00000211,PTR-00000210,EHEPARTNER,
PTR-00000213,PTR-00000212,EHEPARTNER,
PTR-00000214,PTR-00000212,KIND,1986-03-14
PTR-00000215,PTR-00000212,KIND,1999-02-22
PTR-00000216,PTR-00000212,KIND,1984-08-04
PTR-00000218,PTR-00000217,EHEPARTNER,
PTR-00000219,PTR-00000217,KIND,2007-12-05
PTR-00000222,PTR-00000221,EHEPARTNER,
PTR-00000223,PTR-00000221,KIND,2007-09-22
PTR-00000225,PTR-00000224,EHEPARTNER,
PTR-00000228,PTR-00000227,EHEPARTNER,
PTR-00000233,PTR-00000234,INHABER,1990-06-01
PTR-00000235,PTR-00000236,INHABER,2006-03-01
PTR-00000239,PTR-00000238,EHEPARTNER,
PTR-00000240,PTR-00000238,KIND,2007-01-23
PTR-00000242,PTR-00000241,EHEPARTNER,
PTR-00000246,PTR-00000245,EHEPARTNER,
PTR-00000250,PTR-00000249,EHEPARTNER,
PTR-00000253,PTR-00000252,EHEPARTNER,
PTR-00000255,PTR-00000254,EHEPARTNER,
PTR-00000256,PTR-00000254,KIND,2001-06-17
PTR-00000261,PTR-00000260,EHEPARTNER,
PTR-00000263,PTR-00000262,EHEPARTNER,
PTR-00000264,PTR-00000262,KIND,1993-03-02
PTR-00000266,PTR-00000265,EHEPARTNER,
PTR-00000268,PTR-00000269,INHABER,1986-11-01
PTR-00000272,PTR-00000271,EHEPARTNER,
PTR-00000275,PTR-00000274,EHEPARTNER,
PTR-00000278,PTR-00000277,EHEPARTNER,
PTR-00000280,PTR-00000279,EHEPARTNER,
PTR-00000281,PTR-00000279,KIND,1999-08-21
PTR-00000282,PTR-00000279,KIND,2007-02-07
PTR-00000288,PTR-00000287,EHEPARTNER,
PTR-00000291,PTR-00000290,EHEPARTNER,
PTR-00000292,PTR-00000290,KIND,1988-08-08
PTR-00000293,PTR-00000290,KIND,1987-11-16
PTR-00000294,PTR-00000290,KIND,1982-04-08
PTR-00000296,PTR-00000295,EHEPARTNER,
PTR-00000298,PTR-00000297,EHEPARTNER,
PTR-00000300,PTR-00000299,EHEPARTNER,
PTR-00000302,PTR-00000301,EHEPARTNER,
PTR-00000304,PTR-00000303,EHEPARTNER,
PTR-00000307,PTR-00000306,EHEPARTNER,
PTR-00000309,PTR-00000310,INHABER,2003-04-01
PTR-00000312,PTR-00000311,EHEPARTNER,
PTR-00000313,PTR-00000314,INHABER,1987-03-01
PTR-00000316,PTR-00000315,EHEPARTNER,
PTR-00000319,PTR-00000318,EHEPARTNER,
PTR-00000322,PTR-00000321,EHEPARTNER,
PTR-00000329,PTR-00000328,EHEPARTNER,
PTR-00000330,PTR-00000328,KIND,2007-09-05
PTR-00000331,PTR-00000328,KIND,2007-09-09
PTR-00000332,PTR-00000328,KIND,2006-08-03
PTR-00000335,PTR-00000334,EHEPARTNER,
PTR-00000338,PTR-00000337,EHEPARTNER,
PTR-00000341,PTR-00000340,EHEPARTNER,
PTR-00000344,PTR-00000343,EHEPARTNER,
PTR-00000345,PTR-00000343,KIND,2004-04-09
PTR-00000349,PTR-00000348,EHEPARTNER,
PTR-00000350,PTR-00000348,KIND,2007-08-24
PTR-00000351,PTR-00000348,KIND,2007-11-17
PTR-00000352,PTR-00000348,KIND,2007-02-08
PTR-00000355,PTR-00000354,EHEPARTNER,
PTR-00000356,PTR-00000354,KIND,1991-10-26
PTR-00000357,PTR-00000354,KIND,1988-05-21
PTR-00000358,PTR-00000359,INHABER,1989-05-01
PTR-00000361,PTR-00000360,EHEPARTNER,
PTR-00000363,PTR-00000362,EHEPARTNER,
PTR-00000365,PTR-00000364,EHEPARTNER,
PTR-00000371,PTR-00000370,EHEPARTNER,
PTR-00000373,PTR-00000372,EHEPARTNER,
PTR-00000375,PTR-00000374,EHEPARTNER,
PTR-00000377,PTR-00000378,INHABER,1989-09-01
PTR-00000381,PTR-00000380,EHEPARTNER,
PTR-00000382,PTR-00000380,KIND,2000-07-21
PTR-00000383,PTR-00000380,KIND,1992-03-20
PTR-00000386,PTR-00000385,EHEPARTNER,
PTR-00000389,PTR-00000388,EHEPARTNER,
PTR-00000390,PTR-00000388,KIND,1994-03-23
PTR-00000391,PTR-00000388,KIND,1997-09-11
PTR-00000392,PTR-00000388,KIND,1992-04-28
PTR-00000394,PTR-00000393,EHEPARTNER,
PTR-00000395,PTR-00000393,KIND,2007-09-21
PTR-00000396,PTR-00000393,KIND,2007-04-23
PTR-00000398,PTR-00000397,EHEPARTNER,
PTR-00000399,PTR-00000397,KIND,2007-10-05
PTR-00000402,PTR-00000401,EHEPARTNER,
PTR-00000404,PTR-00000403,EHEPARTNER,
PTR-00000405,PTR-00000403,KIND,1985-04-17
PTR-00000406,PTR-00000403,KIND,1985-05-25
PTR-00000412,PTR-00000411,EHEPARTNER,
PTR-00000414,PTR-00000413,EHEPARTNER,
PTR-00000415,PTR-00000413,KIND,2007-11-15
PTR-00000417,PTR-00000416,EHEPARTNER,
PTR-00000420,PTR-00000419,EHEPARTNER,
PTR-00000426,PTR-00000425,EHEPARTNER,
PTR-00000427,PTR-00000425,KIND,2007-05-16
PTR-00000428,PTR-00000425,KIND,2003-10-13
PTR-00000429,PTR-00000425,KIND,2006-01-25
PTR-00000430,PTR-00000431,INHABER,2011-09-01
PTR-00000434,PTR-00000433,EHEPARTNER,
PTR-00000436,PTR-00000437,INHABER,2012-07-01
PTR-00000439,PTR-00000438,EHEPARTNER,
PTR-00000441,PTR-00000440,EHEPARTNER,
PTR-00000442,PTR-00000440,KIND,1983-11-24
PTR-00000444,PTR-00000443,EHEPARTNER,
PTR-00000446,PTR-00000445,EHEPARTNER,
PTR-00000448,PTR-00000447,EHEPARTNER,
PTR-00000449,PTR-00000447,KIND,1993-02-14
PTR-00000451,PTR-00000450,EHEPARTNER,
PTR-00000452,PTR-00000450,KIND,1999-01-01
PTR-00000454,PTR-00000453,EHEPARTNER,
PTR-00000458,PTR-00000457,EHEPARTNER,
PTR-00000459,PTR-00000457,KIND,2007-12-01
PTR-00000461,PTR-00000460,EHEPARTNER,
PTR-00000462,PTR-00000460,KIND,2007-08-05
PTR-00000465,PTR-00000464,EHEPARTNER,
PTR-00000466,PTR-00000464,KIND,2007-06-28
PTR-00000467,PTR-00000464,KIND,2007-12-03
PTR-00000469,PTR-00000468,EHEPARTNER,
PTR-00000470,PTR-00000468,KIND,2007-01-15
PTR-00000471,PTR-00000468,KIND,2007-05-07
PTR-00000473,PTR-00000472,EHEPARTNER,
PTR-00000474,PTR-00000472,KIND,2005-02-10
PTR-00000475,PTR-00000472,KIND,2007-10-23
PTR-00000476,PTR-00000472,KIND,2004-06-28
PTR-00000478,PTR-00000477,EHEPARTNER,
PTR-00000480,PTR-00000479,EHEPARTNER,
PTR-00000483,PTR-00000482,EHEPARTNER,
PTR-00000485,PTR-00000484,EHEPARTNER,
PTR-00000487,PTR-00000488,INHABER,2017-05-01
PTR-00000491,PTR-00000490,EHEPARTNER,
PTR-00000492,PTR-00000490,KIND,2007-09-06
PTR-00000493,PTR-00000490,KIND,2007-03-26
PTR-00000494,PTR-00000490,KIND,2007-04-16
PTR-00000496,PTR-00000495,EHEPARTNER,
PTR-00000497,PTR-00000495,KIND,2007-06-12
PTR-00000498,PTR-00000495,KIND,2007-11-08
PTR-00000501,PTR-00000500,EHEPARTNER,
PTR-00000503,PTR-00000502,EHEPARTNER,
PTR-00000504,PTR-00000502,KIND,2007-07-11
PTR-00000505,PTR-00000502,KIND,2007-01-06
PTR-00000507,PTR-00000506,EHEPARTNER,
PTR-00000509,PTR-00000508,EHEPARTNER,
PTR-00000511,PTR-00000510,EHEPARTNER,
PTR-00000514,PTR-00000513,EHEPARTNER,
PTR-00000515,PTR-00000513,KIND,2005-11-07
PTR-00000516,PTR-00000513,KIND,1995-05-05
PTR-00000521,PTR-00000520,EHEPARTNER,
PTR-00000523,PTR-00000522,EHEPARTNER,
PTR-00000525,PTR-00000526,INHABER,1997-04-01
PTR-00000528,PTR-00000527,EHEPARTNER,
PTR-00000529,PTR-00000527,KIND,2007-09-06
PTR-00000532,PTR-00000531,EHEPARTNER,
PTR-00000536,PTR-00000535,EHEPARTNER,
PTR-00000540,PTR-00000541,INHABER,1991-01-01
PTR-00000544,PTR-00000543,EHEPARTNER,
PTR-00000547,PTR-00000546,EHEPARTNER,
PTR-00000548,PTR-00000546,KIND,1998-10-01
PTR-00000550,PTR-00000549,EHEPARTNER,
PTR-00000551,PTR-00000549,KIND,2007-02-17
PTR-00000552,PTR-00000549,KIND,2007-11-22
PTR-00000555,PTR-00000554,EHEPARTNER,
PTR-00000559,PTR-00000558,EHEPARTNER,
PTR-00000562,PTR-00000561,EHEPARTNER,
PTR-00000564,PTR-00000563,EHEPARTNER,
PTR-00000565,PTR-00000563,KIND,1987-08-23
PTR-00000567,PTR-00000566,EHEPARTNER,
PTR-00000569,PTR-00000568,EHEPARTNER,
PTR-00000572,PTR-00000571,EHEPARTNER,
PTR-00000575,PTR-00000576,INHABER,2004-06-01
PTR-00000578,PTR-00000579,INHABER,2022-11-01
PTR-00000584,PTR-00000583,EHEPARTNER,
PTR-00000585,PTR-00000583,KIND,2007-08-11
PTR-00000586,PTR-00000583,KIND,1996-02-22
PTR-00000587,PTR-00000588,INHABER,2022-06-01
PTR-00000589,PTR-00000590,INHABER,2011-09-01
PTR-00000592,PTR-00000591,EHEPARTNER,
PTR-00000593,PTR-00000591,KIND,2007-01-13
PTR-00000596,PTR-00000595,EHEPARTNER,
PTR-00000597,PTR-00000595,KIND,2007-08-17
PTR-00000598,PTR-00000595,KIND,2007-01-12
PTR-00000601,PTR-00000600,EHEPARTNER,
PTR-00000602,PTR-00000600,KIND,2000-08-28
PTR-00000603,PTR-00000600,KIND,1989-11-03
PTR-00000609,PTR-00000608,EHEPARTNER,
PTR-00000612,PTR-00000611,EHEPARTNER,
PTR-00000614,PTR-00000613,EHEPARTNER,
PTR-00000615,PTR-00000613,KIND,1983-09-26
PTR-00000617,PTR-00000618,INHABER,2001-12-01
PTR-00000620,PTR-00000619,EHEPARTNER,
PTR-00000621,PTR-00000619,KIND,1991-10-18
PTR-00000622,PTR-00000619,KIND,1992-01-04
PTR-00000623,PTR-00000619,KIND,1994-02-19
PTR-00000625,PTR-00000624,EHEPARTNER,
PTR-00000628,PTR-00000627,EHEPARTNER,
PTR-00000631,PTR-00000630,EHEPARTNER,
PTR-00000633,PTR-00000632,EHEPARTNER,
PTR-00000634,PTR-00000632,KIND,2007-01-01
PTR-00000635,PTR-00000632,KIND,2006-04-13
PTR-00000638,PTR-00000637,EHEPARTNER,
PTR-00000639,PTR-00000637,KIND,2007-04-04
PTR-00000641,PTR-00000640,EHEPARTNER,
PTR-00000644,PTR-00000643,EHEPARTNER,
PTR-00000645,PTR-00000643,KIND,2007-06-21
PTR-00000646,PTR-00000643,KIND,2007-09-23
PTR-00000649,PTR-00000648,EHEPARTNER,
PTR-00000652,PTR-00000653,INHABER,2016-01-01
PTR-00000655,PTR-00000656,INHABER,2012-04-01
PTR-00000658,PTR-00000657,EHEPARTNER,
PTR-00000659,PTR-00000657,KIND,1998-03-11
PTR-00000662,PTR-00000661,EHEPARTNER,
PTR-00000663,PTR-00000664,INHABER,2002-03-01
PTR-00000666,PTR-00000665,EHEPARTNER,
PTR-00000667,PTR-00000665,KIND,2007-10-21
PTR-00000668,PTR-00000665,KIND,2007-12-16
PTR-00000669,PTR-00000665,KIND,2007-03-05
PTR-00000671,PTR-00000670,EHEPARTNER,
PTR-00000672,PTR-00000670,KIND,2007-04-20
PTR-00000673,PTR-00000670,KIND,2007-01-05
PTR-00000674,PTR-00000670,KIND,2007-11-19
PTR-00000680,PTR-00000679,EHEPARTNER,
PTR-00000681,PTR-00000679,KIND,2006-12-19
PTR-00000682,PTR-00000679,KIND,2007-11-26
PTR-00000686,PTR-00000685,EHEPARTNER,
PTR-00000687,PTR-00000685,KIND,1983-09-03
PTR-00000689,PTR-00000688,EHEPARTNER,
PTR-00000691,PTR-00000690,EHEPARTNER,
PTR-00000693,PTR-00000694,INHABER,1991-07-01
PTR-00000698,PTR-00000697,EHEPARTNER,
PTR-00000700,PTR-00000701,INHABER,1985-04-01
PTR-00000706,PTR-00000707,INHABER,1995-10-01
PTR-00000709,PTR-00000708,EHEPARTNER,
PTR-00000710,PTR-00000708,KIND,2006-12-07
PTR-00000713,PTR-00000712,EHEPARTNER,
PTR-00000714,PTR-00000712,KIND,1986-11-26
PTR-00000716,PTR-00000715,EHEPARTNER,
PTR-00000719,PTR-00000718,EHEPARTNER,
PTR-00000721,PTR-00000720,EHEPARTNER,
PTR-00000722,PTR-00000720,KIND,2007-03-01
PTR-00000724,PTR-00000723,EHEPARTNER,
PTR-00000725,PTR-00000723,KIND,2007-10-01
PTR-00000728,PTR-00000729,INHABER,1985-02-01
PTR-00000733,PTR-00000732,EHEPARTNER,
PTR-00000738,PTR-00000737,EHEPARTNER,
PTR-00000740,PTR-00000739,EHEPARTNER,
PTR-00000742,PTR-00000741,EHEPARTNER,
PTR-00000744,PTR-00000743,EHEPARTNER,
PTR-00000745,PTR-00000743,KIND,2003-01-13
PTR-00000747,PTR-00000746,EHEPARTNER,
PTR-00000749,PTR-00000748,EHEPARTNER,
PTR-00000750,PTR-00000748,KIND,2007-08-20
PTR-00000751,PTR-00000748,KIND,2007-06-16
PTR-00000754,PTR-00000753,EHEPARTNER,
PTR-00000759,PTR-00000758,EHEPARTNER,
PTR-00000760,PTR-00000758,KIND,2001-03-27
PTR-00000762,PTR-00000761,EHEPARTNER,
PTR-00000763,PTR-00000764,INHABER,1983-12-01
PTR-00000766,PTR-00000765,EHEPARTNER,
PTR-00000770,PTR-00000769,EHEPARTNER,
PTR-00000772,PTR-00000771,EHEPARTNER,
PTR-00000775,PTR-00000774,EHEPARTNER,
PTR-00000776,PTR-00000774,KIND,2007-08-09
PTR-00000779,PTR-00000780,INHABER,2019-05-01
PTR-00000782,PTR-00000781,EHEPARTNER,
PTR-00000783,PTR-00000781,KIND,1990-06-18
PTR-00000784,PTR-00000785,INHABER,2004-09-01
PTR-00000787,PTR-00000788,INHABER,2021-04-01
PTR-00000795,PTR-00000794,EHEPARTNER,
PTR-00000797,PTR-00000798,INHABER,1978-10-01
PTR-00000800,PTR-00000799,EHEPARTNER,
PTR-00000802,PTR-00000801,EHEPARTNER,
PTR-00000805,PTR-00000804,EHEPARTNER,
PTR-00000806,PTR-00000804,KIND,2007-05-02
PTR-00000807,PTR-00000804,KIND,2007-05-08
PTR-00000808,PTR-00000804,KIND,2007-11-05
PTR-00000815,PTR-00000814,EHEPARTNER,
PTR-00000816,PTR-00000814,KIND,2007-04-16
PTR-00000819,PTR-00000818,EHEPARTNER,
PTR-00000821,PTR-00000820,EHEPARTNER,
PTR-00000822,PTR-00000820,KIND,2000-12-22
PTR-00000830,PTR-00000829,EHEPARTNER,
PTR-00000831,PTR-00000832,INHABER,1999-03-01
PTR-00000835,PTR-00000834,EHEPARTNER,
PTR-00000839,PTR-00000838,EHEPARTNER,
PTR-00000846,PTR-00000845,EHEPARTNER,
PTR-00000852,PTR-00000851,EHEPARTNER,
PTR-00000854,PTR-00000853,EHEPARTNER,
PTR-00000855,PTR-00000856,INHABER,2006-08-01
PTR-00000857,PTR-00000858,INHABER,2021-08-01
PTR-00000860,PTR-00000859,EHEPARTNER,
PTR-00000863,PTR-00000862,EHEPARTNER,
PTR-00000866,PTR-00000865,EHEPARTNER,
PTR-00000867,PTR-00000865,KIND,2007-03-14
PTR-00000869,PTR-00000868,EHEPARTNER,
PTR-00000870,PTR-00000868,KIND,2007-06-02
PTR-00000871,PTR-00000868,KIND,2007-02-19
PTR-00000873,PTR-00000872,EHEPARTNER,
PTR-00000874,PTR-00000872,KIND,1981-03-23
PTR-00000875,PTR-00000872,KIND,1989-11-09
PTR-00000876,PTR-00000872,KIND,1991-03-22
PTR-00000880,PTR-00000879,EHEPARTNER,
PTR-00000882,PTR-00000881,EHEPARTNER,
PTR-00000883,PTR-00000881,KIND,2007-03-20
PTR-00000884,PTR-00000881,KIND,2007-11-28
PTR-00000885,PTR-00000881,KIND,2007-08-12
PTR-00000889,PTR-00000888,EHEPARTNER,
PTR-00000891,PTR-00000890,EHEPARTNER,
PTR-00000893,PTR-00000892,EHEPARTNER,
PTR-00000894,PTR-00000892,KIND,2007-10-02
PTR-00000895,PTR-00000892,KIND,2007-03-25
PTR-00000896,PTR-00000892,KIND,2007-11-27
PTR-00000898,PTR-00000897,EHEPARTNER,
PTR-00000899,PTR-00000900,INHABER,1985-09-01
PTR-00000903,PTR-00000902,EHEPARTNER,
PTR-00000904,PTR-00000905,INHABER,2022-09-01
PTR-00000906,PTR-00000907,INHABER,1993-11-01
PTR-00000912,PTR-00000911,EHEPARTNER,
PTR-00000914,PTR-00000913,EHEPARTNER,
PTR-00000915,PTR-00000913,KIND,2002-03-02
PTR-00000918,PTR-00000917,EHEPARTNER,
PTR-00000922,PTR-00000921,EHEPARTNER,
PTR-00000923,PTR-00000921,KIND,1999-02-02
PTR-00000925,PTR-00000924,EHEPARTNER,
PTR-00000928,PTR-00000927,EHEPARTNER,
PTR-00000935,PTR-00000934,EHEPARTNER,
PTR-00000938,PTR-00000937,EHEPARTNER,
PTR-00000940,PTR-00000939,EHEPARTNER,
PTR-00000941,PTR-00000939,KIND,2007-03-05
PTR-00000944,PTR-00000943,EHEPARTNER,
PTR-00000946,PTR-00000945,EHEPARTNER,
PTR-00000947,PTR-00000945,KIND,1994-10-16
PTR-00000949,PTR-00000948,EHEPARTNER,
PTR-00000953,PTR-00000952,EHEPARTNER,
PTR-00000955,PTR-00000954,EHEPARTNER,
PTR-00000956,PTR-00000954,KIND,2007-06-27
PTR-00000957,PTR-00000954,KIND,2007-10-18
PTR-00000958,PTR-00000954,KIND,2007-11-12
PTR-00000960,PTR-00000959,EHEPARTNER,
PTR-00000961,PTR-00000959,KIND,2007-08-09
PTR-00000962,PTR-00000959,KIND,2007-10-20
PTR-00000963,PTR-00000959,KIND,2006-01-08
PTR-00000966,PTR-00000965,EHEPARTNER,
PTR-00000967,PTR-00000965,KIND,2007-10-25
PTR-00000969,PTR-00000968,EHEPARTNER,
PTR-00000971,PTR-00000970,EHEPARTNER,
PTR-00000974,PTR-00000973,EHEPARTNER,
PTR-00000976,PTR-00000975,EHEPARTNER,
PTR-00000977,PTR-00000975,KIND,2005-01-03
PTR-00000978,PTR-00000975,KIND,2003-01-26
PTR-00000980,PTR-00000979,EHEPARTNER,
PTR-00000981,PTR-00000982,INHABER,2022-10-01
PTR-00000986,PTR-00000985,EHEPARTNER,
PTR-00000988,PTR-00000987,EHEPARTNER,
PTR-00000990,PTR-00000989,EHEPARTNER,
PTR-00000993,PTR-00000992,EHEPARTNER,
PTR-00000994,PTR-00000992,KIND,2007-01-21
PTR-00000996,PTR-00000995,EHEPARTNER,
PTR-00000998,PTR-00000997,EHEPARTNER,
PTR-00000999,PTR-00000997,KIND,1989-09-21
