vertrag_id,partner_id,rolle,anteil_pct
VTR-00000502,PTR-00000005,VERSICHERUNGSNEHMER,
VTR-00000502,PTR-00000005,VERSICHERTE_PERSON,
VTR-00000502,PTR-00000015,BEGUENSTIGT,100.0
VTR-00000503,PTR-00000005,VERSICHERUNGSNEHMER,
VTR-00000503,PTR-00000015,MITVERSICHERT,
VTR-00000601,PTR-00000006,VERSICHERUNGSNEHMER,
VTR-00000601,PTR-00000006,VERSICHERTE_PERSON,
VTR-00000601,PTR-00000016,BEGUENSTIGT,100.0
VTR-00000602,PTR-00000006,VERSICHERUNGSNEHMER,
VTR-00000602,PTR-00000006,VERSICHERTE_PERSON,
VTR-00000602,PTR-00000016,BEGUENSTIGT,100.0
VTR-00000701,PTR-00000007,VERSICHERUNGSNEHMER,
VTR-00000702,PTR-00000007,VERSICHERUNGSNEHMER,
VTR-00000702,PTR-00000007,VERSICHERTE_PERSON,
VTR-00000702,,BEGUENSTIGT_GESETZLICHE_ERBEN,100.0
VTR-00000801,PTR-00000008,VERSICHERUNGSNEHMER,
VTR-00000901,PTR-00000009,VERSICHERUNGSNEHMER,
VTR-00000902,PTR-00000017,VERSICHERUNGSNEHMER,
VTR-00001001,PTR-00000010,VERSICHERUNGSNEHMER,
VTR-00001001,PTR-00000010,VERSICHERTE_PERSON,
VTR-00001001,PTR-00000018,BEGUENSTIGT,100.0
VTR-00002001,PTR-00000862,VERSICHERUNGSNEHMER,
VTR-00002001,PTR-00000863,MITVERSICHERT,
VTR-00002002,PTR-00000510,VERSICHERUNGSNEHMER,
VTR-00002002,PTR-00000511,MITVERSICHERT,
VTR-00002003,PTR-00000757,VERSICHERUNGSNEHMER,
VTR-00002004,PTR-00000400,VERSICHERUNGSNEHMER,
VTR-00002005,PTR-00000104,VERSICHERUNGSNEHMER,
VTR-00002005,PTR-00000105,MITVERSICHERT,
VTR-00002006,PTR-00000342,VERSICHERUNGSNEHMER,
VTR-00002007,PTR-00000204,VERSICHERUNGSNEHMER,
VTR-00002008,PTR-00000407,VERSICHERUNGSNEHMER,
VTR-00002009,PTR-00000029,VERSICHERUNGSNEHMER,
VTR-00002010,PTR-00000543,VERSICHERUNGSNEHMER,
VTR-00002010,PTR-00000544,MITVERSICHERT,
VTR-00002011,PTR-00000245,VERSICHERUNGSNEHMER,
VTR-00002011,PTR-00000246,MITVERSICHERT,
VTR-00002012,PTR-00000468,VERSICHERUNGSNEHMER,
VTR-00002012,PTR-00000469,MITVERSICHERT,
VTR-00002012,PTR-00000470,MITVERSICHERT,
VTR-00002012,PTR-00000471,MITVERSICHERT,
VTR-00002013,PTR-00000675,VERSICHERUNGSNEHMER,
VTR-00002014,PTR-00000308,VERSICHERUNGSNEHMER,
VTR-00002015,PTR-00000413,VERSICHERUNGSNEHMER,
VTR-00002015,PTR-00000414,MITVERSICHERT,
VTR-00002015,PTR-00000415,MITVERSICHERT,
VTR-00002016,PTR-00000554,VERSICHERUNGSNEHMER,
VTR-00002016,PTR-00000555,MITVERSICHERT,
VTR-00002017,PTR-00000859,VERSICHERUNGSNEHMER,
VTR-00002017,PTR-00000860,MITVERSICHERT,
VTR-00002018,PTR-00000685,VERSICHERUNGSNEHMER,
VTR-00002018,PTR-00000686,MITVERSICHERT,
VTR-00002018,PTR-00000687,MITVERSICHERT,
VTR-00002019,PTR-00000553,VERSICHERUNGSNEHMER,
VTR-00002020,PTR-00000380,VERSICHERUNGSNEHMER,
VTR-00002020,PTR-00000381,MITVERSICHERT,
VTR-00002020,PTR-00000382,MITVERSICHERT,
VTR-00002020,PTR-00000383,MITVERSICHERT,
VTR-00002021,PTR-00000290,VERSICHERUNGSNEHMER,
VTR-00002021,PTR-00000291,MITVERSICHERT,
VTR-00002021,PTR-00000292,MITVERSICHERT,
VTR-00002021,PTR-00000293,MITVERSICHERT,
VTR-00002021,PTR-00000294,MITVERSICHERT,
VTR-00002022,PTR-00000122,VERSICHERUNGSNEHMER,
VTR-00002023,PTR-00000238,VERSICHERUNGSNEHMER,
VTR-00002023,PTR-00000239,MITVERSICHERT,
VTR-00002023,PTR-00000240,MITVERSICHERT,
VTR-00002024,PTR-00000096,VERSICHERUNGSNEHMER,
VTR-00002025,PTR-00000168,VERSICHERUNGSNEHMER,
VTR-00002025,PTR-00000169,MITVERSICHERT,
VTR-00002026,PTR-00000210,VERSICHERUNGSNEHMER,
VTR-00002026,PTR-00000211,MITVERSICHERT,
VTR-00002027,PTR-00000387,VERSICHERUNGSNEHMER,
VTR-00002028,PTR-00000257,VERSICHERUNGSNEHMER,
VTR-00002029,PTR-00000756,VERSICHERUNGSNEHMER,
VTR-00002030,PTR-00001000,VERSICHERUNGSNEHMER,
VTR-00002031,PTR-00000591,VERSICHERUNGSNEHMER,
VTR-00002031,PTR-00000592,MITVERSICHERT,
VTR-00002031,PTR-00000593,MITVERSICHERT,
VTR-00002032,PTR-00000270,VERSICHERUNGSNEHMER,
VTR-00002033,PTR-00000195,VERSICHERUNGSNEHMER,
VTR-00002033,PTR-00000196,MITVERSICHERT,
VTR-00002034,PTR-00000460,VERSICHERUNGSNEHMER,
VTR-00002034,PTR-00000461,MITVERSICHERT,
VTR-00002034,PTR-00000462,MITVERSICHERT,
VTR-00002035,PTR-00000748,VERSICHERUNGSNEHMER,
VTR-00002035,PTR-00000749,MITVERSICHERT,
VTR-00002035,PTR-00000750,MITVERSICHERT,
VTR-00002035,PTR-00000751,MITVERSICHERT,
VTR-00002036,PTR-00000321,VERSICHERUNGSNEHMER,
VTR-00002036,PTR-00000322,MITVERSICHERT,
VTR-00002037,PTR-00000453,VERSICHERUNGSNEHMER,
VTR-00002037,PTR-00000454,MITVERSICHERT,
VTR-00002038,PTR-00000134,VERSICHERUNGSNEHMER,
VTR-00002039,PTR-00000082,VERSICHERUNGSNEHMER,
VTR-00002040,PTR-00000767,VERSICHERUNGSNEHMER,
VTR-00002041,PTR-00000185,VERSICHERUNGSNEHMER,
VTR-00002041,PTR-00000186,MITVERSICHERT,
VTR-00002042,PTR-00000450,VERSICHERUNGSNEHMER,
VTR-00002042,PTR-00000451,MITVERSICHERT,
VTR-00002042,PTR-00000452,MITVERSICHERT,
VTR-00002043,PTR-00000425,VERSICHERUNGSNEHMER,
VTR-00002043,PTR-00000426,MITVERSICHERT,
VTR-00002043,PTR-00000427,MITVERSICHERT,
VTR-00002043,PTR-00000428,MITVERSICHERT,
VTR-00002043,PTR-00000429,MITVERSICHERT,
VTR-00002044,PTR-00000102,VERSICHERUNGSNEHMER,
VTR-00002045,PTR-00000879,VERSICHERUNGSNEHMER,
VTR-00002045,PTR-00000880,MITVERSICHERT,
VTR-00002046,PTR-00000403,VERSICHERUNGSNEHMER,
VTR-00002046,PTR-00000404,MITVERSICHERT,
VTR-00002046,PTR-00000405,MITVERSICHERT,
VTR-00002046,PTR-00000406,MITVERSICHERT,
VTR-00002047,PTR-00000723,VERSICHERUNGSNEHMER,
VTR-00002047,PTR-00000724,MITVERSICHERT,
VTR-00002047,PTR-00000725,MITVERSICHERT,
VTR-00002048,PTR-00000911,VERSICHERUNGSNEHMER,
VTR-00002048,PTR-00000912,MITVERSICHERT,
VTR-00002049,PTR-00000401,VERSICHERUNGSNEHMER,
VTR-00002049,PTR-00000402,MITVERSICHERT,
VTR-00002050,PTR-00000812,VERSICHERUNGSNEHMER,
VTR-00002051,PTR-00000283,VERSICHERUNGSNEHMER,
VTR-00002052,PTR-00000568,VERSICHERUNGSNEHMER,
VTR-00002052,PTR-00000569,MITVERSICHERT,
VTR-00002053,PTR-00000065,VERSICHERUNGSNEHMER,
VTR-00002054,PTR-00000248,VERSICHERUNGSNEHMER,
VTR-00002055,PTR-00000083,VERSICHERUNGSNEHMER,
VTR-00002056,PTR-00000028,VERSICHERUNGSNEHMER,
VTR-00002057,PTR-00000818,VERSICHERUNGSNEHMER,
VTR-00002057,PTR-00000819,MITVERSICHERT,
VTR-00002058,PTR-00000872,VERSICHERUNGSNEHMER,
VTR-00002058,PTR-00000873,MITVERSICHERT,
VTR-00002058,PTR-00000874,MITVERSICHERT,
VTR-00002058,PTR-00000875,MITVERSICHERT,
VTR-00002058,PTR-00000876,MITVERSICHERT,
VTR-00002059,PTR-00000613,VERSICHERUNGSNEHMER,
VTR-00002059,PTR-00000614,MITVERSICHERT,
VTR-00002059,PTR-00000615,MITVERSICHERT,
VTR-00002060,PTR-00000486,VERSICHERUNGSNEHMER,
VTR-00002061,PTR-00000273,VERSICHERUNGSNEHMER,
VTR-00002062,PTR-00000167,VERSICHERUNGSNEHMER,
VTR-00002063,PTR-00000247,VERSICHERUNGSNEHMER,
VTR-00002064,PTR-00000181,VERSICHERUNGSNEHMER,
VTR-00002064,PTR-00000182,MITVERSICHERT,
VTR-00002064,PTR-00000183,MITVERSICHERT,
VTR-00002065,PTR-00000385,VERSICHERUNGSNEHMER,
VTR-00002065,PTR-00000386,MITVERSICHERT,
VTR-00002066,PTR-00000519,VERSICHERUNGSNEHMER,
VTR-00002067,PTR-00000249,VERSICHERUNGSNEHMER,
VTR-00002067,PTR-00000250,MITVERSICHERT,
VTR-00002068,PTR-00000327,VERSICHERUNGSNEHMER,
VTR-00002069,PTR-00000888,VERSICHERUNGSNEHMER,
VTR-00002069,PTR-00000889,MITVERSICHERT,
VTR-00002070,PTR-00000231,VERSICHERUNGSNEHMER,
VTR-00002071,PTR-00000561,VERSICHERUNGSNEHMER,
VTR-00002071,PTR-00000562,MITVERSICHERT,
VTR-00002072,PTR-00000606,VERSICHERUNGSNEHMER,
VTR-00002073,PTR-00000741,VERSICHERUNGSNEHMER,
VTR-00002073,PTR-00000742,MITVERSICHERT,
VTR-00002074,PTR-00000043,VERSICHERUNGSNEHMER,
VTR-00002074,PTR-00000044,MITVERSICHERT,
VTR-00002074,PTR-00000045,MITVERSICHERT,
VTR-00002074,PTR-00000046,MITVERSICHERT,
VTR-00002075,PTR-00000582,VERSICHERUNGSNEHMER,
VTR-00002076,PTR-00000482,VERSICHERUNGSNEHMER,
VTR-00002076,PTR-00000483,MITVERSICHERT,
VTR-00002077,PTR-00000985,VERSICHERUNGSNEHMER,
VTR-00002077,PTR-00000986,MITVERSICHERT,
VTR-00002078,PTR-00000828,VERSICHERUNGSNEHMER,
VTR-00002079,PTR-00000790,VERSICHERUNGSNEHMER,
VTR-00002080,PTR-00000320,VERSICHERUNGSNEHMER,
VTR-00002081,PTR-00000517,VERSICHERUNGSNEHMER,
VTR-00002082,PTR-00000690,VERSICHERUNGSNEHMER,
VTR-00002082,PTR-00000691,MITVERSICHERT,
VTR-00002083,PTR-00000637,VERSICHERUNGSNEHMER,
VTR-00002083,PTR-00000638,MITVERSICHERT,
VTR-00002083,PTR-00000639,MITVERSICHERT,
VTR-00002084,PTR-00000274,VERSICHERUNGSNEHMER,
VTR-00002084,PTR-00000275,MITVERSICHERT,
VTR-00002085,PTR-00000730,VERSICHERUNGSNEHMER,
VTR-00002086,PTR-00000934,VERSICHERUNGSNEHMER,
VTR-00002086,PTR-00000935,MITVERSICHERT,
VTR-00002087,PTR-00000328,VERSICHERUNGSNEHMER,
VTR-00002087,PTR-00000329,MITVERSICHERT,
VTR-00002087,PTR-00000330,MITVERSICHERT,
VTR-00002087,PTR-00000331,MITVERSICHERT,
VTR-00002087,PTR-00000332,MITVERSICHERT,
VTR-00002088,PTR-00000024,VERSICHERUNGSNEHMER,
VTR-00002088,PTR-00000025,MITVERSICHERT,
VTR-00002089,PTR-00000153,VERSICHERUNGSNEHMER,
VTR-00002089,PTR-00000154,MITVERSICHERT,
VTR-00002090,PTR-00000078,VERSICHERUNGSNEHMER,
VTR-00002091,PTR-00000230,VERSICHERUNGSNEHMER,
VTR-00002092,PTR-00000334,VERSICHERUNGSNEHMER,
VTR-00002092,PTR-00000335,MITVERSICHERT,
VTR-00002093,PTR-00000306,VERSICHERUNGSNEHMER,
VTR-00002093,PTR-00000307,MITVERSICHERT,
VTR-00002094,PTR-00000755,VERSICHERUNGSNEHMER,
VTR-00002095,PTR-00000524,VERSICHERUNGSNEHMER,
VTR-00002096,PTR-00000809,VERSICHERUNGSNEHMER,
VTR-00002097,PTR-00000627,VERSICHERUNGSNEHMER,
VTR-00002097,PTR-00000628,MITVERSICHERT,
VTR-00002098,PTR-00000877,VERSICHERUNGSNEHMER,
VTR-00002099,PTR-00000720,VERSICHERUNGSNEHMER,
VTR-00002099,PTR-00000721,MITVERSICHERT,
VTR-00002099,PTR-00000722,MITVERSICHERT,
VTR-00002100,PTR-00000731,VERSICHERUNGSNEHMER,
VTR-00002101,PTR-00000932,VERSICHERUNGSNEHMER,
VTR-00002102,PTR-00000794,VERSICHERUNGSNEHMER,
VTR-00002102,PTR-00000795,MITVERSICHERT,
VTR-00002103,PTR-00000034,VERSICHERUNGSNEHMER,
VTR-00002104,PTR-00000241,VERSICHERUNGSNEHMER,
VTR-00002104,PTR-00000242,MITVERSICHERT,
VTR-00002105,PTR-00000542,VERSICHERUNGSNEHMER,
VTR-00002106,PTR-00000841,VERSICHERUNGSNEHMER,
VTR-00002107,PTR-00000220,VERSICHERUNGSNEHMER,
VTR-00002108,PTR-00000315,VERSICHERUNGSNEHMER,
VTR-00002108,PTR-00000316,MITVERSICHERT,
VTR-00002109,PTR-00000630,VERSICHERUNGSNEHMER,
VTR-00002109,PTR-00000631,MITVERSICHERT,
VTR-00002110,PTR-00000711,VERSICHERUNGSNEHMER,
VTR-00002111,PTR-00000607,VERSICHERUNGSNEHMER,
VTR-00002112,PTR-00000708,VERSICHERUNGSNEHMER,
VTR-00002112,PTR-00000709,MITVERSICHERT,
VTR-00002112,PTR-00000710,MITVERSICHERT,
VTR-00002113,PTR-00000238,VERSICHERUNGSNEHMER,
VTR-00002113,PTR-00000239,MITVERSICHERT,
VTR-00002113,PTR-00000240,MITVERSICHERT,
VTR-00002114,PTR-00000432,VERSICHERUNGSNEHMER,
VTR-00002115,PTR-00000172,VERSICHERUNGSNEHMER,
VTR-00002116,PTR-00000677,VERSICHERUNGSNEHMER,
VTR-00002117,PTR-00000305,VERSICHERUNGSNEHMER,
VTR-00002118,PTR-00000500,VERSICHERUNGSNEHMER,
VTR-00002118,PTR-00000501,MITVERSICHERT,
VTR-00002119,PTR-00000424,VERSICHERUNGSNEHMER,
VTR-00002120,PTR-00000533,VERSICHERUNGSNEHMER,
VTR-00002121,PTR-00000447,VERSICHERUNGSNEHMER,
VTR-00002121,PTR-00000448,MITVERSICHERT,
VTR-00002121,PTR-00000449,MITVERSICHERT,
VTR-00002122,PTR-00000917,VERSICHERUNGSNEHMER,
VTR-00002122,PTR-00000918,MITVERSICHERT,
VTR-00002123,PTR-00000824,VERSICHERUNGSNEHMER,
VTR-00002124,PTR-00000187,VERSICHERUNGSNEHMER,
VTR-00002124,PTR-00000188,MITVERSICHERT,
VTR-00002125,PTR-00000258,VERSICHERUNGSNEHMER,
VTR-00002126,PTR-00000704,VERSICHERUNGSNEHMER,
VTR-00002127,PTR-00000522,VERSICHERUNGSNEHMER,
VTR-00002127,PTR-00000523,MITVERSICHERT,
VTR-00002128,PTR-00000318,VERSICHERUNGSNEHMER,
VTR-00002128,PTR-00000319,MITVERSICHERT,
VTR-00002129,PTR-00000508,VERSICHERUNGSNEHMER,
VTR-00002129,PTR-00000509,MITVERSICHERT,
VTR-00002130,PTR-00000629,VERSICHERUNGSNEHMER,
VTR-00002131,PTR-00000761,VERSICHERUNGSNEHMER,
VTR-00002131,PTR-00000762,MITVERSICHERT,
VTR-00002132,PTR-00000560,VERSICHERUNGSNEHMER,
VTR-00002133,PTR-00000148,VERSICHERUNGSNEHMER,
VTR-00002133,PTR-00000149,MITVERSICHERT,
VTR-00002134,PTR-00000558,VERSICHERUNGSNEHMER,
VTR-00002134,PTR-00000559,MITVERSICHERT,
VTR-00002135,PTR-00000276,VERSICHERUNGSNEHMER,
VTR-00002136,PTR-00000201,VERSICHERUNGSNEHMER,
VTR-00002136,PTR-00000202,MITVERSICHERT,
VTR-00002136,PTR-00000203,MITVERSICHERT,
VTR-00002137,PTR-00000254,VERSICHERUNGSNEHMER,
VTR-00002137,PTR-00000255,MITVERSICHERT,
VTR-00002137,PTR-00000256,MITVERSICHERT,
VTR-00002138,PTR-00000842,VERSICHERUNGSNEHMER,
VTR-00002139,PTR-00000224,VERSICHERUNGSNEHMER,
VTR-00002139,PTR-00000225,MITVERSICHERT,
VTR-00002140,PTR-00000374,VERSICHERUNGSNEHMER,
VTR-00002140,PTR-00000375,MITVERSICHERT,
VTR-00002141,PTR-00000768,VERSICHERUNGSNEHMER,
VTR-00002142,PTR-00000116,VERSICHERUNGSNEHMER,
VTR-00002143,PTR-00000931,VERSICHERUNGSNEHMER,
VTR-00002144,PTR-00000085,VERSICHERUNGSNEHMER,
VTR-00002145,PTR-00000773,VERSICHERUNGSNEHMER,
VTR-00002146,PTR-00000244,VERSICHERUNGSNEHMER,
VTR-00002147,PTR-00000811,VERSICHERUNGSNEHMER,
VTR-00002148,PTR-00000179,VERSICHERUNGSNEHMER,
VTR-00002148,PTR-00000180,MITVERSICHERT,
VTR-00002149,PTR-00000463,VERSICHERUNGSNEHMER,
VTR-00002150,PTR-00000535,VERSICHERUNGSNEHMER,
VTR-00002150,PTR-00000536,MITVERSICHERT,
VTR-00002151,PTR-00000636,VERSICHERUNGSNEHMER,
VTR-00002152,PTR-00000845,VERSICHERUNGSNEHMER,
VTR-00002152,PTR-00000846,MITVERSICHERT,
VTR-00002153,PTR-00000097,VERSICHERUNGSNEHMER,
VTR-00002153,PTR-00000098,MITVERSICHERT,
VTR-00002154,PTR-00000964,VERSICHERUNGSNEHMER,
VTR-00002155,PTR-00000703,VERSICHERUNGSNEHMER,
VTR-00002156,PTR-00000397,VERSICHERUNGSNEHMER,
VTR-00002156,PTR-00000398,MITVERSICHERT,
VTR-00002156,PTR-00000399,MITVERSICHERT,
VTR-00002157,PTR-00000040,VERSICHERUNGSNEHMER,
VTR-00002158,PTR-00000084,VERSICHERUNGSNEHMER,
VTR-00002159,PTR-00000112,VERSICHERUNGSNEHMER,
VTR-00002159,PTR-00000113,MITVERSICHERT,
VTR-00002160,PTR-00000919,VERSICHERUNGSNEHMER,
VTR-00002161,PTR-00000929,VERSICHERUNGSNEHMER,
VTR-00002162,PTR-00000512,VERSICHERUNGSNEHMER,
VTR-00002163,PTR-00000324,VERSICHERUNGSNEHMER,
VTR-00002164,PTR-00000110,VERSICHERUNGSNEHMER,
VTR-00002164,PTR-00000111,MITVERSICHERT,
VTR-00002165,PTR-00000574,VERSICHERUNGSNEHMER,
VTR-00002166,PTR-00000049,VERSICHERUNGSNEHMER,
VTR-00002167,PTR-00000679,VERSICHERUNGSNEHMER,
VTR-00002167,PTR-00000680,MITVERSICHERT,
VTR-00002167,PTR-00000681,MITVERSICHERT,
VTR-00002167,PTR-00000682,MITVERSICHERT,
VTR-00002168,PTR-00000128,VERSICHERUNGSNEHMER,
VTR-00002168,PTR-00000129,MITVERSICHERT,
VTR-00002169,PTR-00000109,VERSICHERUNGSNEHMER,
VTR-00002170,PTR-00000205,VERSICHERUNGSNEHMER,
VTR-00002170,PTR-00000206,MITVERSICHERT,
VTR-00002170,PTR-00000207,MITVERSICHERT,
VTR-00002171,PTR-00000208,VERSICHERUNGSNEHMER,
VTR-00002172,PTR-00000916,VERSICHERUNGSNEHMER,
VTR-00002173,PTR-00000718,VERSICHERUNGSNEHMER,
VTR-00002173,PTR-00000719,MITVERSICHERT,
VTR-00002174,PTR-00000968,VERSICHERUNGSNEHMER,
VTR-00002174,PTR-00000969,MITVERSICHERT,
VTR-00002175,PTR-00000295,VERSICHERUNGSNEHMER,
VTR-00002175,PTR-00000296,MITVERSICHERT,
VTR-00002176,PTR-00000563,VERSICHERUNGSNEHMER,
VTR-00002176,PTR-00000564,MITVERSICHERT,
VTR-00002176,PTR-00000565,MITVERSICHERT,
VTR-00002177,PTR-00000984,VERSICHERUNGSNEHMER,
VTR-00002178,PTR-00000702,VERSICHERUNGSNEHMER,
VTR-00002179,PTR-00000486,VERSICHERUNGSNEHMER,
VTR-00002180,PTR-00000353,VERSICHERUNGSNEHMER,
VTR-00002181,PTR-00000739,VERSICHERUNGSNEHMER,
VTR-00002181,PTR-00000740,MITVERSICHERT,
VTR-00002182,PTR-00000221,VERSICHERUNGSNEHMER,
VTR-00002182,PTR-00000222,MITVERSICHERT,
VTR-00002182,PTR-00000223,MITVERSICHERT,
VTR-00002183,PTR-00000932,VERSICHERUNGSNEHMER,
VTR-00002184,PTR-00000820,VERSICHERUNGSNEHMER,
VTR-00002184,PTR-00000821,MITVERSICHERT,
VTR-00002184,PTR-00000822,MITVERSICHERT,
VTR-00002185,PTR-00000826,VERSICHERUNGSNEHMER,
VTR-00002186,PTR-00000457,VERSICHERUNGSNEHMER,
VTR-00002186,PTR-00000458,MITVERSICHERT,
VTR-00002186,PTR-00000459,MITVERSICHERT,
VTR-00002187,PTR-00000416,VERSICHERUNGSNEHMER,
VTR-00002187,PTR-00000417,MITVERSICHERT,
VTR-00002188,PTR-00000262,VERSICHERUNGSNEHMER,
VTR-00002188,PTR-00000263,MITVERSICHERT,
VTR-00002188,PTR-00000264,MITVERSICHERT,
VTR-00002189,PTR-00000736,VERSICHERUNGSNEHMER,
VTR-00002190,PTR-00000594,VERSICHERUNGSNEHMER,
VTR-00002191,PTR-00000138,VERSICHERUNGSNEHMER,
VTR-00002191,PTR-00000139,MITVERSICHERT,
VTR-00002192,PTR-00000920,VERSICHERUNGSNEHMER,
VTR-00002193,PTR-00000865,VERSICHERUNGSNEHMER,
VTR-00002193,PTR-00000866,MITVERSICHERT,
VTR-00002193,PTR-00000867,MITVERSICHERT,
VTR-00002194,PTR-00000021,VERSICHERUNGSNEHMER,
VTR-00002194,PTR-00000022,MITVERSICHERT,
VTR-00002195,PTR-00000901,VERSICHERUNGSNEHMER,
VTR-00002196,PTR-00000814,VERSICHERUNGSNEHMER,
VTR-00002196,PTR-00000815,MITVERSICHERT,
VTR-00002196,PTR-00000816,MITVERSICHERT,
VTR-00002197,PTR-00000376,VERSICHERUNGSNEHMER,
VTR-00002198,PTR-00000061,VERSICHERUNGSNEHMER,
VTR-00002198,PTR-00000062,MITVERSICHERT,
VTR-00002198,PTR-00000063,MITVERSICHERT,
VTR-00002198,PTR-00000064,MITVERSICHERT,
VTR-00002199,PTR-00000577,VERSICHERUNGSNEHMER,
VTR-00002200,PTR-00000837,VERSICHERUNGSNEHMER,
VTR-00002201,PTR-00000648,VERSICHERUNGSNEHMER,
VTR-00002201,PTR-00000649,MITVERSICHERT,
VTR-00002202,PTR-00000626,VERSICHERUNGSNEHMER,
VTR-00002203,PTR-00000817,VERSICHERUNGSNEHMER,
VTR-00002204,PTR-00000086,VERSICHERUNGSNEHMER,
VTR-00002204,PTR-00000087,MITVERSICHERT,
VTR-00002205,PTR-00000360,VERSICHERUNGSNEHMER,
VTR-00002205,PTR-00000361,MITVERSICHERT,
VTR-00002206,PTR-00000951,VERSICHERUNGSNEHMER,
VTR-00002207,PTR-00000643,VERSICHERUNGSNEHMER,
VTR-00002207,PTR-00000644,MITVERSICHERT,
VTR-00002207,PTR-00000645,MITVERSICHERT,
VTR-00002207,PTR-00000646,MITVERSICHERT,
VTR-00002208,PTR-00000624,VERSICHERUNGSNEHMER,
VTR-00002208,PTR-00000625,MITVERSICHERT,
VTR-00002209,PTR-00000972,VERSICHERUNGSNEHMER,
VTR-00002210,PTR-00000825,VERSICHERUNGSNEHMER,
VTR-00002211,PTR-00000267,VERSICHERUNGSNEHMER,
VTR-00002212,PTR-00000347,VERSICHERUNGSNEHMER,
VTR-00002213,PTR-00000060,VERSICHERUNGSNEHMER,
VTR-00002214,PTR-00000991,VERSICHERUNGSNEHMER,
VTR-00002215,PTR-00000479,VERSICHERUNGSNEHMER,
VTR-00002215,PTR-00000480,MITVERSICHERT,
VTR-00002216,PTR-00000299,VERSICHERUNGSNEHMER,
VTR-00002216,PTR-00000300,MITVERSICHERT,
VTR-00002217,PTR-00000792,VERSICHERUNGSNEHMER,
VTR-00002218,PTR-00000743,VERSICHERUNGSNEHMER,
VTR-00002218,PTR-00000744,MITVERSICHERT,
VTR-00002218,PTR-00000745,MITVERSICHERT,
VTR-00002219,PTR-00000943,VERSICHERUNGSNEHMER,
VTR-00002219,PTR-00000944,MITVERSICHERT,
VTR-00002220,PTR-00000173,VERSICHERUNGSNEHMER,
VTR-00002220,PTR-00000174,MITVERSICHERT,
VTR-00002220,PTR-00000175,MITVERSICHERT,
VTR-00002220,PTR-00000176,MITVERSICHERT,
VTR-00002221,PTR-00000853,VERSICHERUNGSNEHMER,
VTR-00002221,PTR-00000854,MITVERSICHERT,
VTR-00002222,PTR-00000277,VERSICHERUNGSNEHMER,
VTR-00002222,PTR-00000278,MITVERSICHERT,
VTR-00002223,PTR-00000746,VERSICHERUNGSNEHMER,
VTR-00002223,PTR-00000747,MITVERSICHERT,
VTR-00002224,PTR-00000224,VERSICHERUNGSNEHMER,
VTR-00002224,PTR-00000225,MITVERSICHERT,
VTR-00002225,PTR-00000093,VERSICHERUNGSNEHMER,
VTR-00002225,PTR-00000094,MITVERSICHERT,
VTR-00002225,PTR-00000095,MITVERSICHERT,
VTR-00002226,PTR-00000661,VERSICHERUNGSNEHMER,
VTR-00002226,PTR-00000662,MITVERSICHERT,
VTR-00002227,PTR-00000041,VERSICHERUNGSNEHMER,
VTR-00002227,PTR-00000042,MITVERSICHERT,
VTR-00002228,PTR-00000038,VERSICHERUNGSNEHMER,
VTR-00002228,PTR-00000039,MITVERSICHERT,
