deckung_id,vertrag_id,deckungsart,baustein,summe,selbstbehalt,selbstbehalt_typ,gueltig_von,gueltig_bis
DEK-00002044-01,VTR-00002044,HAUPTDECKUNG,,5000000.0,0.0,fix,2023-12-01,2024-02-01
DEK-00002044-02,VTR-00002044,BAUSTEIN,BS-GEBAEUDE,,,,2023-12-01,2024-02-01
DEK-00002044-03,VTR-00002044,BAUSTEIN,BS-AUSFALL,,,,2023-12-01,2024-02-01
DEK-00002045-01,VTR-00002045,HAUPTDECKUNG,,10000000.0,200.0,fix,2017-03-01,2019-02-01
DEK-00002045-02,VTR-00002045,BAUSTEIN,BS-TIER-HUND,,,,2017-03-01,2019-02-01
DEK-00002046-01,VTR-00002046,HAUPTDECKUNG,,5000000.0,0.0,fix,2018-03-01,2023-04-01
DEK-00002046-02,VTR-00002046,BAUSTEIN,BS-TIER-HUND,,,,2018-03-01,2023-04-01
DEK-00002046-03,VTR-00002046,BAUSTEIN,BS-KINDER,,,,2018-03-01,2023-04-01
DEK-00002047-01,VTR-00002047,HAUPTDECKUNG,,10000000.0,500.0,fix,2025-07-01,
DEK-00002047-02,VTR-00002047,BAUSTEIN,BS-GEBAEUDE,,,,2025-07-01,
DEK-00002047-03,VTR-00002047,BAUSTEIN,BS-SCHLUESSEL,,,,2025-07-01,
DEK-00002048-01,VTR-00002048,HAUPTDECKUNG,,3000000.0,100.0,fix,2007-08-01,
DEK-00002049-01,VTR-00002049,HAUPTDECKUNG,,20000000.0,0.0,fix,2022-08-01,
DEK-00002049-02,VTR-00002049,BAUSTEIN,BS-DROHNE,,,,2022-08-01,
DEK-00002050-01,VTR-00002050,HAUPTDECKUNG,,5000000.0,200.0,fix,2014-01-01,2019-08-01
DEK-00002051-01,VTR-00002051,HAUPTDECKUNG,,10000000.0,200.0,fix,2016-11-01,
DEK-00002052-01,VTR-00002052,HAUPTDECKUNG,,5000000.0,200.0,fix,2016-01-01,
DEK-00002052-02,VTR-00002052,BAUSTEIN,BS-GEBAEUDE,,,,2016-01-01,
DEK-00002053-01,VTR-00002053,HAUPTDECKUNG,,10000000.0,200.0,fix,2025-03-01,
DEK-00002054-01,VTR-00002054,HAUPTDECKUNG,,20000000.0,0.0,fix,2017-08-01,
DEK-00002054-02,VTR-00002054,BAUSTEIN,BS-GEBAEUDE,,,,2017-08-01,
DEK-00002055-01,VTR-00002055,HAUPTDECKUNG,,5000000.0,500.0,fix,2016-05-01,
DEK-00002056-01,VTR-00002056,HAUPTDECKUNG,,10000000.0,0.0,fix,2024-04-01,
DEK-00002056-02,VTR-00002056,BAUSTEIN,BS-SCHLUESSEL,,,,2024-04-01,
DEK-00002057-01,VTR-00002057,HAUPTDECKUNG,,5000000.0,200.0,fix,2015-08-01,
DEK-00002058-01,VTR-00002058,HAUPTDECKUNG,,10000000.0,0.0,fix,2016-05-01,
DEK-00002058-02,VTR-00002058,BAUSTEIN,BS-TIER-HUND,,,,2016-05-01,
DEK-00002059-01,VTR-00002059,HAUPTDECKUNG,,5000000.0,200.0,fix,2016-05-01,2017-06-01
DEK-00002059-02,VTR-00002059,BAUSTEIN,BS-TIER-HUND,,,,2016-05-01,2017-06-01
DEK-00002060-01,VTR-00002060,HAUPTDECKUNG,,5000000.0,200.0,fix,2025-12-01,
DEK-00002061-01,VTR-00002061,HAUPTDECKUNG,,5000000.0,0.0,fix,2022-10-01,
DEK-00002061-02,VTR-00002061,BAUSTEIN,BS-AUSFALL,,,,2022-10-01,
DEK-00002061-03,VTR-00002061,BAUSTEIN,BS-DROHNE,,,,2022-10-01,
DEK-00002062-01,VTR-00002062,HAUPTDECKUNG,,50000000.0,0.0,fix,2023-04-01,
DEK-00002062-02,VTR-00002062,BAUSTEIN,BS-GEBAEUDE,,,,2023-04-01,
DEK-00002063-01,VTR-00002063,HAUPTDECKUNG,,5000000.0,200.0,fix,2016-05-01,
DEK-00002064-01,VTR-00002064,HAUPTDECKUNG,,20000000.0,0.0,fix,2014-03-01,2017-08-01
DEK-00002064-02,VTR-00002064,BAUSTEIN,BS-AUSFALL,,,,2014-03-01,2017-08-01
DEK-00002065-01,VTR-00002065,HAUPTDECKUNG,,10000000.0,500.0,fix,2019-10-01,
DEK-00002066-01,VTR-00002066,HAUPTDECKUNG,,20000000.0,0.0,fix,2014-09-01,2019-10-01
DEK-00002066-02,VTR-00002066,BAUSTEIN,BS-TIER-HUND,,,,2014-09-01,2019-10-01
DEK-00002066-03,VTR-00002066,BAUSTEIN,BS-OELTANK,,,,2014-09-01,2019-10-01
DEK-00002066-04,VTR-00002066,BAUSTEIN,BS-AUSFALL,,,,2014-09-01,2019-10-01
DEK-00002067-01,VTR-00002067,HAUPTDECKUNG,,5000000.0,200.0,fix,2020-12-01,
DEK-00002068-01,VTR-00002068,HAUPTDECKUNG,,50000000.0,150.0,fix,2025-07-01,
DEK-00002068-02,VTR-00002068,BAUSTEIN,BS-GEBAEUDE,,,,2025-07-01,
DEK-00002068-03,VTR-00002068,BAUSTEIN,BS-AUSFALL,,,,2025-07-01,
DEK-00002069-01,VTR-00002069,HAUPTDECKUNG,,5000000.0,0.0,fix,2018-10-01,2023-10-01
DEK-00002070-01,VTR-00002070,HAUPTDECKUNG,,50000000.0,0.0,fix,2021-02-01,2023-06-01
DEK-00002071-01,VTR-00002071,HAUPTDECKUNG,,5000000.0,200.0,fix,2025-04-01,
DEK-00002072-01,VTR-00002072,HAUPTDECKUNG,,10000000.0,0.0,fix,2024-12-01,
DEK-00002072-02,VTR-00002072,BAUSTEIN,BS-AUSFALL,,,,2024-12-01,
DEK-00002072-03,VTR-00002072,BAUSTEIN,BS-SCHLUESSEL,,,,2024-12-01,
DEK-00002073-01,VTR-00002073,HAUPTDECKUNG,,50000000.0,0.0,fix,2021-05-01,
DEK-00002073-02,VTR-00002073,BAUSTEIN,BS-KINDER,,,,2021-05-01,
DEK-00002074-01,VTR-00002074,HAUPTDECKUNG,,5000000.0,200.0,fix,2017-07-01,
DEK-00002074-02,VTR-00002074,BAUSTEIN,BS-GEBAEUDE,,,,2017-07-01,
DEK-00002075-01,VTR-00002075,HAUPTDECKUNG,,10000000.0,0.0,fix,2022-10-01,2023-02-01
DEK-00002076-01,VTR-00002076,HAUPTDECKUNG,,5000000.0,150.0,fix,2025-02-01,
DEK-00002076-02,VTR-00002076,BAUSTEIN,BS-KINDER,,,,2025-02-01,
DEK-00002077-01,VTR-00002077,HAUPTDECKUNG,,5000000.0,0.0,fix,2021-12-01,2024-08-01
DEK-00002077-02,VTR-00002077,BAUSTEIN,BS-DROHNE,,,,2021-12-01,2024-08-01
DEK-00002078-01,VTR-00002078,HAUPTDECKUNG,,5000000.0,100.0,fix,2012-02-01,
DEK-00002079-01,VTR-00002079,HAUPTDECKUNG,,5000000.0,200.0,fix,2017-06-01,
DEK-00002080-01,VTR-00002080,HAUPTDECKUNG,,10000000.0,0.0,fix,2023-05-01,2024-08-01
DEK-00002080-02,VTR-00002080,BAUSTEIN,BS-AUSFALL,,,,2023-05-01,2024-08-01
DEK-00002081-01,VTR-00002081,HAUPTDECKUNG,,50000000.0,0.0,fix,2024-12-01,
DEK-00002081-02,VTR-00002081,BAUSTEIN,BS-AUSFALL,,,,2024-12-01,
DEK-00002082-01,VTR-00002082,HAUPTDECKUNG,,10000000.0,0.0,fix,2021-03-01,2022-09-01
DEK-00002082-02,VTR-00002082,BAUSTEIN,BS-AUSFALL,,,,2021-03-01,2022-09-01
DEK-00002082-03,VTR-00002082,BAUSTEIN,BS-SCHLUESSEL,,,,2021-03-01,2022-09-01
DEK-00002082-04,VTR-00002082,BAUSTEIN,BS-KINDER,,,,2021-03-01,2022-09-01
DEK-00002083-01,VTR-00002083,HAUPTDECKUNG,,10000000.0,0.0,fix,2021-11-01,2022-09-01
DEK-00002083-02,VTR-00002083,BAUSTEIN,BS-KINDER,,,,2021-11-01,2022-09-01
DEK-00002084-01,VTR-00002084,HAUPTDECKUNG,,10000000.0,0.0,fix,2025-02-01,
DEK-00002085-01,VTR-00002085,HAUPTDECKUNG,,5000000.0,100.0,fix,2013-10-01,2023-11-01
DEK-00002085-02,VTR-00002085,BAUSTEIN,BS-SCHLUESSEL,,,,2013-10-01,2023-11-01
DEK-00002086-01,VTR-00002086,HAUPTDECKUNG,,10000000.0,0.0,fix,2024-11-01,
DEK-00002087-01,VTR-00002087,HAUPTDECKUNG,,5000000.0,0.0,fix,2015-02-01,
DEK-00002088-01,VTR-00002088,HAUPTDECKUNG,,5000000.0,0.0,fix,2024-04-01,
DEK-00002088-02,VTR-00002088,BAUSTEIN,BS-AUSFALL,,,,2024-04-01,
DEK-00002088-03,VTR-00002088,BAUSTEIN,BS-KINDER,,,,2024-04-01,
DEK-00002089-01,VTR-00002089,HAUPTDECKUNG,,5000000.0,200.0,fix,2025-04-01,
DEK-00002090-01,VTR-00002090,HAUPTDECKUNG,,20000000.0,0.0,fix,2024-07-01,
DEK-00002091-01,VTR-00002091,HAUPTDECKUNG,,20000000.0,0.0,fix,2022-08-01,
DEK-00002091-02,VTR-00002091,BAUSTEIN,BS-TIER-HUND,,,,2022-08-01,
DEK-00002091-03,VTR-00002091,BAUSTEIN,BS-AUSFALL,,,,2022-08-01,
DEK-00002092-01,VTR-00002092,HAUPTDECKUNG,,10000000.0,0.0,fix,2023-01-01,
DEK-00002093-01,VTR-00002093,HAUPTDECKUNG,,5000000.0,200.0,fix,2011-02-01,2013-02-01
DEK-00002094-01,VTR-00002094,HAUPTDECKUNG,,5000000.0,0.0,fix,2011-11-01,2018-04-01
DEK-00002095-01,VTR-00002095,HAUPTDECKUNG,,5000000.0,200.0,fix,2025-07-01,
DEK-00002095-02,VTR-00002095,BAUSTEIN,BS-BAUHERR,,,,2025-07-01,
DEK-00002095-03,VTR-00002095,BAUSTEIN,BS-GEBAEUDE,,,,2025-07-01,
DEK-00002096-01,VTR-00002096,HAUPTDECKUNG,,10000000.0,0.0,fix,2024-02-01,
DEK-00002096-02,VTR-00002096,BAUSTEIN,BS-SCHLUESSEL,,,,2024-02-01,
DEK-00002096-03,VTR-00002096,BAUSTEIN,BS-DROHNE,,,,2024-02-01,
DEK-00002097-01,VTR-00002097,HAUPTDECKUNG,,20000000.0,0.0,fix,2023-09-01,
DEK-00002097-02,VTR-00002097,BAUSTEIN,BS-AUSFALL,,,,2023-09-01,
DEK-00002098-01,VTR-00002098,HAUPTDECKUNG,,5000000.0,0.0,fix,2025-12-01,
DEK-00002098-02,VTR-00002098,BAUSTEIN,BS-AUSFALL,,,,2025-12-01,
DEK-00002098-03,VTR-00002098,BAUSTEIN,BS-KINDER,,,,2025-12-01,
DEK-00002099-01,VTR-00002099,HAUPTDECKUNG,,10000000.0,0.0,fix,2023-04-01,
DEK-00002099-02,VTR-00002099,BAUSTEIN,BS-TIER-HUND,,,,2023-04-01,
DEK-00002100-01,VTR-00002100,HAUPTDECKUNG,,5000000.0,200.0,fix,2020-01-01,
DEK-00002100-02,VTR-00002100,BAUSTEIN,BS-GEBAEUDE,,,,2020-01-01,
DEK-00002101-01,VTR-00002101,HAUPTDECKUNG,,5000000.0,200.0,fix,2020-06-01,
DEK-00002102-01,VTR-00002102,HAUPTDECKUNG,,5000000.0,200.0,fix,2025-07-01,
DEK-00002103-01,VTR-00002103,HAUPTDECKUNG,,5000000.0,150.0,fix,2020-10-01,
DEK-00002103-02,VTR-00002103,BAUSTEIN,BS-TIER-HUND,,,,2020-10-01,
DEK-00002103-03,VTR-00002103,BAUSTEIN,BS-KINDER,,,,2020-10-01,
DEK-00002104-01,VTR-00002104,HAUPTDECKUNG,,10000000.0,200.0,fix,2018-05-01,
DEK-00002105-01,VTR-00002105,HAUPTDECKUNG,,5000000.0,200.0,fix,2015-03-01,
DEK-00002105-02,VTR-00002105,BAUSTEIN,BS-GEBAEUDE,,,,2015-03-01,
DEK-00002106-01,VTR-00002106,HAUPTDECKUNG,,50000000.0,0.0,fix,2024-07-01,
DEK-00002107-01,VTR-00002107,HAUPTDECKUNG,,20000000.0,150.0,fix,2017-07-01,2019-08-01
DEK-00002107-02,VTR-00002107,BAUSTEIN,BS-AUSFALL,,,,2017-07-01,2019-08-01
DEK-00002108-01,VTR-00002108,HAUPTDECKUNG,,5000000.0,0.0,fix,2005-03-01,2010-12-01
DEK-00002109-01,VTR-00002109,HAUPTDECKUNG,,20000000.0,0.0,fix,2014-08-01,2024-07-01
DEK-00002109-02,VTR-00002109,BAUSTEIN,BS-AUSFALL,,,,2014-08-01,2024-07-01
DEK-00002109-03,VTR-00002109,BAUSTEIN,BS-KINDER,,,,2014-08-01,2024-07-01
DEK-00002110-01,VTR-00002110,HAUPTDECKUNG,,20000000.0,0.0,fix,2022-01-01,
DEK-00002111-01,VTR-00002111,HAUPTDECKUNG,,5000000.0,200.0,fix,2025-09-01,
DEK-00002112-01,VTR-00002112,HAUPTDECKUNG,,10000000.0,0.0,fix,2021-10-01,
DEK-00002113-01,VTR-00002113,HAUPTDECKUNG,,5000000.0,0.0,fix,2013-10-01,
DEK-00002113-02,VTR-00002113,BAUSTEIN,BS-TIER-HUND,,,,2013-10-01,
DEK-00002113-03,VTR-00002113,BAUSTEIN,BS-SCHLUESSEL,,,,2013-10-01,
DEK-00002113-04,VTR-00002113,BAUSTEIN,BS-KINDER,,,,2013-10-01,
DEK-00002114-01,VTR-00002114,HAUPTDECKUNG,,20000000.0,0.0,fix,2024-04-01,
DEK-00002115-01,VTR-00002115,HAUPTDECKUNG,,20000000.0,0.0,fix,2024-10-01,
DEK-00002115-02,VTR-00002115,BAUSTEIN,BS-AUSFALL,,,,2024-10-01,
DEK-00002115-03,VTR-00002115,BAUSTEIN,BS-SCHLUESSEL,,,,2024-10-01,
DEK-00002116-01,VTR-00002116,HAUPTDECKUNG,,20000000.0,0.0,fix,2024-01-01,
DEK-00002116-02,VTR-00002116,BAUSTEIN,BS-TIER-HUND,,,,2024-01-01,
DEK-00002116-03,VTR-00002116,BAUSTEIN,BS-KINDER,,,,2024-01-01,
DEK-00002117-01,VTR-00002117,HAUPTDECKUNG,,20000000.0,150.0,fix,2015-11-01,2016-11-01
DEK-00002118-01,VTR-00002118,HAUPTDECKUNG,,5000000.0,0.0,fix,2014-04-01,2018-03-01
DEK-00002119-01,VTR-00002119,HAUPTDECKUNG,,5000000.0,200.0,fix,2025-12-01,
DEK-00002120-01,VTR-00002120,HAUPTDECKUNG,,20000000.0,0.0,fix,2025-03-01,
DEK-00002120-02,VTR-00002120,BAUSTEIN,BS-GEBAEUDE,,,,2025-03-01,
DEK-00002120-03,VTR-00002120,BAUSTEIN,BS-AUSFALL,,,,2025-03-01,
DEK-00002121-01,VTR-00002121,HAUPTDECKUNG,,10000000.0,0.0,fix,2019-11-01,
DEK-00002121-02,VTR-00002121,BAUSTEIN,BS-AUSFALL,,,,2019-11-01,
DEK-00002122-01,VTR-00002122,HAUPTDECKUNG,,10000000.0,0.0,fix,2023-09-01,
DEK-00002122-02,VTR-00002122,BAUSTEIN,BS-AUSFALL,,,,2023-09-01,
DEK-00002122-03,VTR-00002122,BAUSTEIN,BS-SCHLUESSEL,,,,2023-09-01,
DEK-00002123-01,VTR-00002123,HAUPTDECKUNG,,10000000.0,0.0,fix,2014-08-01,2019-05-01
DEK-00002123-02,VTR-00002123,BAUSTEIN,BS-AUSFALL,,,,2014-08-01,2019-05-01
DEK-00002124-01,VTR-00002124,HAUPTDECKUNG,,20000000.0,0.0,fix,2021-12-01,2024-06-01
DEK-00002124-02,VTR-00002124,BAUSTEIN,BS-AUSFALL,,,,2021-12-01,2024-06-01
DEK-00002125-01,VTR-00002125,HAUPTDECKUNG,,5000000.0,500.0,fix,2016-11-01,2020-06-01
DEK-00002126-01,VTR-00002126,HAUPTDECKUNG,,5000000.0,200.0,fix,2015-03-01,
DEK-00002126-02,VTR-00002126,BAUSTEIN,BS-GEBAEUDE,,,,2015-03-01,
DEK-00002127-01,VTR-00002127,HAUPTDECKUNG,,10000000.0,150.0,fix,2017-04-01,2020-08-01
DEK-00002127-02,VTR-00002127,BAUSTEIN,BS-KINDER,,,,2017-04-01,2020-08-01
DEK-00002128-01,VTR-00002128,HAUPTDECKUNG,,10000000.0,500.0,fix,2025-05-01,
DEK-00002129-01,VTR-00002129,HAUPTDECKUNG,,5000000.0,200.0,fix,2014-07-01,2019-03-01
DEK-00002130-01,VTR-00002130,HAUPTDECKUNG,,5000000.0,0.0,fix,2021-11-01,
DEK-00002130-02,VTR-00002130,BAUSTEIN,BS-TIER-HUND,,,,2021-11-01,
DEK-00002130-03,VTR-00002130,BAUSTEIN,BS-AUSFALL,,,,2021-11-01,
DEK-00002131-01,VTR-00002131,HAUPTDECKUNG,,10000000.0,0.0,fix,2015-07-01,2019-05-01
DEK-00002131-02,VTR-00002131,BAUSTEIN,BS-GEBAEUDE,,,,2015-07-01,2019-05-01
DEK-00002131-03,VTR-00002131,BAUSTEIN,BS-AUSFALL,,,,2015-07-01,2019-05-01
DEK-00002131-04,VTR-00002131,BAUSTEIN,BS-SCHLUESSEL,,,,2015-07-01,2019-05-01
DEK-00002132-01,VTR-00002132,HAUPTDECKUNG,,10000000.0,0.0,fix,2023-06-01,
DEK-00002132-02,VTR-00002132,BAUSTEIN,BS-TIER-HUND,,,,2023-06-01,
DEK-00002132-03,VTR-00002132,BAUSTEIN,BS-KINDER,,,,2023-06-01,
DEK-00002133-01,VTR-00002133,HAUPTDECKUNG,,5000000.0,200.0,fix,2025-11-01,
