curated_id,quellsystem,quell_id,match_methode,match_score,gueltig_von,gueltig_bis,bemerkung
VTR-00002085,HAPO,40.000.045-1,MIGRATIONSLOG,1.0,2013-10-01,2025-05-15,
VTR-00002087,HAPO,40.000.046-6,MIGRATIONSLOG,1.0,2015-02-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002093,HAPO,40.000.047-4,MIGRATIONSLOG,1.0,2011-02-01,2025-05-15,
VTR-00002094,HAPO,40.000.048-2,MIGRATIONSLOG,1.0,2011-11-01,2025-05-15,
VTR-00002100,HAPO,40.000.049-8,MIGRATIONSLOG,1.0,2020-01-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002101,HAPO,40.000.050-7,MIGRATIONSLOG,1.0,2020-06-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002103,HAPO,40.000.051-5,MIGRATIONSLOG,1.0,2020-10-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002104,HAPO,40.000.052-0,MIGRATIONSLOG,1.0,2018-05-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002105,HAPO,40.000.053-1,MIGRATIONSLOG,1.0,2015-03-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002107,HAPO,40.000.054-6,MIGRATIONSLOG,1.0,2017-07-01,2025-05-15,
VTR-00002108,HAPO,40.000.055-4,MIGRATIONSLOG,1.0,2005-03-01,2025-05-15,
VTR-00002109,HAPO,40.000.056-2,MIGRATIONSLOG,1.0,2014-08-01,2025-05-15,
VTR-00002113,HAPO,40.000.057-8,MIGRATIONSLOG,1.0,2013-10-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002117,HAPO,40.000.058-3,MIGRATIONSLOG,1.0,2015-11-01,2025-05-15,
VTR-00002118,HAPO,40.000.059-9,MIGRATIONSLOG,1.0,2014-04-01,2025-05-15,
VTR-00002121,HAPO,40.000.060-6,MIGRATIONSLOG,1.0,2019-11-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002123,HAPO,40.000.061-4,MIGRATIONSLOG,1.0,2014-08-01,2025-05-15,
VTR-00002125,HAPO,40.000.062-2,MIGRATIONSLOG,1.0,2016-11-01,2025-05-15,
VTR-00002126,HAPO,40.000.063-8,MIGRATIONSLOG,1.0,2015-03-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002127,HAPO,40.000.064-3,MIGRATIONSLOG,1.0,2017-04-01,2025-05-15,
VTR-00002129,HAPO,40.000.065-9,MIGRATIONSLOG,1.0,2014-07-01,2025-05-15,
VTR-00002131,HAPO,40.000.066-7,MIGRATIONSLOG,1.0,2015-07-01,2025-05-15,
VTR-00002135,HAPO,40.000.067-5,MIGRATIONSLOG,1.0,2017-01-01,2025-05-15,
VTR-00002138,HAPO,40.000.068-0,MIGRATIONSLOG,1.0,2018-04-01,2025-05-15,
VTR-00002142,HAPO,40.000.069-1,MIGRATIONSLOG,1.0,2001-05-01,2025-05-15,
VTR-00002144,HAPO,40.000.070-9,MIGRATIONSLOG,1.0,2015-06-01,2025-05-15,
VTR-00002145,HAPO,40.000.071-7,MIGRATIONSLOG,1.0,2011-11-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002150,HAPO,40.000.072-5,MIGRATIONSLOG,1.0,2014-01-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002153,HAPO,40.000.073-0,MIGRATIONSLOG,1.0,2020-03-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002157,HAPO,40.000.074-1,MIGRATIONSLOG,1.0,2020-04-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002158,HAPO,40.000.075-6,MIGRATIONSLOG,1.0,2020-09-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002163,HAPO,40.000.076-4,MIGRATIONSLOG,1.0,2015-07-01,2025-05-15,
VTR-00002168,HAPO,40.000.077-2,MIGRATIONSLOG,1.0,2014-05-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002172,HAPO,40.000.078-8,MIGRATIONSLOG,1.0,2014-11-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002176,HAPO,40.000.079-3,MIGRATIONSLOG,1.0,2016-04-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002180,HAPO,40.000.080-1,MIGRATIONSLOG,1.0,2016-05-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002183,HAPO,40.000.081-6,MIGRATIONSLOG,1.0,2006-03-01,2025-05-15,
VTR-00002184,HAPO,40.000.082-4,MIGRATIONSLOG,1.0,2012-02-01,2025-05-15,
VTR-00002185,HAPO,40.000.083-2,MIGRATIONSLOG,1.0,2019-02-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002186,HAPO,40.000.084-8,MIGRATIONSLOG,1.0,2020-05-01,2025-05-15,
VTR-00002187,HAPO,40.000.085-3,MIGRATIONSLOG,1.0,2002-01-01,2025-05-15,
VTR-00002188,HAPO,40.000.086-9,MIGRATIONSLOG,1.0,2017-03-01,2025-05-15,
VTR-00002190,HAPO,40.000.087-7,MIGRATIONSLOG,1.0,2015-07-01,2025-05-15,
VTR-00002191,HAPO,40.000.088-5,MIGRATIONSLOG,1.0,2009-01-01,2025-05-15,
VTR-00002192,HAPO,40.000.089-0,MIGRATIONSLOG,1.0,2014-02-01,2025-05-15,
VTR-00002193,HAPO,40.000.090-4,MIGRATIONSLOG,1.0,2018-06-01,2025-05-15,
VTR-00002196,HAPO,40.000.091-2,MIGRATIONSLOG,1.0,2018-04-01,2025-05-15,
VTR-00002198,HAPO,40.000.092-8,MIGRATIONSLOG,1.0,2014-03-01,2025-05-15,
VTR-00002201,HAPO,40.000.093-3,MIGRATIONSLOG,1.0,2020-09-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002206,HAPO,40.000.094-9,MIGRATIONSLOG,1.0,2019-11-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002207,HAPO,40.000.095-7,MIGRATIONSLOG,1.0,2018-11-01,2025-05-15,
VTR-00002208,HAPO,40.000.096-5,MIGRATIONSLOG,1.0,2009-10-01,2025-05-15,
VTR-00002210,HAPO,40.000.097-0,MIGRATIONSLOG,1.0,2016-08-01,2025-05-15,
VTR-00002213,HAPO,40.000.098-1,MIGRATIONSLOG,1.0,2004-11-01,2025-05-15,
VTR-00002214,HAPO,40.000.099-6,MIGRATIONSLOG,1.0,2008-12-01,2025-05-15,
VTR-00002216,HAPO,40.000.100-7,MIGRATIONSLOG,1.0,2020-08-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002220,HAPO,40.000.101-5,MIGRATIONSLOG,1.0,2018-03-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002221,HAPO,40.000.102-0,MIGRATIONSLOG,1.0,2016-04-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002225,HAPO,40.000.103-1,MIGRATIONSLOG,1.0,2009-03-01,2025-05-15,
VTR-00002226,HAPO,40.000.104-6,MIGRATIONSLOG,1.0,2019-11-01,2025-05-15,
VTR-00002227,HAPO,40.000.105-4,MIGRATIONSLOG,1.0,2015-11-01,2025-05-15,
VTR-00002229,HAPO,40.000.106-2,MIGRATIONSLOG,1.0,2013-10-01,2025-05-15,
VTR-00002230,HAPO,40.000.107-8,MIGRATIONSLOG,1.0,2004-07-01,2025-05-15,
VTR-00002231,HAPO,40.000.108-3,MIGRATIONSLOG,1.0,2018-04-01,2025-05-15,
VTR-00002232,HAPO,40.000.109-9,MIGRATIONSLOG,1.0,2019-07-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002233,HAPO,40.000.110-6,MIGRATIONSLOG,1.0,2019-01-01,2025-05-15,
VTR-00002236,HAPO,40.000.111-4,MIGRATIONSLOG,1.0,2014-01-01,2025-05-15,
VTR-00002237,HAPO,40.000.112-2,MIGRATIONSLOG,1.0,2017-11-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002240,HAPO,40.000.113-8,MIGRATIONSLOG,1.0,2015-05-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002243,HAPO,40.000.114-3,MIGRATIONSLOG,1.0,2014-04-01,2025-05-15,
VTR-00002244,HAPO,40.000.115-9,MIGRATIONSLOG,1.0,2020-10-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002245,HAPO,40.000.116-7,MIGRATIONSLOG,1.0,2016-07-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002248,HAPO,40.000.117-5,MIGRATIONSLOG,1.0,2013-01-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002249,HAPO,40.000.118-0,MIGRATIONSLOG,1.0,2017-04-01,2025-05-15,
VTR-00002250,HAPO,40.000.119-1,MIGRATIONSLOG,1.0,2019-10-01,2025-05-15,
VTR-00002251,HAPO,40.000.120-9,MIGRATIONSLOG,1.0,2020-06-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002252,HAPO,40.000.121-7,MIGRATIONSLOG,1.0,2015-11-01,2025-05-15,
VTR-00002254,HAPO,40.000.122-5,MIGRATIONSLOG,1.0,2009-12-01,2025-05-15,
VTR-00002255,HAPO,40.000.123-0,MIGRATIONSLOG,1.0,2020-04-01,2025-05-15,
VTR-00002257,HAPO,40.000.124-1,MIGRATIONSLOG,1.0,2006-10-01,2025-05-15,
VTR-00002259,HAPO,40.000.125-6,MIGRATIONSLOG,1.0,2015-01-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002260,HAPO,40.000.126-4,MIGRATIONSLOG,1.0,2015-03-01,2025-05-15,
VTR-00002262,HAPO,40.000.127-2,MIGRATIONSLOG,1.0,2015-08-01,2025-05-15,
VTR-00002263,HAPO,40.000.128-8,MIGRATIONSLOG,1.0,2020-08-01,2025-05-15,
VTR-00002270,HAPO,40.000.129-3,MIGRATIONSLOG,1.0,2014-03-01,2025-05-15,
VTR-00002272,HAPO,40.000.130-1,MIGRATIONSLOG,1.0,2015-12-01,2025-05-15,
VTR-00002273,HAPO,40.000.131-6,MIGRATIONSLOG,1.0,2016-10-01,2025-05-15,
VTR-00002279,HAPO,40.000.132-4,MIGRATIONSLOG,1.0,2016-08-01,2025-05-15,
VTR-00002280,HAPO,40.000.133-2,MIGRATIONSLOG,1.0,2015-06-01,2025-05-15,
VTR-00002283,HAPO,40.000.134-8,MIGRATIONSLOG,1.0,2016-09-01,2025-05-15,
VTR-00002286,HAPO,40.000.135-3,MIGRATIONSLOG,1.0,2014-03-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002289,HAPO,40.000.136-9,MIGRATIONSLOG,1.0,2013-07-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002290,HAPO,40.000.137-7,MIGRATIONSLOG,1.0,2015-03-01,2025-05-15,
VTR-00002291,HAPO,40.000.138-5,MIGRATIONSLOG,1.0,2016-07-01,2025-05-15,
VTR-00002292,HAPO,40.000.139-0,MIGRATIONSLOG,1.0,2019-11-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002296,HAPO,40.000.140-4,MIGRATIONSLOG,1.0,2008-03-01,2025-05-15,
VTR-00002301,HAPO,40.000.141-2,MIGRATIONSLOG,1.0,2017-10-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002302,HAPO,40.000.142-8,MIGRATIONSLOG,1.0,2014-02-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002304,HAPO,40.000.143-3,MIGRATIONSLOG,1.0,2014-12-01,2025-05-15,
VTR-00002306,HAPO,40.000.144-9,MIGRATIONSLOG,1.0,2015-02-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002308,HAPO,40.000.145-7,MIGRATIONSLOG,1.0,2014-08-01,2025-05-15,
VTR-00002311,HAPO,40.000.146-5,MIGRATIONSLOG,1.0,2013-09-01,2025-05-15,
VTR-00002315,HAPO,40.000.147-0,MIGRATIONSLOG,1.0,2009-03-01,2025-05-15,
VTR-00002321,HAPO,40.000.148-1,MIGRATIONSLOG,1.0,2017-07-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002323,HAPO,40.000.149-6,MIGRATIONSLOG,1.0,2016-06-01,2025-05-15,
VTR-00002324,HAPO,40.000.150-8,MIGRATIONSLOG,1.0,2015-06-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002325,HAPO,40.000.151-3,MIGRATIONSLOG,1.0,2008-08-01,2025-05-15,
VTR-00002326,HAPO,40.000.152-9,MIGRATIONSLOG,1.0,2013-08-01,2025-05-15,
VTR-00002328,HAPO,40.000.153-7,MIGRATIONSLOG,1.0,2017-05-01,2025-05-15,
VTR-00002330,HAPO,40.000.154-5,MIGRATIONSLOG,1.0,2015-01-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002332,HAPO,40.000.155-0,MIGRATIONSLOG,1.0,2017-06-01,2025-05-15,
VTR-00002333,HAPO,40.000.156-1,MIGRATIONSLOG,1.0,2015-01-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002340,HAPO,40.000.157-6,MIGRATIONSLOG,1.0,2020-10-01,2025-05-15,
VTR-00002343,HAPO,40.000.158-4,MIGRATIONSLOG,1.0,2020-01-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002348,HAPO,40.000.159-2,MIGRATIONSLOG,1.0,2017-03-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002350,HAPO,40.000.160-0,MIGRATIONSLOG,1.0,2017-12-01,2025-05-15,
VTR-00002353,HAPO,40.000.161-1,MIGRATIONSLOG,1.0,2002-06-01,2025-05-15,
VTR-00002354,HAPO,40.000.162-6,MIGRATIONSLOG,1.0,2015-04-01,2025-05-15,
VTR-00002355,HAPO,40.000.163-4,MIGRATIONSLOG,1.0,2018-02-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002357,HAPO,40.000.164-2,MIGRATIONSLOG,1.0,2005-12-01,2025-05-15,
VTR-00002358,HAPO,40.000.165-8,MIGRATIONSLOG,1.0,2019-03-01,2025-05-15,
VTR-00002362,HAPO,40.000.166-3,MIGRATIONSLOG,1.0,2019-10-01,2025-05-15,
VTR-00002363,HAPO,40.000.167-9,MIGRATIONSLOG,1.0,2016-05-01,2025-05-15,
VTR-00002368,HAPO,40.000.168-7,MIGRATIONSLOG,1.0,2020-09-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002370,HAPO,40.000.169-5,MIGRATIONSLOG,1.0,2018-12-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002374,HAPO,40.000.170-5,MIGRATIONSLOG,1.0,2020-12-01,2025-05-15,
VTR-00002375,HAPO,40.000.171-0,MIGRATIONSLOG,1.0,2016-02-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002376,HAPO,40.000.172-1,MIGRATIONSLOG,1.0,2018-04-01,2025-05-15,
VTR-00002378,HAPO,40.000.173-6,MIGRATIONSLOG,1.0,2020-06-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002379,HAPO,40.000.174-4,MIGRATIONSLOG,1.0,2019-07-01,2025-05-15,
VTR-00002380,HAPO,40.000.175-2,MIGRATIONSLOG,1.0,2019-01-01,2025-05-15,
VTR-00002381,HAPO,40.000.176-8,MIGRATIONSLOG,1.0,2020-08-01,2025-05-15,
VTR-00002384,HAPO,40.000.177-3,MIGRATIONSLOG,1.0,2015-03-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002389,HAPO,40.000.178-9,MIGRATIONSLOG,1.0,2014-01-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002390,HAPO,40.000.179-7,MIGRATIONSLOG,1.0,2007-10-01,2025-05-15,
VTR-00002395,HAPO,40.000.180-2,MIGRATIONSLOG,1.0,2011-04-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002396,HAPO,40.000.181-8,MIGRATIONSLOG,1.0,2015-01-01,2025-05-15,
VTR-00002401,HAPO,40.000.182-3,MIGRATIONSLOG,1.0,2016-09-01,2025-05-15,
VTR-00002402,HAPO,40.000.183-9,MIGRATIONSLOG,1.0,2015-06-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002403,HAPO,40.000.184-7,MIGRATIONSLOG,1.0,2020-05-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002406,HAPO,40.000.185-5,MIGRATIONSLOG,1.0,2002-10-01,2025-05-15,
VTR-00002407,HAPO,40.000.186-0,MIGRATIONSLOG,1.0,2006-04-01,2025-05-15,
VTR-00002409,HAPO,40.000.187-1,MIGRATIONSLOG,1.0,2018-12-01,2025-05-15,
VTR-00002410,HAPO,40.000.188-6,MIGRATIONSLOG,1.0,2019-11-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002412,HAPO,40.000.189-4,MIGRATIONSLOG,1.0,2015-02-01,2025-05-15,
VTR-00002413,HAPO,40.000.190-3,MIGRATIONSLOG,1.0,2016-09-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002418,HAPO,40.000.191-9,MIGRATIONSLOG,1.0,2016-10-01,2025-05-15,
VTR-00002420,HAPO,40.000.192-7,MIGRATIONSLOG,1.0,2020-02-01,2025-05-15,
VTR-00002421,HAPO,40.000.193-5,MIGRATIONSLOG,1.0,2014-03-01,2025-05-15,
VTR-00002422,HAPO,40.000.194-0,MIGRATIONSLOG,1.0,2018-02-01,2025-05-15,
VTR-00002423,HAPO,40.000.195-1,MIGRATIONSLOG,1.0,2020-10-01,2025-05-15,
VTR-00002430,HAPO,40.000.196-6,MIGRATIONSLOG,1.0,2011-01-01,2025-05-15,
VTR-00002431,HAPO,40.000.197-4,MIGRATIONSLOG,1.0,2020-12-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002434,HAPO,40.000.198-2,MIGRATIONSLOG,1.0,2019-10-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002436,HAPO,40.000.199-8,MIGRATIONSLOG,1.0,2013-05-01,2025-05-15,
VTR-00002440,HAPO,40.000.200-9,MIGRATIONSLOG,1.0,2020-06-01,2025-05-15,
VTR-00002441,HAPO,40.000.201-7,MIGRATIONSLOG,1.0,2005-11-01,2025-05-15,
VTR-00002445,HAPO,40.000.202-5,MIGRATIONSLOG,1.0,2019-02-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002448,HAPO,40.000.203-0,MIGRATIONSLOG,1.0,2015-07-01,2025-05-15,
VTR-00002452,HAPO,40.000.204-1,MIGRATIONSLOG,1.0,2020-04-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002454,HAPO,40.000.205-6,MIGRATIONSLOG,1.0,2020-08-01,2025-05-15,
VTR-00002455,HAPO,40.000.206-4,MIGRATIONSLOG,1.0,2016-07-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002460,HAPO,40.000.207-2,MIGRATIONSLOG,1.0,2016-01-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002461,HAPO,40.000.208-8,MIGRATIONSLOG,1.0,2017-02-01,2025-05-15,
VTR-00002463,HAPO,40.000.209-3,MIGRATIONSLOG,1.0,2016-07-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002466,HAPO,40.000.210-1,MIGRATIONSLOG,1.0,2015-02-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002467,HAPO,40.000.211-6,MIGRATIONSLOG,1.0,2018-07-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002470,HAPO,40.000.212-4,MIGRATIONSLOG,1.0,2014-12-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002471,HAPO,40.000.213-2,MIGRATIONSLOG,1.0,2019-02-01,2025-05-15,
VTR-00002472,HAPO,40.000.214-8,MIGRATIONSLOG,1.0,2013-02-01,2025-05-15,
VTR-00002473,HAPO,40.000.215-3,MIGRATIONSLOG,1.0,2015-01-01,2025-05-15,
VTR-00002476,HAPO,40.000.216-9,MIGRATIONSLOG,1.0,2010-10-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002478,HAPO,40.000.217-7,MIGRATIONSLOG,1.0,2013-11-01,2025-05-15,
VTR-00002479,HAPO,40.000.218-5,MIGRATIONSLOG,1.0,2013-05-01,2025-05-15,
VTR-00002480,HAPO,40.000.219-0,MIGRATIONSLOG,1.0,2020-03-01,2025-05-15,
VTR-00002482,HAPO,40.000.220-4,MIGRATIONSLOG,1.0,2017-04-01,2025-05-15,
VTR-00002487,HAPO,40.000.221-2,MIGRATIONSLOG,1.0,2017-10-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002490,HAPO,40.000.222-8,MIGRATIONSLOG,1.0,2013-01-01,2025-05-15,
VTR-00002491,HAPO,40.000.223-3,MIGRATIONSLOG,1.0,2017-06-01,2025-05-15,
VTR-00002492,HAPO,40.000.224-9,MIGRATIONSLOG,1.0,2018-06-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002495,HAPO,40.000.225-7,MIGRATIONSLOG,1.0,2014-07-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002498,HAPO,40.000.226-5,MIGRATIONSLOG,1.0,2020-07-01,2025-05-15,
VTR-00002499,HAPO,40.000.227-0,MIGRATIONSLOG,1.0,2011-06-01,2025-05-15,
VTR-00002504,HAPO,40.000.228-1,MIGRATIONSLOG,1.0,2016-06-01,2025-05-15,
VTR-00002507,HAPO,40.000.229-6,MIGRATIONSLOG,1.0,2016-05-01,2025-05-15,
VTR-00002510,HAPO,40.000.230-8,MIGRATIONSLOG,1.0,2014-09-01,2025-05-15,
VTR-00002513,HAPO,40.000.231-3,MIGRATIONSLOG,1.0,2014-01-01,2025-05-15,
VTR-00002514,HAPO,40.000.232-9,MIGRATIONSLOG,1.0,2018-10-01,2025-05-15,Migrationsstorno ZZ im Altsystem
