nachname,sprachraum,gewicht,synthetisch
Thommen,de-CH,14,false
Tschudi,de-CH,14,false
Vogel,de-CH,14,false
Vogt,de-CH,14,false
Von Arx,de-CH,13,false
Wagner,de-CH,13,false
Walder,de-CH,13,false
Wüthrich,de-CH,13,false
Zaugg,de-CH,13,false
Zbinden,de-CH,13,false
Zehnder,de-CH,12,false
Ziegler,de-CH,12,false
Zumstein,de-CH,12,false
Amstutz,de-CH,12,false
Arnold,de-CH,12,false
Bättig,de-CH,12,false
Bolliger,de-CH,12,false
Bossard,de-CH,12,false
Bucher,de-CH,12,false
Burkhalter,de-CH,11,false
Dietiker,de-CH,11,false
Eggenberger,de-CH,11,false
Eichenberger,de-CH,11,false
Emmenegger,de-CH,11,false
Fankhauser,de-CH,11,false
Fuchs,de-CH,11,false
Gehrig,de-CH,11,false
Gfeller,de-CH,11,false
Gisler,de-CH,11,false
Grob,de-CH,10,false
Gubler,de-CH,10,false
Hänni,de-CH,10,false
Härdi,de-CH,10,false
Hauenstein,de-CH,10,false
Heiniger,de-CH,10,false
Hirt,de-CH,10,false
Hürlimann,de-CH,10,false
Iten,de-CH,10,false
Jäggi,de-CH,10,false
Jost,de-CH,10,false
Kessler,de-CH,10,false
Kissling,de-CH,10,false
Krebs,de-CH,10,false
Kühni,de-CH,9,false
Lang,de-CH,9,false
Läubli,de-CH,9,false
Liechti,de-CH,9,false
Lienhard,de-CH,9,false
Marbach,de-CH,9,false
Mathys,de-CH,9,false
Merz,de-CH,9,false
Mettler,de-CH,9,false
Michel,de-CH,9,false
Niederberger,de-CH,9,false
Oberholzer,de-CH,9,false
Portmann,de-CH,9,false
Probst,de-CH,9,false
Reber,de-CH,9,false
Rickli,de-CH,9,false
Rudolf,de-CH,8,false
Rüfenacht,de-CH,8,false
Ryser,de-CH,8,false
Schaffner,de-CH,8,false
Scherrer,de-CH,8,false
Schläfli,de-CH,8,false
Schüpbach,de-CH,8,false
Sommer,de-CH,8,false
Spahr,de-CH,8,false
Stäheli,de-CH,8,false
Staub,de-CH,8,false
Stucki,de-CH,8,false
Sutter,de-CH,8,false
Trachsel,de-CH,8,false
Ulrich,de-CH,8,false
Vetterli,de-CH,8,false
Waser,de-CH,8,false
Wehrli,de-CH,8,false
Wild,de-CH,8,false
Winkler,de-CH,8,false
Wirz,de-CH,8,false
Wittwer,de-CH,8,false
Wolf,de-CH,8,false
Zingg,de-CH,7,false
Zollinger,de-CH,7,false
Zwahlen,de-CH,7,false
Amrein,de-CH,7,false
Bächtold,de-CH,7,false
Balmer,de-CH,7,false
Bertschi,de-CH,7,false
Blaser,de-CH,7,false
Bösch,de-CH,7,false
Brägger,de-CH,7,false
Bruderer,de-CH,7,false
Müller,de-DE,100,false
Schmidt,de-DE,95,false
Schneider,de-DE,80,false
Fischer,de-DE,75,false
Weber,de-DE,70,false
Meyer,de-DE,68,false
Wagner,de-DE,65,false
Becker,de-DE,62,false
Schulz,de-DE,60,false
Hoffmann,de-DE,58,false
Schäfer,de-DE,55,false
Koch,de-DE,54,false
Bauer,de-DE,52,false
Richter,de-DE,50,false
Klein,de-DE,50,false
Wolf,de-DE,48,false
Schröder,de-DE,47,false
Neumann,de-DE,46,false
Schwarz,de-DE,45,false
Zimmermann,de-DE,44,false
Braun,de-DE,43,false
Krüger,de-DE,42,false
Hofmann,de-DE,41,false
Hartmann,de-DE,40,false
Lange,de-DE,40,false
Schmitt,de-DE,39,false
Werner,de-DE,38,false
Schmitz,de-DE,37,false
Krause,de-DE,36,false
Meier,de-DE,36,false
Lehmann,de-DE,35,false
Schmid,de-DE,34,false
Schulze,de-DE,34,false
Maier,de-DE,33,false
Köhler,de-DE,33,false
Herrmann,de-DE,32,false
König,de-DE,32,false
Walter,de-DE,31,false
Mayer,de-DE,31,false
Huber,de-DE,30,false
Kaiser,de-DE,30,false
Fuchs,de-DE,29,false
Peters,de-DE,29,false
Lang,de-DE,28,false
Scholz,de-DE,28,false
Möller,de-DE,27,false
Weiß,de-DE,27,false
Jung,de-DE,26,false
Hahn,de-DE,26,false
Schubert,de-DE,25,false
Vogel,de-DE,25,false
Friedrich,de-DE,25,false
Keller,de-DE,24,false
Günther,de-DE,24,false
Frank,de-DE,24,false
Berger,de-DE,23,false
Winkler,de-DE,23,false
Roth,de-DE,23,false
Beck,de-DE,22,false
Lorenz,de-DE,22,false
Baumann,de-DE,22,false
Franke,de-DE,21,false
Albrecht,de-DE,21,false
Schuster,de-DE,21,false
Simon,de-DE,20,false
Ludwig,de-DE,20,false
Böhm,de-DE,20,false
Winter,de-DE,20,false
Kraus,de-DE,19,false
Martin,de-DE,19,false
Schumacher,de-DE,19,false
Krämer,de-DE,19,false
Vogt,de-DE,18,false
Stein,de-DE,18,false
Jäger,de-DE,18,false
Otto,de-DE,18,false
Sommer,de-DE,18,false
Groß,de-DE,17,false
Seidel,de-DE,17,false
Heinrich,de-DE,17,false
Brandt,de-DE,17,false
Haas,de-DE,17,false
Schreiber,de-DE,16,false
Graf,de-DE,16,false
Schulte,de-DE,16,false
Dietrich,de-DE,16,false
Ziegler,de-DE,16,false
Kuhn,de-DE,16,false
Kühn,de-DE,15,false
Pohl,de-DE,15,false
Engel,de-DE,15,false
Horn,de-DE,15,false
Busch,de-DE,15,false
Bergmann,de-DE,15,false
Thomas,de-DE,14,false
Voigt,de-DE,14,false
Sauer,de-DE,14,false
Arnold,de-DE,14,false
Wolff,de-DE,14,false
Pfeiffer,de-DE,14,false
Ortlepp,de-DE,5,false
Steinbrecher,de-DE,6,false
Vollmer,de-DE,8,false
Lindqvist,de-DE,2,false
Kolbe,de-DE,8,false
Nowak,de-DE,12,false
Kowalski,de-DE,10,false
Wieczorek,de-DE,6,false
Janssen,de-DE,10,false
Hansen,de-DE,12,false
Petersen,de-DE,12,false
Jensen,de-DE,8,false
Carstensen,de-DE,5,false
Lüders,de-DE,6,false
Behrens,de-DE,8,false
Reimers,de-DE,6,false
Wessel,de-DE,6,false
Bosch,de-DE,7,false
Ebner,de-DE,7,false
Gruber,de-DE,8,false
Hofer,de-DE,6,false
Kern,de-DE,8,false
Kurz,de-DE,7,false
Löffler,de-DE,6,false
Merkel,de-DE,4,false
Neubauer,de-DE,8,false
Oswald,de-DE,6,false
Pichler,de-DE,5,false
Reinhardt,de-DE,7,false
Sattler,de-DE,6,false
Strobel,de-DE,6,false
Thiel,de-DE,8,false
Ullrich,de-DE,7,false
Vetter,de-DE,6,false
Wendt,de-DE,7,false
Wilhelm,de-DE,7,false
Zander,de-DE,6,false
Adler,de-DE,6,false
Bachmann,de-DE,6,false
Brinkmann,de-DE,7,false
Dörr,de-DE,5,false
Eckert,de-DE,7,false
Fiedler,de-DE,7,false
Geiger,de-DE,7,false
Haase,de-DE,7,false
Hübner,de-DE,7,false
Jahn,de-DE,6,false
Kastner,de-DE,5,false
Lindner,de-DE,8,false
Marx,de-DE,6,false
Nagel,de-DE,7,false
Ostermann,de-DE,4,false
Pape,de-DE,5,false
Rauch,de-DE,6,false
Sperling,de-DE,4,false
Tröger,de-DE,3,false
Unger,de-DE,6,false
Voss,de-DE,7,false
Wegner,de-DE,7,false
Zeller,de-DE,5,false
Ahrens,de-DE,6,false
Bock,de-DE,6,false
Cordes,de-DE,4,false
Dittrich,de-DE,5,false
Ernst,de-DE,7,false
Feldmann,de-DE,5,false
Gerlach,de-DE,6,false
Heller,de-DE,6,false
Ilgner,de-DE,2,false
Jacobs,de-DE,6,false
Kessler,de-DE,6,false
Lutz,de-DE,7,false
Menzel,de-DE,6,false
Naumann,de-DE,6,false
Opitz,de-DE,5,false
Preuß,de-DE,5,false
Rudolph,de-DE,6,false
Stark,de-DE,6,false
Timm,de-DE,5,false
Favre,fr,40,false
Rochat,fr,35,false
Bovet,fr,30,false
Chappuis,fr,28,false
Cornu,fr,26,false
Dubois,fr,26,false
Gilliéron,fr,22,false
Martin,fr,30,false
Mermoud,fr,20,false
Monnier,fr,22,false
Pittet,fr,22,false
Rey,fr,20,false
Rossier,fr,20,false
Bugnon,fr,18,false
Cuendet,fr,16,false
Dupraz,fr,16,false
Gaillard,fr,18,false
Golay,fr,16,false
Jaquet,fr,16,false
Mottier,fr,14,false
Nicolet,fr,14,false
Perrin,fr,16,false
Reymond,fr,16,false
Vuilleumier,fr,14,false
Bourquin,fr,14,false
Droz,fr,14,false
Ducommun,fr,12,false
Huguenin,fr,12,false
Jeanneret,fr,12,false
Matthey,fr,12,false
Perret,fr,12,false
Robert,fr,14,false
Sandoz,fr,12,false
Vuille,fr,10,false
Berthoud,fr,10,false
Blanc,fr,14,false
Bonvin,fr,12,false
Bruchez,fr,10,false
Crettaz,fr,10,false
Fournier,fr,12,false
Gay,fr,10,false
Moret,fr,10,false
Roduit,fr,8,false
Zufferey,fr,10,false
Aubert,fr,10,false
Barbey,fr,8,false
Bertholet,fr,8,false
Chevalley,fr,8,false
Décosterd,fr,6,false
Delacrétaz,fr,6,false
Desponds,fr,6,false
Fontannaz,fr,6,false
Gonin,fr,6,false
Grandjean,fr,8,false
Henchoz,fr,6,false
Jordan,fr,8,false
Lambert,fr,8,false
Maillard,fr,8,false
Meylan,fr,8,false
Michaud,fr,8,false
Morel,fr,8,false
Paccaud,fr,6,false
Pasche,fr,6,false
Piguet,fr,8,false
Rouiller,fr,6,false
Savary,fr,6,false
Tissot,fr,8,false
Vallotton,fr,6,false
Vonlanthen,fr,6,false
Wicht,fr,6,false
Bays,fr,5,false
Chardonnens,fr,5,false
Dénervaud,fr,4,false
Ecoffey,fr,4,false
Gremaud,fr,6,false
Jungo,fr,5,false
Kolly,fr,5,false
Pasquier,fr,6,false
Repond,fr,5,false
Sudan,fr,5,false
Terrapon,fr,4,false
Vial,fr,5,false
Willemin,fr,4,false
Fleury,fr,5,false
Chételat,fr,4,false
Comte,fr,5,false
Frésard,fr,4,false
Membrez,fr,4,false
Prêtre,fr,4,false
Voisard,fr,4,false
Bernasconi,it,30,false
Rossi,it,28,false
Bianchi,it,26,false
Ferrari,it,22,false
Galli,it,20,false
Colombo,it,18,false
Fontana,it,18,false
Rezzonico,it,14,false
Pedrazzini,it,14,false
Ghiringhelli,it,12,false
Pellegrini,it,14,false
Lombardi,it,14,false
Rusca,it,10,false
Soldati,it,10,false
Genazzi,it,8,false
Casanova,it,10,false
Cattaneo,it,12,false
Beretta,it,10,false
Bottani,it,8,false
Cereghetti,it,8,false
Croci,it,8,false
Delcò,it,6,false
Gianella,it,8,false
Giudici,it,8,false
Guidotti,it,6,false
Lurati,it,6,false
Maggi,it,8,false
Mombelli,it,6,false
Morisoli,it,6,false
Pini,it,8,false
Quadri,it,6,false
Riva,it,8,false
Rossetti,it,6,false
Sassi,it,6,false
Solari,it,6,false
Tettamanti,it,6,false
Togni,it,6,false
Vanini,it,6,false
Zanetti,it,8,false
Zappa,it,6,false
Bassi,it,6,false
Bruni,it,6,false
Cavalli,it,6,false
De Marchi,it,6,false
Esposito,it,8,false
Greco,it,8,false
Marino,it,8,false
Moretti,it,8,false
Ricci,it,8,false
Romano,it,8,false
Russo,it,8,false
Santoro,it,6,false
Vitale,it,6,false
Conti,it,8,false
Costa,it,8,false
Ferrara,it,6,false
Gallo,it,8,false
Leone,it,6,false
Mancini,it,6,false
Marchetti,it,6,false
Martini,it,6,false
Parisi,it,5,false
Rinaldi,it,6,false
Serra,it,5,false
Villa,it,6,false
Yilmaz,international,20,false
Kaya,international,14,false
Demir,international,14,false
Şahin,international,12,false
Çelik,international,12,false
Öztürk,international,12,false
Demirci,international,8,false
Aydın,international,10,false
Arslan,international,10,false
Doğan,international,8,false
Da Silva,international,12,false
Dos Santos,international,10,false
Pereira,international,8,false
Oliveira,international,8,false
Fernandes,international,8,false
García,international,10,false
Rodríguez,international,8,false
López,international,8,false
Martínez,international,8,false
Petrović,international,10,false
Jovanović,international,10,false
Nikolić,international,8,false
Marković,international,8,false
Đorđević,international,6,false
Kovačević,international,8,false
Horvat,international,8,false
Novak,international,8,false
Krasniqi,international,8,false
Gashi,international,6,false
Berisha,international,6,false
Shala,international,5,false
Hoxha,international,5,false
Nowak,international,8,false
Kowalczyk,international,6,false
Wiśniewski,international,6,false
Zieliński,international,5,false
Papadopoulos,international,6,false
Georgiou,international,4,false
Ivanov,international,6,false
Petrov,international,5,false
Smirnova,international,4,false
Kuznetsov,international,4,false
Haddad,international,6,false
Khalil,international,5,false
Mansour,international,5,false
Hassan,international,6,false
Ahmed,international,6,false
Hussain,international,5,false
Patel,international,8,false
Sharma,international,6,false
Singh,international,6,false
Nguyen,international,8,false
Tran,international,5,false
Chen,international,6,false
Wang,international,6,false
Kim,international,5,false
Mbatha,international,3,false
Okafor,international,3,false
Mensah,international,3,false
Diallo,international,3,false
Silva,international,6,false
