vorname,geschlecht,sprachraum,g_1930,g_1940,g_1950,g_1960,g_1970,g_1980,g_1990,g_2000
Larissa,W,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Michelle,W,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Selina,W,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Tamara,W,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Lea,W,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Lara,W,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Mia,W,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Elena,W,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Nina,W,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Alina,W,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Livia,W,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Noemi,W,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Ladina,W,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Seraina,W,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Flurina,W,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Anja,W,de-CH,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Karin,W,de-CH,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Esther,W,de-CH,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Regula,W,de-CH,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Käthi,W,de-CH,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Annemarie,W,de-CH,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Bettina,W,de-CH,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Franziska,W,de-CH,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Simone,W,de-CH,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Yvonne,W,de-CH,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Carmen,W,de-CH,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Priska,W,de-CH,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Marlies,W,de-CH,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Doris,W,de-CH,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Irene,W,de-CH,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Sara,W,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Laura,W,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Anna,W,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Sophie,W,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Emma,W,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Lena,W,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Ernst,M,de-CH,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Hans,M,de-CH,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Fritz,M,de-CH,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Walter,M,de-CH,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Werner,M,de-CH,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Kurt,M,de-CH,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Ruedi,M,de-CH,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Heinz,M,de-CH,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Peter,M,de-CH,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Urs,M,de-CH,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Beat,M,de-CH,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
René,M,de-CH,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Bruno,M,de-CH,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Markus,M,de-CH,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Thomas,M,de-CH,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Daniel,M,de-CH,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Christoph,M,de-CH,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Andreas,M,de-CH,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Stefan,M,de-CH,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Michael,M,de-CH,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Patrick,M,de-CH,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Reto,M,de-CH,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Adrian,M,de-CH,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Marcel,M,de-CH,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Roger,M,de-CH,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Pascal,M,de-CH,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Fabian,M,de-CH,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Sandro,M,de-CH,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Simon,M,de-CH,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Lukas,M,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Jonas,M,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Luca,M,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Nico,M,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Joel,M,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Noah,M,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Leon,M,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Elias,M,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Levin,M,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Nils,M,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Gian,M,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Flurin,M,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Silvan,M,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Roman,M,de-CH,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Martin,M,de-CH,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Ueli,M,de-CH,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Köbi,M,de-CH,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Sepp,M,de-CH,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Hansruedi,M,de-CH,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Christian,M,de-CH,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Matthias,M,de-CH,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Tobias,M,de-CH,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Philipp,M,de-CH,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Dominik,M,de-CH,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Raphael,M,de-CH,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Manuel,M,de-CH,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Samuel,M,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
David,M,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Jan,M,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Tim,M,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Ben,M,de-CH,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Rolf,M,de-CH,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Jürg,M,de-CH,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Hanspeter,M,de-CH,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Felix,M,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Cyrill,M,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Yannick,M,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Erna,W,de-DE,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Hildegard,W,de-DE,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Irmgard,W,de-DE,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Gerda,W,de-DE,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Ingrid,W,de-DE,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Helga,W,de-DE,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Gisela,W,de-DE,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Renate,W,de-DE,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Ursula,W,de-DE,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Christa,W,de-DE,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Karin,W,de-DE,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Monika,W,de-DE,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Brigitte,W,de-DE,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Gabriele,W,de-DE,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Angelika,W,de-DE,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Sabine,W,de-DE,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Petra,W,de-DE,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Susanne,W,de-DE,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Birgit,W,de-DE,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Martina,W,de-DE,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Andrea,W,de-DE,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Stefanie,W,de-DE,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Nicole,W,de-DE,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Tanja,W,de-DE,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Katrin,W,de-DE,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Anke,W,de-DE,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Silke,W,de-DE,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Julia,W,de-DE,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Katharina,W,de-DE,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Christina,W,de-DE,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Jennifer,W,de-DE,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Sarah,W,de-DE,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Nadine,W,de-DE,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Lisa,W,de-DE,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Laura,W,de-DE,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Vanessa,W,de-DE,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Jessica,W,de-DE,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Franziska,W,de-DE,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Hanna,W,de-DE,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Leonie,W,de-DE,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Marie,W,de-DE,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Sophia,W,de-DE,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Emilia,W,de-DE,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Lina,W,de-DE,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Mia,W,de-DE,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Johanna,W,de-DE,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Charlotte,W,de-DE,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Greta,W,de-DE,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Heike,W,de-DE,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Kerstin,W,de-DE,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Manuela,W,de-DE,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Anja,W,de-DE,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Melanie,W,de-DE,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Jana,W,de-DE,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Annika,W,de-DE,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Maren,W,de-DE,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Svenja,W,de-DE,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Elke,W,de-DE,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Hannelore,W,de-DE,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Waltraud,W,de-DE,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Cornelia,W,de-DE,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Ute,W,de-DE,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Dagmar,W,de-DE,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Wilhelm,M,de-DE,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Heinrich,M,de-DE,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Karl,M,de-DE,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Günter,M,de-DE,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Horst,M,de-DE,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Klaus,M,de-DE,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Dieter,M,de-DE,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Manfred,M,de-DE,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Wolfgang,M,de-DE,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Jürgen,M,de-DE,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Uwe,M,de-DE,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Bernd,M,de-DE,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Rainer,M,de-DE,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Norbert,M,de-DE,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Frank,M,de-DE,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Michael,M,de-DE,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Thomas,M,de-DE,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Andreas,M,de-DE,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Stefan,M,de-DE,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Jörg,M,de-DE,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Torsten,M,de-DE,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Christian,M,de-DE,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Markus,M,de-DE,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Sven,M,de-DE,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Dirk,M,de-DE,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Oliver,M,de-DE,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Marco,M,de-DE,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Sebastian,M,de-DE,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Daniel,M,de-DE,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Jan,M,de-DE,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Florian,M,de-DE,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Tobias,M,de-DE,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Dennis,M,de-DE,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Kevin,M,de-DE,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Tim,M,de-DE,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Jonas,M,de-DE,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Maximilian,M,de-DE,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Niklas,M,de-DE,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Lukas,M,de-DE,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Finn,M,de-DE,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Leon,M,de-DE,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Paul,M,de-DE,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Elias,M,de-DE,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Noah,M,de-DE,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Ben,M,de-DE,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Luis,M,de-DE,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Henry,M,de-DE,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Emil,M,de-DE,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Matthias,M,de-DE,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Holger,M,de-DE,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Ralf,M,de-DE,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Carsten,M,de-DE,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Björn,M,de-DE,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Lars,M,de-DE,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Philipp,M,de-DE,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Moritz,M,de-DE,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Felix,M,de-DE,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Hans-Jürgen,M,de-DE,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Karl-Heinz,M,de-DE,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Gerhard,M,de-DE,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Helmut,M,de-DE,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Reinhard,M,de-DE,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Volker,M,de-DE,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Marie,W,fr,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Jeanne,W,fr,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Madeleine,W,fr,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Monique,W,fr,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Françoise,W,fr,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Nicole,W,fr,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Christiane,W,fr,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Josiane,W,fr,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Chantal,W,fr,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Sylvie,W,fr,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Catherine,W,fr,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Isabelle,W,fr,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Valérie,W,fr,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Nathalie,W,fr,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Sandrine,W,fr,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Céline,W,fr,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Stéphanie,W,fr,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Aurélie,W,fr,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Émilie,W,fr,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Élodie,W,fr,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Julie,W,fr,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Camille,W,fr,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Manon,W,fr,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Léa,W,fr,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Chloé,W,fr,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Océane,W,fr,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Emma,W,fr,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Louise,W,fr,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Zoé,W,fr,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Jade,W,fr,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Inès,W,fr,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Alice,W,fr,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Lucie,W,fr,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Anne,W,fr,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Martine,W,fr,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Dominique,U,fr,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Claude,U,fr,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Jean,M,fr,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Pierre,M,fr,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
André,M,fr,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Michel,M,fr,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Bernard,M,fr,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Jacques,M,fr,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Alain,M,fr,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Philippe,M,fr,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Gérard,M,fr,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Daniel,M,fr,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Patrick,M,fr,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Christophe,M,fr,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Laurent,M,fr,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Olivier,M,fr,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Pascal,M,fr,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Frédéric,M,fr,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Sébastien,M,fr,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Nicolas,M,fr,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Julien,M,fr,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Cédric,M,fr,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Guillaume,M,fr,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Jérôme,M,fr,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Mathieu,M,fr,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Antoine,M,fr,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Maxime,M,fr,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Thomas,M,fr,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Alexandre,M,fr,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Hugo,M,fr,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
